frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.970,0.679,0.470,0.107,0.081,0.216,0.027,-0.012,-0.022,-0.044,0.965,0.678,-0.019,0.035,0.092
2,0.033,0.971,0.682,0.464,0.115,0.161,0.241,0.013,-0.022,-0.033,-0.042,1.125,0.726,-0.097,0.041,0.119
3,0.067,0.970,0.683,0.463,0.174,0.214,0.196,0.019,-0.005,-0.022,-0.048,1.087,0.632,-0.092,0.025,0.100
4,0.100,0.970,0.682,0.464,0.158,0.204,0.204,0.018,-0.000,-0.016,-0.034,1.109,0.663,-0.102,0.045,0.108
5,0.133,0.970,0.676,0.467,0.221,0.273,0.238,0.002,0.022,0.012,-0.026,1.097,0.660,-0.105,0.042,0.114
6,0.167,0.971,0.683,0.466,0.150,0.225,0.262,-0.055,0.074,0.021,-0.017,1.061,0.735,-0.057,0.077,0.169
7,0.200,0.972,0.683,0.469,0.055,0.061,0.281,-0.056,0.092,0.027,-0.022,1.064,0.821,-0.065,0.070,0.178
8,0.233,0.972,0.686,0.467,0.123,0.190,0.218,-0.077,0.024,0.004,-0.039,1.121,0.749,-0.095,0.043,0.142
9,0.267,0.972,0.687,0.467,0.131,0.207,0.222,-0.073,0.039,0.002,-0.040,1.210,0.807,-0.093,0.059,0.155
10,0.300,0.972,0.683,0.466,0.131,0.160,0.230,-0.062,0.025,-0.005,-0.054,1.265,0.849,-0.079,0.053,0.127
11,0.333,0.970,0.633,0.465,0.140,0.165,0.283,-0.074,0.067,0.000,0.041,1.251,0.688,-0.090,0.112,0.122
12,0.367,0.965,0.622,0.476,0.201,0.135,0.264,-0.024,0.072,-0.037,0.024,1.123,0.753,-0.104,0.121,0.056
13,0.400,0.965,0.621,0.472,0.180,0.044,0.324,-0.050,0.115,0.018,0.003,1.062,0.697,-0.060,0.151,0.097
14,0.433,0.965,0.636,0.475,0.151,0.044,0.375,-0.035,0.071,0.047,0.060,1.041,0.680,-0.033,0.184,0.090
15,0.467,0.970,0.659,0.474,0.131,0.147,0.355,-0.075,0.115,0.066,0.031,1.010,0.809,-0.056,0.150,0.073
16,0.500,0.971,0.669,0.470,0.125,0.131,0.280,-0.081,0.079,0.055,0.026,1.088,0.720,-0.001,0.129,0.109
17,0.533,0.972,0.676,0.473,0.132,0.124,0.256,-0.084,0.050,0.070,-0.000,1.052,0.693,-0.044,0.121,0.105
18,0.567,0.971,0.680,0.471,0.124,0.113,0.252,-0.082,0.062,0.072,0.011,1.053,0.645,-0.058,0.095,0.084
19,0.600,0.971,0.674,0.475,0.116,0.105,0.213,-0.084,0.034,0.084,-0.026,1.060,0.621,-0.052,0.105,0.114
20,0.633,0.971,0.678,0.473,0.157,0.127,0.229,-0.076,0.047,0.086,-0.029,1.034,0.775,-0.057,0.088,0.109
21,0.667,0.971,0.677,0.475,0.153,0.134,0.227,-0.074,0.061,0.074,-0.025,1.017,0.745,-0.061,0.073,0.105
22,0.700,0.972,0.679,0.477,0.132,0.131,0.232,-0.071,0.057,0.092,-0.006,1.066,0.738,-0.084,0.074,0.122
23,0.733,0.973,0.673,0.480,0.154,0.164,0.165,-0.063,-0.006,0.052,0.001,0.920,0.770,-0.073,0.098,0.120
24,0.767,0.973,0.685,0.473,0.255,0.335,0.241,-0.040,0.036,0.017,-0.002,1.044,0.739,-0.071,0.087,0.165
25,0.800,0.972,0.676,0.475,0.285,0.277,0.228,-0.053,0.008,0.006,-0.012,0.805,0.715,-0.034,0.054,0.112
26,0.833,0.972,0.676,0.475,0.289,0.286,0.241,-0.054,0.004,0.004,-0.005,0.794,0.749,-0.053,0.056,0.132
27,0.867,0.972,0.676,0.475,0.288,0.293,0.248,-0.055,0.004,0.002,0.001,0.801,0.765,-0.056,0.054,0.136
28,0.900,0.972,0.678,0.475,0.311,0.332,0.229,-0.057,0.019,0.005,0.000,0.817,0.736,-0.052,0.055,0.139
29,0.933,0.972,0.678,0.475,0.311,0.332,0.229,-0.057,0.019,0.005,0.000,0.817,0.736,-0.052,0.055,0.139
30,0.967,0.971,0.679,0.472,0.477,0.489,0.207,-0.049,0.025,-0.008,0.003,1.065,0.845,-0.088,0.066,0.138
31,1.000,0.971,0.678,0.472,0.438,0.445,0.202,-0.051,0.038,-0.007,-0.001,1.067,0.844,-0.085,0.062,0.122
32,1.033,0.971,0.678,0.472,0.440,0.453,0.203,-0.052,0.038,-0.006,0.001,1.075,0.848,-0.084,0.063,0.127
33,1.067,0.971,0.678,0.472,0.436,0.445,0.202,-0.049,0.041,-0.009,-0.000,1.042,0.841,-0.081,0.060,0.127
34,1.100,0.971,0.679,0.472,0.436,0.444,0.204,-0.051,0.038,-0.006,-0.001,1.056,0.842,-0.083,0.063,0.124
35,1.133,0.971,0.679,0.472,0.437,0.441,0.203,-0.052,0.040,-0.006,-0.002,1.063,0.837,-0.083,0.063,0.122
36,1.167,0.971,0.682,0.471,0.360,0.344,0.147,-0.057,0.006,0.014,-0.008,0.988,0.859,-0.038,0.075,0.121
37,1.200,0.970,0.684,0.471,0.243,0.207,0.189,-0.061,-0.007,0.022,0.009,1.157,1.039,-0.005,0.118,0.142
38,1.233,0.970,0.688,0.473,0.221,0.181,0.091,-0.071,-0.021,-0.019,-0.017,1.075,0.857,-0.022,0.104,0.072
39,1.267,0.970,0.689,0.473,0.226,0.160,0.081,-0.075,-0.013,-0.011,-0.022,1.126,0.876,-0.030,0.100,0.061
40,1.300,0.970,0.688,0.473,0.222,0.159,0.083,-0.071,0.000,-0.014,-0.008,1.141,0.893,-0.027,0.121,0.085
41,1.333,0.970,0.688,0.473,0.222,0.159,0.083,-0.071,0.000,-0.014,-0.008,1.141,0.893,-0.027,0.121,0.085
42,1.367,0.971,0.687,0.473,0.214,0.137,0.083,-0.075,-0.003,-0.013,-0.018,1.151,0.874,-0.022,0.120,0.088
43,1.400,0.971,0.688,0.473,0.221,0.154,0.081,-0.066,-0.003,-0.003,-0.009,1.153,0.775,-0.030,0.111,0.083
44,1.433,0.970,0.689,0.473,0.257,0.189,0.086,-0.067,-0.000,0.006,-0.014,1.173,0.766,-0.016,0.111,0.099
45,1.467,0.972,0.676,0.475,0.227,0.187,0.137,-0.084,0.000,0.008,-0.027,1.152,0.827,-0.009,0.126,0.115
46,1.500,0.972,0.676,0.475,0.234,0.201,0.130,-0.088,-0.002,-0.003,-0.025,1.143,0.831,-0.007,0.125,0.141
47,1.533,0.972,0.676,0.475,0.233,0.204,0.140,-0.088,0.003,0.000,-0.018,1.142,0.863,-0.002,0.133,0.145
48,1.567,0.973,0.666,0.480,0.227,0.169,0.174,-0.069,0.005,-0.007,0.009,1.263,0.845,0.026,0.136,0.164
49,1.600,0.976,0.673,0.477,0.227,0.284,0.163,-0.057,0.022,-0.015,0.008,1.155,0.752,-0.038,0.102,0.059
50,1.633,0.976,0.675,0.476,0.140,0.149,0.178,-0.057,0.010,0.013,0.001,1.145,0.753,-0.038,0.111,0.058
51,1.667,0.976,0.675,0.476,0.143,0.150,0.174,-0.054,0.012,0.013,-0.004,1.147,0.754,-0.041,0.111,0.060
52,1.700,0.976,0.675,0.474,0.133,0.128,0.160,-0.044,0.004,0.008,-0.005,1.109,0.793,-0.017,0.117,0.069
53,1.733,0.975,0.675,0.477,0.152,0.114,0.208,-0.027,0.044,0.058,-0.001,1.121,0.849,-0.093,0.128,0.077
54,1.767,0.975,0.673,0.475,0.181,0.152,0.211,-0.020,0.047,0.044,0.005,1.107,0.831,-0.088,0.118,0.076
55,1.800,0.975,0.673,0.475,0.178,0.142,0.228,-0.021,0.051,0.047,0.012,1.128,0.843,-0.079,0.122,0.077
56,1.833,0.975,0.673,0.475,0.179,0.147,0.224,-0.025,0.050,0.050,0.005,1.125,0.831,-0.083,0.120,0.076
57,1.867,0.975,0.673,0.475,0.171,0.136,0.216,-0.021,0.049,0.042,0.013,1.138,0.834,-0.084,0.118,0.068
58,1.900,0.975,0.673,0.476,0.137,0.128,0.224,-0.028,0.048,0.058,0.018,1.146,0.837,-0.094,0.139,0.059
59,1.933,0.974,0.674,0.476,0.134,0.149,0.228,-0.029,0.035,0.060,0.018,1.150,0.889,-0.070,0.144,0.068
60,1.967,0.978,0.678,0.474,0.064,0.095,0.219,-0.049,-0.005,0.052,-0.001,1.123,0.977,-0.085,0.139,0.033
61,2.000,0.978,0.681,0.482,0.104,0.106,0.179,-0.073,-0.022,0.069,-0.037,1.127,1.059,-0.037,0.147,0.140
62,2.033,0.978,0.681,0.481,0.104,0.104,0.180,-0.070,-0.021,0.069,-0.040,1.110,1.033,-0.038,0.143,0.138
63,2.067,0.978,0.680,0.475,0.117,0.103,0.157,-0.067,-0.030,0.082,-0.042,1.121,1.047,-0.064,0.145,0.166
64,2.100,0.978,0.680,0.475,0.109,0.104,0.168,-0.062,-0.047,0.077,-0.030,1.167,1.061,-0.057,0.134,0.169
65,2.133,0.978,0.680,0.475,0.109,0.104,0.168,-0.062,-0.047,0.077,-0.030,1.167,1.061,-0.057,0.134,0.169
66,2.167,0.978,0.680,0.475,0.109,0.104,0.168,-0.062,-0.047,0.077,-0.030,1.167,1.061,-0.057,0.134,0.169
67,2.200,0.978,0.680,0.475,0.109,0.104,0.168,-0.062,-0.047,0.077,-0.030,1.167,1.061,-0.057,0.134,0.169
68,2.233,0.979,0.681,0.469,0.126,0.104,0.151,-0.050,-0.008,0.055,-0.054,1.112,0.915,-0.058,0.129,0.143
69,2.267,0.979,0.681,0.470,0.124,0.087,0.166,-0.054,-0.035,0.066,-0.056,1.149,0.942,-0.049,0.143,0.152
70,2.300,0.978,0.682,0.475,0.095,0.082,0.093,-0.015,-0.047,0.045,-0.042,1.008,0.785,-0.022,0.119,0.187
71,2.333,0.978,0.679,0.475,0.098,0.060,0.105,-0.022,-0.030,0.059,-0.051,1.198,0.719,-0.034,0.128,0.123
72,2.367,0.976,0.682,0.476,0.104,0.113,0.161,-0.041,-0.008,0.064,-0.047,1.126,0.799,-0.091,0.128,0.159
73,2.400,0.976,0.674,0.478,0.126,0.132,0.169,-0.062,-0.046,0.035,-0.058,1.170,1.049,-0.063,0.181,0.119
74,2.433,0.976,0.674,0.478,0.127,0.133,0.169,-0.062,-0.046,0.036,-0.058,1.170,1.047,-0.059,0.179,0.116
75,2.467,0.977,0.681,0.472,0.115,0.113,0.155,-0.012,-0.055,-0.001,-0.001,1.372,0.868,-0.085,0.193,0.091
76,2.500,0.977,0.672,0.475,0.118,0.112,0.155,-0.014,-0.062,-0.021,-0.030,1.361,0.846,-0.069,0.178,0.078
77,2.533,0.977,0.673,0.474,0.130,0.126,0.137,-0.010,-0.076,-0.006,-0.030,1.342,0.828,-0.081,0.172,0.068
78,2.567,0.977,0.682,0.473,0.125,0.119,0.149,-0.020,-0.072,0.013,-0.013,1.438,0.922,-0.086,0.197,0.126
79,2.600,0.978,0.676,0.471,0.148,0.136,0.152,-0.012,-0.096,0.020,-0.036,1.302,0.912,-0.046,0.189,0.133
80,2.633,0.978,0.677,0.471,0.150,0.121,0.156,-0.007,-0.091,0.026,-0.025,1.329,0.847,-0.058,0.195,0.126
81,2.667,0.978,0.676,0.474,0.141,0.132,0.170,-0.022,-0.074,0.031,-0.043,1.360,0.824,-0.043,0.208,0.107
82,2.700,0.978,0.679,0.472,0.123,0.125,0.196,-0.058,-0.115,0.065,-0.007,1.353,0.893,0.045,0.246,0.165
83,2.733,0.977,0.683,0.468,0.104,0.080,0.229,-0.065,-0.155,0.026,-0.025,1.449,0.877,0.068,0.159,0.080
84,2.767,0.975,0.685,0.471,0.238,0.265,0.314,-0.041,-0.087,0.044,-0.064,1.387,0.982,-0.043,0.162,0.051
85,2.800,0.973,0.682,0.470,0.308,0.444,0.361,-0.057,0.021,0.048,-0.039,1.345,0.847,-0.104,0.119,-0.002
86,2.833,0.973,0.683,0.469,0.274,0.384,0.330,-0.055,0.019,0.034,-0.026,1.339,0.813,-0.069,0.117,0.017
87,2.867,0.975,0.685,0.472,0.213,0.325,0.261,-0.069,-0.024,0.011,-0.021,1.358,0.854,-0.063,0.115,0.063
88,2.900,0.975,0.682,0.475,0.266,0.384,0.324,-0.082,0.037,0.042,-0.031,1.278,0.895,-0.125,0.107,0.027
89,2.933,0.975,0.683,0.475,0.259,0.389,0.340,-0.080,0.054,0.042,-0.036,1.285,0.903,-0.126,0.105,0.022
90,2.967,0.975,0.679,0.475,0.269,0.421,0.401,-0.107,0.047,0.049,-0.068,1.332,0.919,-0.140,0.158,-0.001
91,3.000,0.976,0.682,0.474,0.242,0.309,0.358,-0.097,0.042,0.050,-0.081,1.361,0.924,-0.156,0.151,-0.004
