frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.962,0.575,0.491,0.058,0.094,-0.018,-0.020,-0.108,0.012,-0.046,0.077,0.117,-0.019,0.073,0.374
2,0.033,0.963,0.574,0.489,0.061,0.102,-0.008,-0.013,-0.119,0.014,-0.044,0.079,0.126,-0.029,0.059,0.356
3,0.067,0.963,0.572,0.489,0.070,0.107,-0.000,-0.005,-0.113,0.004,-0.044,0.089,0.133,-0.026,0.065,0.339
4,0.100,0.963,0.571,0.489,0.053,0.064,0.019,-0.012,-0.102,0.015,-0.026,0.084,0.127,-0.012,0.064,0.267
5,0.133,0.965,0.569,0.489,0.062,0.076,0.027,0.002,-0.103,0.019,-0.035,0.096,0.111,-0.028,0.065,0.241
6,0.167,0.965,0.568,0.489,0.058,0.085,0.009,-0.001,-0.102,0.012,-0.047,0.073,0.098,-0.023,0.087,0.210
7,0.200,0.964,0.568,0.488,0.053,0.083,0.018,0.005,-0.108,0.021,-0.047,0.081,0.096,-0.013,0.081,0.213
8,0.233,0.965,0.568,0.488,0.056,0.093,0.022,0.006,-0.116,0.023,-0.046,0.094,0.112,-0.014,0.085,0.202
9,0.267,0.966,0.566,0.487,0.071,0.095,0.020,0.019,-0.113,0.022,-0.045,0.097,0.111,-0.016,0.072,0.203
10,0.300,0.965,0.565,0.487,0.058,0.080,0.010,0.001,-0.118,0.020,-0.042,0.092,0.108,-0.016,0.062,0.206
11,0.333,0.965,0.566,0.488,0.086,0.097,0.006,0.001,-0.120,0.031,-0.042,0.091,0.103,-0.010,0.051,0.191
12,0.367,0.964,0.566,0.489,0.082,0.097,0.007,0.001,-0.134,0.022,-0.049,0.095,0.112,-0.017,0.046,0.229
13,0.400,0.965,0.566,0.490,0.063,0.074,-0.004,-0.022,-0.125,0.015,-0.095,0.105,0.105,-0.047,0.044,0.274
14,0.433,0.966,0.567,0.491,0.044,0.063,-0.000,-0.025,-0.113,0.011,-0.085,0.114,0.108,-0.045,0.046,0.294
15,0.467,0.966,0.569,0.494,0.037,0.055,-0.007,-0.040,-0.112,0.011,-0.079,0.104,0.113,-0.051,0.039,0.301
16,0.500,0.966,0.570,0.492,0.041,0.051,-0.010,-0.033,-0.113,0.017,-0.085,0.105,0.100,-0.038,0.035,0.320
17,0.533,0.967,0.570,0.491,0.042,0.056,-0.006,-0.045,-0.116,0.019,-0.087,0.104,0.102,-0.033,0.037,0.320
18,0.567,0.965,0.567,0.487,0.057,0.076,0.003,-0.040,-0.117,0.030,-0.068,0.093,0.122,-0.022,0.057,0.255
19,0.600,0.966,0.568,0.487,0.052,0.081,0.002,-0.037,-0.107,0.024,-0.076,0.094,0.118,-0.018,0.054,0.282
20,0.633,0.966,0.568,0.486,0.045,0.075,0.010,-0.033,-0.105,0.032,-0.070,0.099,0.121,-0.011,0.055,0.304
21,0.667,0.965,0.569,0.488,0.054,0.085,0.012,-0.036,-0.103,0.033,-0.066,0.093,0.133,-0.018,0.057,0.308
22,0.700,0.965,0.567,0.488,0.048,0.080,0.002,-0.026,-0.102,0.026,-0.063,0.093,0.136,-0.008,0.058,0.326
23,0.733,0.966,0.570,0.494,0.062,0.109,-0.012,-0.015,-0.113,0.014,-0.077,0.108,0.125,-0.016,0.041,0.347
24,0.767,0.965,0.570,0.494,0.052,0.094,-0.010,-0.016,-0.109,0.019,-0.070,0.094,0.126,-0.007,0.041,0.336
25,0.800,0.963,0.570,0.490,0.042,0.068,0.017,-0.001,-0.104,0.023,-0.082,0.075,0.131,-0.026,0.081,0.315
26,0.833,0.964,0.569,0.486,0.049,0.075,0.009,-0.003,-0.112,0.024,-0.083,0.074,0.130,-0.031,0.076,0.314
27,0.867,0.964,0.570,0.486,0.048,0.063,0.011,-0.018,-0.116,0.025,-0.082,0.073,0.139,-0.031,0.074,0.302
28,0.900,0.964,0.570,0.487,0.048,0.063,0.014,-0.026,-0.109,0.025,-0.085,0.070,0.132,-0.034,0.072,0.295
29,0.933,0.966,0.570,0.487,0.044,0.067,0.012,-0.026,-0.107,0.022,-0.083,0.073,0.134,-0.034,0.074,0.295
30,0.967,0.966,0.576,0.491,0.051,0.088,-0.021,-0.019,-0.102,-0.005,-0.081,0.098,0.129,-0.042,0.065,0.356
