frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.984,0.607,0.527,0.245,0.241,0.071,-0.060,-0.009,0.023,-0.064,0.011,0.099,0.010,0.111,-0.021
2,0.033,0.984,0.602,0.521,0.335,0.389,0.069,-0.059,-0.032,0.035,-0.066,0.013,0.083,0.018,0.108,-0.004
3,0.067,0.983,0.575,0.541,0.338,0.384,0.058,-0.064,-0.016,0.032,-0.051,0.001,0.093,0.013,0.107,0.009
4,0.100,0.983,0.552,0.532,0.416,0.355,0.033,-0.081,-0.019,0.049,-0.061,0.043,0.083,0.009,0.056,0.014
5,0.133,0.982,0.560,0.535,0.262,0.200,0.034,-0.072,-0.006,0.033,-0.054,0.027,0.093,0.017,0.067,-0.009
6,0.167,0.983,0.576,0.535,0.214,0.232,0.064,-0.061,0.006,0.025,-0.056,0.015,0.090,0.008,0.071,0.020
7,0.200,0.984,0.594,0.528,0.299,0.354,0.068,-0.070,0.019,0.034,-0.077,0.004,0.076,0.002,0.125,0.003
8,0.233,0.985,0.605,0.526,0.429,0.538,0.078,-0.065,0.011,0.036,-0.067,0.001,0.061,-0.010,0.121,-0.007
9,0.267,0.985,0.607,0.516,0.302,0.343,0.101,-0.072,0.023,0.027,-0.087,-0.007,0.065,-0.003,0.130,-0.021
10,0.300,0.984,0.612,0.520,0.419,0.448,0.092,-0.075,0.017,0.021,-0.093,0.007,0.069,-0.021,0.133,0.003
11,0.333,0.984,0.617,0.521,0.271,0.299,0.103,-0.077,0.024,0.011,-0.095,0.024,0.085,-0.001,0.104,0.022
12,0.367,0.984,0.595,0.522,0.348,0.383,0.086,-0.057,0.010,0.017,-0.089,0.041,0.089,0.018,0.087,0.025
13,0.400,0.984,0.593,0.527,0.403,0.532,0.063,-0.066,-0.005,0.022,-0.075,0.021,0.069,0.007,0.092,0.020
14,0.433,0.984,0.600,0.523,0.352,0.429,0.070,-0.048,0.001,0.022,-0.076,0.027,0.080,0.011,0.087,0.003
15,0.467,0.985,0.609,0.518,0.441,0.550,0.078,-0.065,0.005,0.030,-0.071,0.023,0.069,-0.008,0.112,0.033
16,0.500,0.985,0.613,0.518,0.392,0.471,0.076,-0.063,0.010,0.023,-0.068,0.024,0.077,-0.002,0.096,0.020
17,0.533,0.985,0.613,0.519,0.421,0.514,0.078,-0.076,0.002,0.022,-0.075,0.020,0.080,-0.007,0.123,0.031
18,0.567,0.984,0.609,0.520,0.345,0.421,0.068,-0.082,0.019,0.021,-0.079,0.012,0.086,0.001,0.116,0.022
19,0.600,0.984,0.615,0.518,0.527,0.664,0.074,-0.104,0.014,0.032,-0.064,0.023,0.081,-0.012,0.125,0.040
20,0.633,0.984,0.611,0.520,0.470,0.613,0.076,-0.100,0.005,0.024,-0.073,0.013,0.073,-0.007,0.123,0.028
21,0.667,0.984,0.612,0.515,0.454,0.563,0.094,-0.091,0.005,0.014,-0.057,0.003,0.083,-0.002,0.107,0.048
22,0.700,0.986,0.614,0.512,0.402,0.418,0.112,-0.085,-0.003,0.024,-0.059,0.022,0.071,-0.001,0.104,0.046
23,0.733,0.986,0.607,0.513,0.212,0.146,0.080,-0.074,0.015,-0.004,-0.035,0.047,0.053,0.021,0.104,0.082
24,0.767,0.987,0.611,0.508,0.337,0.314,0.056,-0.091,0.002,0.011,0.017,0.043,0.044,0.042,0.195,0.131
25,0.800,0.985,0.624,0.506,0.404,0.457,0.021,-0.106,0.068,0.015,0.119,0.142,-0.061,-0.007,0.633,0.214
26,0.833,0.982,0.632,0.494,0.182,0.140,-0.008,-0.048,0.142,0.018,0.126,0.297,-0.083,-0.001,0.915,0.568
27,0.867,0.981,0.645,0.495,0.166,0.123,-0.019,0.000,0.215,0.003,0.218,0.304,0.036,-0.057,1.381,1.723
28,0.900,0.977,0.658,0.494,0.228,0.113,-0.028,0.021,0.204,-0.025,0.180,0.164,0.348,0.016,1.417,2.286
29,0.933,0.977,0.658,0.496,0.193,0.084,-0.008,0.031,0.240,0.013,0.168,0.167,0.732,0.163,1.284,2.221
30,0.967,0.978,0.675,0.487,0.170,0.081,0.006,0.024,0.240,0.002,0.164,0.166,1.015,0.175,1.091,2.127
31,1.000,0.981,0.676,0.490,0.210,0.083,-0.008,0.012,0.247,0.007,0.137,0.247,1.191,0.227,0.902,2.101
32,1.033,0.981,0.674,0.496,0.216,0.062,0.022,0.006,0.252,0.007,0.149,0.238,1.203,0.225,0.924,2.038
33,1.067,0.979,0.668,0.503,0.349,0.149,0.023,-0.007,0.267,-0.001,0.077,0.223,1.302,0.332,0.721,1.984
34,1.100,0.978,0.663,0.499,0.270,0.086,-0.009,-0.013,0.252,0.020,0.042,0.221,1.409,0.371,0.721,1.988
35,1.133,0.978,0.662,0.502,0.197,0.057,-0.005,0.002,0.296,0.007,0.012,0.201,1.468,0.328,0.782,1.780
36,1.167,0.979,0.659,0.499,0.136,0.044,0.061,0.014,0.358,-0.044,0.170,0.185,1.527,0.084,0.665,1.804
37,1.200,0.980,0.662,0.497,0.092,0.009,0.040,0.072,0.514,-0.079,0.277,0.225,1.426,0.094,0.679,1.602
38,1.233,0.984,0.643,0.497,0.054,-0.004,0.011,0.041,0.460,-0.061,0.442,0.167,0.843,0.056,0.531,1.250
39,1.267,0.982,0.637,0.503,0.011,-0.016,-0.011,0.065,0.480,-0.088,0.437,0.201,0.515,-0.029,0.366,0.974
40,1.300,0.984,0.623,0.500,0.013,-0.012,-0.015,0.055,0.583,-0.054,0.537,0.191,0.445,-0.072,0.315,0.750
41,1.333,0.984,0.624,0.503,0.004,0.001,-0.050,0.038,0.769,-0.012,0.749,0.254,0.466,-0.012,0.311,0.579
42,1.367,0.981,0.617,0.507,-0.014,-0.039,-0.055,0.041,0.832,-0.034,0.735,0.207,0.308,0.021,0.376,0.563
43,1.400,0.983,0.617,0.504,-0.007,-0.042,-0.081,0.047,0.878,0.014,0.830,0.252,0.402,0.119,0.274,0.426
44,1.433,0.983,0.611,0.511,0.008,0.007,-0.049,0.061,1.090,0.060,0.873,0.158,0.366,0.207,0.313,0.350
45,1.467,0.984,0.617,0.509,0.028,0.017,-0.132,0.051,1.173,0.077,0.844,0.215,0.383,0.247,0.359,0.406
46,1.500,0.983,0.613,0.515,0.060,0.052,-0.159,0.061,1.276,0.076,0.936,0.233,0.408,0.217,0.341,0.391
47,1.533,0.982,0.602,0.516,0.040,0.027,-0.162,0.048,1.396,0.125,1.182,0.226,0.488,0.270,0.412,0.378
48,1.567,0.982,0.606,0.518,0.016,0.031,-0.175,0.013,1.674,0.126,1.221,0.290,0.515,0.255,0.419,0.273
49,1.600,0.982,0.597,0.518,0.023,0.059,-0.109,-0.004,1.946,0.151,1.093,0.391,0.520,0.273,0.445,0.281
50,1.633,0.982,0.600,0.510,0.014,0.088,-0.149,0.009,2.038,0.171,1.130,0.378,0.589,0.280,0.511,0.322
51,1.667,0.982,0.608,0.508,-0.005,0.072,-0.139,0.015,2.004,0.177,1.137,0.424,0.566,0.292,0.626,0.326
52,1.700,0.981,0.607,0.507,0.021,0.061,-0.144,0.033,1.956,0.149,1.213,0.312,0.686,0.262,0.617,0.292
53,1.733,0.978,0.618,0.505,0.065,0.080,-0.162,-0.000,2.049,0.207,1.258,0.336,0.640,0.217,0.554,0.242
54,1.767,0.979,0.607,0.501,0.034,0.035,-0.130,0.018,2.052,0.241,1.250,0.404,0.687,0.245,0.666,0.263
55,1.800,0.979,0.614,0.505,0.016,0.054,-0.173,0.024,1.997,0.246,1.274,0.340,0.569,0.258,0.591,0.262
56,1.833,0.984,0.610,0.501,0.002,0.049,-0.182,0.037,2.063,0.289,1.261,0.283,0.503,0.325,0.637,0.325
57,1.867,0.982,0.608,0.504,0.008,0.002,-0.189,0.002,2.337,0.330,1.173,0.308,0.588,0.339,0.584,0.216
58,1.900,0.982,0.601,0.500,0.059,0.055,-0.172,0.027,2.256,0.319,1.179,0.251,0.553,0.339,0.611,0.273
59,1.933,0.979,0.606,0.502,0.044,0.047,-0.206,0.032,2.182,0.395,1.259,0.211,0.299,0.379,0.630,0.367
60,1.967,0.979,0.609,0.503,0.130,0.107,-0.126,0.003,2.307,0.536,1.426,0.241,0.627,0.413,1.938,0.363
61,2.000,0.977,0.623,0.501,0.120,0.145,0.035,0.034,2.117,0.473,1.394,0.510,0.835,0.429,2.837,1.541
62,2.033,0.981,0.622,0.501,0.107,0.091,0.003,0.039,2.172,0.469,1.541,0.369,0.617,0.548,2.915,1.803
63,2.067,0.984,0.630,0.504,0.102,0.069,-0.020,0.008,2.142,0.468,1.790,0.344,0.550,0.562,2.987,1.791
64,2.100,0.984,0.628,0.506,0.122,0.038,-0.002,0.005,2.189,0.470,2.047,0.287,0.375,0.527,3.197,1.783
65,2.133,0.983,0.638,0.514,0.095,0.047,-0.018,0.021,2.197,0.431,2.082,0.290,0.254,0.557,3.245,1.759
66,2.167,0.983,0.641,0.512,0.110,0.040,-0.002,0.011,2.288,0.470,2.173,0.263,0.224,0.571,3.358,1.687
67,2.200,0.984,0.634,0.522,0.078,0.023,-0.024,-0.005,2.344,0.463,2.303,0.283,0.228,0.565,3.371,1.644
68,2.233,0.986,0.639,0.523,0.055,0.005,-0.016,0.003,2.466,0.526,2.398,0.283,0.149,0.548,3.434,1.704
69,2.267,0.984,0.638,0.527,0.093,0.029,0.037,0.003,2.461,0.551,2.357,0.308,0.254,0.497,3.440,1.606
70,2.300,0.983,0.646,0.527,0.070,0.043,0.001,0.007,2.491,0.521,2.321,0.260,0.182,0.608,3.512,1.659
71,2.333,0.984,0.650,0.528,0.045,0.028,0.007,0.003,2.629,0.480,2.288,0.397,0.223,0.645,3.530,1.636
72,2.367,0.984,0.646,0.546,0.049,0.044,-0.006,0.050,2.613,0.486,2.391,0.346,0.149,0.562,3.593,1.650
73,2.400,0.978,0.654,0.559,0.033,-0.030,0.022,-0.014,2.674,0.567,2.426,0.278,0.143,0.579,3.606,1.315
74,2.433,0.976,0.660,0.567,0.048,-0.012,0.017,0.006,2.747,0.616,2.439,0.275,0.182,0.573,3.610,1.305
75,2.467,0.973,0.657,0.581,0.052,-0.058,0.021,0.029,2.897,0.684,2.655,0.238,0.153,0.551,3.689,1.240
76,2.500,0.971,0.663,0.596,0.064,-0.046,-0.002,0.023,2.842,0.654,2.732,0.242,0.160,0.441,3.629,1.352
77,2.533,0.972,0.667,0.605,0.068,-0.057,-0.024,0.007,2.866,0.600,2.772,0.234,0.113,0.497,3.683,1.380
78,2.567,0.973,0.668,0.606,0.074,-0.050,-0.019,0.005,2.862,0.600,2.857,0.267,0.081,0.466,3.699,1.263
79,2.600,0.977,0.673,0.601,0.052,-0.107,-0.016,0.008,2.927,0.638,2.872,0.253,0.068,0.451,3.725,1.045
80,2.633,0.977,0.691,0.601,0.057,-0.074,-0.030,-0.004,2.866,0.524,2.827,0.236,0.069,0.404,3.695,1.109
81,2.667,0.978,0.692,0.602,0.068,-0.064,-0.018,0.035,2.812,0.547,2.846,0.238,0.003,0.477,3.750,1.046
82,2.700,0.975,0.696,0.595,0.061,-0.060,-0.020,0.047,2.885,0.532,2.820,0.205,0.031,0.436,3.685,0.935
83,2.733,0.977,0.692,0.591,0.079,-0.084,-0.045,0.060,2.922,0.485,2.801,0.168,0.029,0.374,3.696,0.781
84,2.767,0.978,0.682,0.599,0.074,-0.072,-0.015,0.080,2.975,0.542,2.864,0.209,0.038,0.445,3.740,0.867
85,2.800,0.976,0.686,0.603,0.056,-0.079,-0.006,0.077,2.976,0.442,3.001,0.198,0.014,0.405,3.819,0.949
86,2.833,0.971,0.678,0.601,0.030,-0.044,-0.008,0.072,2.910,0.399,3.052,0.153,-0.002,0.360,3.826,0.922
87,2.867,0.973,0.675,0.599,0.057,-0.035,-0.035,0.092,2.973,0.406,3.070,0.138,0.006,0.314,3.839,0.936
88,2.900,0.974,0.682,0.601,0.063,-0.017,-0.026,0.099,2.934,0.449,3.111,0.128,0.023,0.327,3.860,0.809
