frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.970,0.784,0.524,0.158,0.099,0.071,0.079,0.040,0.051,-0.058,0.004,0.087,-0.014,0.017,-0.010
2,0.033,0.969,0.778,0.531,0.115,0.066,0.043,0.056,0.042,0.051,-0.046,0.003,0.077,-0.014,0.002,-0.022
3,0.067,0.970,0.781,0.528,0.108,0.055,0.034,0.063,0.044,0.054,-0.042,0.001,0.085,-0.015,0.000,-0.026
4,0.100,0.970,0.777,0.527,0.129,0.077,0.032,0.090,0.056,0.042,-0.045,0.002,0.090,-0.022,0.006,-0.024
5,0.133,0.970,0.776,0.527,0.131,0.085,0.034,0.110,0.054,0.028,-0.050,0.005,0.090,-0.025,-0.011,-0.031
6,0.167,0.970,0.777,0.526,0.131,0.085,0.034,0.115,0.060,0.030,-0.045,0.004,0.097,-0.022,-0.014,-0.033
7,0.200,0.970,0.781,0.524,0.125,0.081,0.044,0.115,0.073,0.037,-0.036,0.006,0.095,-0.019,-0.007,-0.025
8,0.233,0.968,0.779,0.529,0.163,0.142,0.022,0.127,0.065,0.027,-0.033,0.005,0.096,-0.026,0.008,-0.012
9,0.267,0.969,0.785,0.524,0.161,0.121,0.025,0.102,0.073,0.038,-0.031,0.005,0.084,-0.013,0.017,-0.010
10,0.300,0.970,0.770,0.535,0.127,0.079,0.067,0.027,0.041,0.067,-0.046,-0.003,0.057,-0.009,0.016,0.038
11,0.333,0.970,0.768,0.537,0.118,0.059,0.068,0.027,0.044,0.072,-0.054,-0.008,0.047,-0.007,0.017,0.034
12,0.367,0.969,0.769,0.537,0.138,0.078,0.055,0.024,0.044,0.064,-0.049,-0.004,0.059,-0.006,0.019,0.031
13,0.400,0.971,0.766,0.536,0.126,0.088,0.063,0.026,0.037,0.051,-0.061,-0.002,0.044,-0.011,0.015,0.032
14,0.433,0.973,0.767,0.536,0.115,0.067,0.069,0.029,0.034,0.059,-0.059,-0.006,0.046,-0.011,0.011,0.032
15,0.467,0.972,0.769,0.535,0.137,0.086,0.057,0.029,0.036,0.059,-0.044,0.010,0.045,-0.016,0.015,0.024
16,0.500,0.973,0.769,0.535,0.156,0.115,0.049,0.026,0.035,0.058,-0.044,0.010,0.050,-0.015,0.022,0.030
17,0.533,0.973,0.769,0.535,0.127,0.083,0.058,0.029,0.035,0.058,-0.047,0.006,0.050,-0.017,0.021,0.031
18,0.567,0.973,0.769,0.536,0.128,0.086,0.054,0.031,0.034,0.057,-0.049,0.010,0.050,-0.021,0.020,0.030
19,0.600,0.973,0.768,0.533,0.125,0.091,0.059,0.026,0.030,0.042,-0.061,0.005,0.058,-0.012,0.022,0.032
20,0.633,0.973,0.769,0.534,0.145,0.094,0.053,0.042,0.047,0.054,-0.046,0.010,0.054,-0.010,0.011,0.004
21,0.667,0.972,0.769,0.534,0.146,0.099,0.047,0.035,0.046,0.052,-0.049,0.014,0.057,-0.013,0.017,0.014
22,0.700,0.973,0.769,0.534,0.149,0.085,0.055,0.040,0.050,0.051,-0.051,0.012,0.053,-0.016,0.018,0.009
23,0.733,0.974,0.769,0.533,0.146,0.084,0.062,0.044,0.048,0.055,-0.046,0.012,0.050,-0.014,0.023,0.014
24,0.767,0.973,0.770,0.533,0.143,0.092,0.057,0.042,0.048,0.047,-0.052,0.014,0.057,-0.015,0.019,0.008
25,0.800,0.972,0.767,0.527,0.142,0.089,0.047,0.037,0.043,0.052,-0.054,0.013,0.039,-0.009,0.020,0.022
26,0.833,0.972,0.768,0.527,0.134,0.076,0.046,0.040,0.042,0.063,-0.048,0.011,0.035,-0.004,0.020,0.023
27,0.867,0.971,0.768,0.527,0.127,0.068,0.050,0.039,0.042,0.064,-0.050,0.008,0.039,-0.008,0.017,0.030
28,0.900,0.971,0.761,0.525,0.131,0.066,0.048,0.041,0.042,0.064,-0.051,0.011,0.045,-0.006,0.013,0.031
29,0.933,0.972,0.761,0.526,0.133,0.071,0.063,0.039,0.042,0.063,-0.049,0.007,0.040,-0.006,0.015,0.028
30,0.967,0.972,0.770,0.531,0.128,0.067,0.067,0.038,0.036,0.058,-0.059,0.004,0.052,-0.008,0.017,0.018
31,1.000,0.972,0.771,0.530,0.129,0.069,0.075,0.041,0.037,0.054,-0.054,0.004,0.054,-0.013,0.017,0.023
32,1.033,0.971,0.762,0.528,0.137,0.080,0.061,0.036,0.030,0.049,-0.058,0.004,0.061,-0.017,0.010,0.020
33,1.067,0.972,0.768,0.528,0.142,0.085,0.055,0.046,0.036,0.062,-0.055,0.002,0.060,-0.017,0.018,0.025
34,1.100,0.972,0.762,0.528,0.132,0.073,0.065,0.042,0.033,0.048,-0.058,0.003,0.058,-0.016,0.006,0.019
35,1.133,0.972,0.765,0.529,0.125,0.074,0.072,0.045,0.028,0.047,-0.066,-0.003,0.051,-0.022,0.010,0.019
36,1.167,0.973,0.764,0.526,0.157,0.138,0.059,0.054,0.035,0.062,-0.067,0.001,0.046,-0.015,0.031,0.018
37,1.200,0.974,0.766,0.526,0.115,0.072,0.086,0.056,0.036,0.059,-0.047,0.004,0.047,-0.013,0.033,0.015
38,1.233,0.973,0.765,0.530,0.111,0.075,0.082,0.063,0.033,0.059,-0.051,0.001,0.055,-0.020,0.031,0.016
39,1.267,0.972,0.766,0.530,0.105,0.066,0.086,0.063,0.035,0.056,-0.053,0.001,0.054,-0.018,0.025,0.017
40,1.300,0.973,0.766,0.531,0.103,0.070,0.086,0.062,0.036,0.052,-0.054,0.001,0.054,-0.019,0.026,0.017
41,1.333,0.973,0.766,0.531,0.102,0.071,0.089,0.064,0.039,0.055,-0.047,-0.001,0.048,-0.017,0.021,0.011
42,1.367,0.973,0.766,0.532,0.113,0.080,0.084,0.062,0.036,0.056,-0.050,0.002,0.048,-0.017,0.026,0.014
43,1.400,0.973,0.766,0.529,0.105,0.065,0.086,0.029,0.027,0.059,-0.046,-0.002,0.044,-0.014,0.027,0.028
44,1.433,0.972,0.736,0.522,0.100,0.059,0.116,0.022,0.027,0.072,-0.040,0.006,0.056,0.006,0.026,0.051
45,1.467,0.971,0.717,0.522,0.088,0.039,0.132,-0.000,0.024,0.076,-0.022,0.001,0.085,0.017,0.031,0.021
46,1.500,0.973,0.721,0.525,0.086,0.016,0.124,0.007,0.037,0.056,-0.018,-0.036,0.089,0.032,0.050,-0.000
47,1.533,0.974,0.750,0.524,0.063,0.029,0.031,-0.042,0.032,0.054,0.084,-0.062,0.048,0.238,0.061,0.075
48,1.567,0.977,0.748,0.524,0.016,0.010,0.005,-0.015,0.067,-0.011,1.080,-0.036,-0.076,0.084,0.069,0.011
49,1.600,0.973,0.749,0.525,-0.009,-0.006,-0.001,-0.021,0.082,-0.037,1.584,0.007,-0.009,0.273,0.017,-0.005
50,1.633,0.973,0.754,0.523,0.004,-0.022,-0.010,-0.005,0.105,-0.039,1.725,0.020,-0.027,0.280,-0.017,-0.005
51,1.667,0.972,0.754,0.527,0.023,-0.011,-0.008,0.016,0.116,-0.040,1.691,0.001,-0.018,0.267,0.018,-0.021
52,1.700,0.971,0.755,0.524,0.015,0.001,-0.030,0.013,0.103,-0.047,1.760,0.008,-0.034,0.336,0.020,0.010
53,1.733,0.971,0.753,0.522,0.006,0.003,-0.029,0.014,0.119,-0.041,1.798,0.008,-0.039,0.369,0.023,0.026
54,1.767,0.970,0.750,0.518,0.004,-0.014,-0.053,0.012,0.114,-0.064,1.787,0.007,-0.027,0.308,0.036,0.027
55,1.800,0.969,0.748,0.523,0.026,-0.004,-0.034,0.019,0.077,-0.056,1.770,0.010,-0.047,0.309,0.033,-0.005
56,1.833,0.970,0.750,0.523,0.020,-0.003,-0.035,0.020,0.094,-0.062,1.776,0.005,-0.050,0.253,0.057,0.012
57,1.867,0.971,0.751,0.519,0.006,-0.008,-0.040,0.022,0.075,-0.057,1.707,-0.009,-0.041,0.256,0.075,0.010
58,1.900,0.971,0.748,0.519,0.003,-0.001,-0.036,0.010,0.084,-0.061,1.712,0.004,-0.042,0.263,0.062,0.003
59,1.933,0.972,0.751,0.516,0.003,-0.000,-0.034,0.022,0.085,-0.069,1.698,-0.001,-0.036,0.227,0.060,0.004
60,1.967,0.971,0.750,0.517,0.002,-0.003,-0.027,0.018,0.073,-0.068,1.729,0.008,-0.030,0.256,0.054,0.007
61,2.000,0.972,0.754,0.518,-0.003,-0.007,-0.004,0.016,0.078,-0.056,1.529,0.004,-0.033,0.275,0.056,-0.030
62,2.033,0.971,0.753,0.519,0.023,0.015,0.005,0.030,0.091,-0.063,1.466,0.013,-0.029,0.171,0.045,-0.035
63,2.067,0.972,0.753,0.519,0.020,0.005,0.005,0.025,0.087,-0.054,1.402,0.008,-0.039,0.140,0.052,-0.021
64,2.100,0.972,0.753,0.519,-0.003,-0.011,0.002,0.024,0.088,-0.053,1.364,0.001,-0.037,0.152,0.033,-0.005
65,2.133,0.972,0.753,0.518,0.001,-0.010,-0.004,0.018,0.088,-0.045,1.346,0.007,-0.023,0.131,0.030,-0.014
66,2.167,0.971,0.751,0.519,0.017,-0.002,0.006,0.017,0.089,-0.024,1.338,-0.006,-0.036,0.129,0.033,-0.004
67,2.200,0.971,0.757,0.521,0.019,-0.019,0.005,0.017,0.077,-0.026,1.264,-0.011,-0.023,0.111,0.053,0.006
68,2.233,0.971,0.753,0.522,0.025,0.001,-0.015,-0.011,0.063,-0.013,1.289,-0.007,-0.006,0.205,0.052,0.032
69,2.267,0.971,0.754,0.524,0.019,0.004,-0.006,-0.002,0.069,-0.000,1.383,-0.005,-0.015,0.217,0.053,-0.000
70,2.300,0.971,0.759,0.525,0.026,-0.004,0.007,0.013,0.079,0.005,1.368,-0.006,-0.031,0.167,0.055,0.000
71,2.333,0.970,0.754,0.528,0.042,-0.015,0.013,0.021,0.083,-0.014,1.266,-0.005,-0.036,0.060,0.066,-0.011
72,2.367,0.968,0.757,0.528,0.028,-0.015,0.024,0.010,0.065,-0.011,1.188,-0.017,-0.026,0.124,0.066,0.012
73,2.400,0.971,0.756,0.528,0.018,-0.000,0.020,0.019,0.068,0.009,1.195,-0.014,-0.029,0.143,0.071,0.034
74,2.433,0.971,0.757,0.529,0.013,-0.016,0.018,-0.006,0.072,-0.007,1.184,-0.011,-0.028,0.152,0.067,0.030
75,2.467,0.971,0.757,0.530,0.010,-0.016,0.010,0.001,0.073,-0.014,1.097,-0.043,-0.028,0.193,0.084,0.051
76,2.500,0.969,0.757,0.530,0.023,-0.025,0.002,-0.011,0.071,-0.013,1.081,-0.054,-0.047,0.282,0.090,0.061
77,2.533,0.969,0.756,0.530,0.027,-0.036,0.006,-0.018,0.049,-0.000,1.000,-0.056,-0.057,0.371,0.086,0.060
78,2.567,0.969,0.756,0.530,0.038,-0.027,0.001,-0.011,0.042,0.002,0.935,-0.059,-0.047,0.299,0.068,0.046
79,2.600,0.968,0.758,0.530,0.040,-0.028,-0.016,-0.010,0.052,0.008,0.811,-0.052,-0.048,0.346,0.081,0.060
80,2.633,0.963,0.758,0.530,0.056,-0.004,-0.007,-0.022,0.076,-0.002,0.757,-0.049,-0.067,0.327,0.087,0.051
81,2.667,0.961,0.759,0.530,0.040,-0.003,-0.019,-0.021,0.075,-0.013,0.696,-0.041,-0.066,0.276,0.079,0.052
82,2.700,0.962,0.760,0.531,0.067,-0.004,-0.019,-0.025,0.055,0.001,0.581,-0.027,-0.084,0.330,0.090,0.043
83,2.733,0.960,0.764,0.529,0.066,-0.002,-0.012,-0.038,0.075,0.001,0.472,-0.025,-0.069,0.307,0.080,0.038
84,2.767,0.964,0.759,0.529,0.057,-0.014,0.001,-0.052,0.062,0.009,0.512,-0.027,-0.059,0.315,0.080,0.059
85,2.800,0.961,0.719,0.526,0.036,-0.028,0.061,-0.058,0.027,0.053,0.378,-0.076,-0.028,0.415,0.106,0.105
86,2.833,0.962,0.709,0.529,0.066,0.016,0.053,-0.063,0.041,0.049,0.321,-0.064,-0.060,0.261,0.155,0.082
87,2.867,0.963,0.712,0.529,0.055,0.016,0.060,-0.064,0.026,0.041,0.325,-0.069,-0.054,0.291,0.152,0.096
88,2.900,0.967,0.722,0.530,0.039,0.008,0.076,-0.070,0.030,0.045,0.234,-0.043,-0.024,0.274,0.142,0.092
89,2.933,0.964,0.732,0.522,0.024,-0.015,0.064,-0.062,0.036,0.037,0.287,-0.042,-0.070,0.418,0.122,0.095
90,2.967,0.962,0.734,0.521,0.039,-0.000,0.053,-0.065,0.043,0.017,0.244,-0.020,-0.057,0.264,0.111,0.077
91,3.000,0.960,0.743,0.524,0.050,0.020,0.048,-0.060,0.060,0.027,0.245,-0.015,-0.072,0.288,0.108,0.074
92,3.033,0.960,0.745,0.525,0.032,0.006,0.025,-0.058,0.038,0.032,0.280,-0.013,-0.039,0.439,0.099,0.103
93,3.067,0.961,0.746,0.526,0.066,0.038,0.036,-0.049,0.036,0.042,0.242,-0.008,-0.054,0.376,0.110,0.087
94,3.100,0.959,0.751,0.529,0.063,0.026,0.039,-0.039,0.032,0.039,0.233,-0.001,-0.033,0.386,0.121,0.090
95,3.133,0.960,0.757,0.531,0.071,0.019,0.014,-0.044,0.030,0.053,0.249,0.020,-0.020,0.416,0.122,0.102
96,3.167,0.958,0.757,0.533,0.083,0.027,0.023,-0.035,0.009,0.051,0.161,0.023,-0.016,0.425,0.129,0.099
97,3.200,0.954,0.752,0.528,0.078,0.030,0.041,-0.039,0.049,0.049,0.162,0.010,0.020,0.312,0.118,0.096
