frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.941,0.806,0.476,1.008,0.980,0.102,0.275,0.029,0.098,0.668,-0.008,-0.156,-0.035,0.082,0.036
2,0.033,0.943,0.799,0.478,0.999,1.033,0.156,0.584,0.042,0.099,0.693,-0.026,-0.157,0.025,0.085,0.018
3,0.067,0.941,0.796,0.476,0.866,0.938,0.180,0.428,0.014,0.082,0.762,0.047,-0.171,0.080,0.095,-0.015
4,0.100,0.954,0.799,0.476,1.063,1.089,0.179,0.583,0.020,0.075,0.851,0.053,-0.168,0.286,0.125,-0.017
5,0.133,0.946,0.804,0.479,1.107,1.084,0.153,0.365,0.111,0.047,0.821,0.079,-0.113,0.231,0.108,-0.032
6,0.167,0.946,0.803,0.474,1.158,1.087,0.187,0.429,0.102,0.060,0.831,0.074,-0.105,0.256,0.120,-0.028
7,0.200,0.946,0.801,0.468,1.203,1.147,0.150,0.459,0.168,0.108,0.973,0.130,-0.005,0.485,0.133,0.002
8,0.233,0.946,0.796,0.468,1.192,1.263,0.113,0.526,0.151,0.068,0.938,0.113,-0.042,0.320,0.133,-0.019
9,0.267,0.919,0.799,0.467,1.316,1.240,0.104,0.295,0.338,0.061,0.975,0.116,0.030,0.288,0.139,0.008
10,0.300,0.937,0.781,0.471,1.321,1.243,0.110,0.358,0.318,0.047,0.909,0.145,0.070,0.314,0.179,0.106
11,0.333,0.941,0.789,0.466,1.584,1.264,0.052,0.118,0.389,0.033,0.913,0.142,0.163,0.237,0.120,0.118
12,0.367,0.945,0.786,0.468,1.777,1.439,0.128,0.012,0.535,0.089,0.786,0.108,0.338,0.165,0.150,0.141
13,0.400,0.942,0.779,0.463,1.948,1.543,0.211,0.044,0.604,0.110,0.811,0.179,0.421,0.216,0.158,0.139
14,0.433,0.935,0.771,0.468,1.906,1.552,0.148,0.028,0.570,0.066,0.930,0.150,0.451,0.342,0.163,0.108
15,0.467,0.942,0.776,0.466,1.947,1.666,0.095,0.055,0.463,0.046,0.880,0.153,0.325,0.274,0.202,0.150
16,0.500,0.935,0.776,0.457,2.171,1.675,0.225,0.024,0.457,0.087,0.960,0.119,0.301,0.272,0.185,0.212
17,0.533,0.935,0.771,0.453,1.846,1.425,0.229,0.018,0.544,0.098,0.996,0.141,0.371,0.234,0.148,0.190
18,0.567,0.935,0.771,0.452,1.864,1.430,0.210,0.012,0.535,0.111,1.056,0.152,0.373,0.268,0.140,0.214
19,0.600,0.942,0.774,0.452,1.816,1.423,0.158,0.031,0.514,0.061,1.108,0.141,0.439,0.212,0.131,0.189
20,0.633,0.940,0.779,0.449,1.954,1.483,0.212,0.029,0.506,0.073,1.010,0.115,0.476,0.238,0.140,0.186
21,0.667,0.947,0.774,0.449,1.959,1.434,0.271,0.041,0.495,0.074,1.037,0.150,0.406,0.305,0.145,0.200
22,0.700,0.945,0.770,0.449,2.058,1.562,0.285,0.063,0.587,0.086,0.976,0.172,0.442,0.308,0.194,0.213
23,0.733,0.948,0.766,0.444,2.023,1.497,0.292,0.102,0.515,0.063,0.991,0.175,0.522,0.337,0.166,0.228
24,0.767,0.949,0.766,0.441,1.895,1.404,0.233,0.089,0.560,0.071,0.974,0.169,0.557,0.354,0.174,0.217
25,0.800,0.951,0.769,0.445,1.966,1.460,0.250,0.121,0.541,0.045,0.994,0.187,0.597,0.387,0.168,0.207
26,0.833,0.950,0.770,0.447,1.888,1.388,0.229,0.085,0.559,0.018,1.059,0.177,0.548,0.361,0.150,0.232
27,0.867,0.953,0.772,0.442,2.096,1.609,0.252,0.061,0.513,-0.013,1.015,0.180,0.596,0.364,0.187,0.253
28,0.900,0.955,0.770,0.444,2.038,1.640,0.228,0.069,0.559,0.051,0.936,0.166,0.541,0.370,0.225,0.247
29,0.933,0.949,0.766,0.446,2.070,1.484,0.432,0.076,0.552,0.065,0.978,0.173,0.481,0.390,0.193,0.235
30,0.967,0.950,0.767,0.447,2.050,1.504,0.364,0.082,0.554,0.059,0.994,0.169,0.445,0.389,0.201,0.228
31,1.000,0.948,0.766,0.450,1.607,1.346,0.238,0.081,0.563,0.078,0.908,0.141,0.412,0.348,0.148,0.190
