frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.938,0.744,0.523,0.027,0.008,0.704,0.069,0.146,0.265,-0.106,-0.018,0.047,0.019,0.161,0.063
2,0.033,0.934,0.738,0.521,0.069,0.055,0.639,0.089,0.201,0.261,-0.104,-0.011,0.078,0.031,0.271,0.116
3,0.067,0.936,0.748,0.519,0.047,0.058,0.622,0.061,0.186,0.256,-0.117,-0.007,0.064,0.040,0.204,0.134
4,0.100,0.943,0.755,0.526,0.004,0.027,0.829,0.078,0.234,0.257,-0.147,0.070,0.096,0.044,0.187,0.088
5,0.133,0.944,0.736,0.524,0.121,0.159,0.616,0.266,0.203,0.229,-0.158,0.055,0.135,0.015,0.203,0.107
6,0.167,0.946,0.739,0.524,0.185,0.112,0.894,0.247,0.158,0.254,-0.171,0.030,0.127,0.023,0.245,0.092
7,0.200,0.947,0.740,0.520,0.126,0.136,0.699,0.259,0.228,0.274,-0.182,0.059,0.128,0.034,0.260,0.103
8,0.233,0.949,0.736,0.521,0.186,0.191,0.639,0.246,0.233,0.279,-0.180,0.073,0.125,0.069,0.201,0.171
9,0.267,0.950,0.729,0.517,0.045,0.081,0.715,0.148,0.220,0.268,-0.125,0.080,0.122,0.078,0.262,0.130
10,0.300,0.948,0.728,0.518,0.066,0.085,0.661,0.136,0.212,0.253,-0.130,0.062,0.114,0.045,0.259,0.119
11,0.333,0.949,0.733,0.519,0.100,0.118,0.686,0.187,0.251,0.281,-0.155,0.067,0.144,0.053,0.197,0.126
12,0.367,0.949,0.735,0.523,0.113,0.142,0.719,0.183,0.271,0.311,-0.155,0.067,0.133,0.061,0.292,0.150
13,0.400,0.950,0.738,0.524,0.062,0.086,0.553,0.113,0.229,0.244,-0.141,0.043,0.069,0.042,0.383,0.109
14,0.433,0.946,0.733,0.525,0.047,0.066,0.573,0.129,0.222,0.236,-0.142,0.040,0.090,0.074,0.363,0.114
15,0.467,0.945,0.743,0.529,0.011,0.063,0.670,0.151,0.163,0.215,-0.076,0.012,0.119,0.036,0.287,0.096
16,0.500,0.945,0.741,0.525,0.052,0.077,0.504,0.154,0.173,0.232,-0.122,0.025,0.080,0.017,0.357,0.106
