frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.943,0.663,0.730,1.079,1.068,0.063,-0.104,-0.084,-0.009,-0.045,0.262,0.255,-0.080,0.118,0.084
2,0.033,0.945,0.658,0.716,0.765,0.724,0.063,-0.102,-0.019,0.022,-0.026,0.448,0.333,-0.064,0.126,0.016
3,0.067,0.942,0.654,0.727,0.889,0.897,-0.010,-0.106,0.012,0.032,-0.003,0.309,0.328,-0.056,0.159,0.060
4,0.100,0.935,0.663,0.730,0.462,0.400,0.010,-0.118,0.050,0.017,-0.084,0.360,0.248,-0.063,0.248,0.003
5,0.133,0.924,0.658,0.747,0.707,0.711,0.050,-0.102,0.019,-0.040,-0.027,0.442,0.183,-0.074,0.278,0.024
6,0.167,0.926,0.653,0.751,1.107,1.121,-0.106,-0.075,0.022,-0.031,-0.027,0.568,0.240,-0.156,0.562,0.135
7,0.200,0.932,0.662,0.755,0.873,0.960,-0.131,-0.082,0.022,-0.108,-0.078,0.546,0.325,-0.123,0.244,0.234
8,0.233,0.929,0.659,0.768,1.362,1.423,-0.200,-0.050,-0.108,-0.026,0.113,0.477,0.256,-0.070,0.410,0.381
9,0.267,0.925,0.677,0.777,0.354,0.274,0.100,-0.017,0.058,0.007,-0.105,0.132,0.218,-0.006,-0.022,-0.065
10,0.300,0.918,0.695,0.788,0.200,0.073,0.250,0.018,-0.011,-0.015,-0.156,0.158,0.140,0.036,-0.100,-0.015
11,0.333,0.912,0.717,0.778,0.394,0.315,0.076,-0.008,-0.008,0.018,-0.046,-0.030,0.197,-0.062,-0.094,-0.029
12,0.367,0.914,0.720,0.773,0.146,0.080,0.080,-0.029,0.031,0.053,-0.006,0.067,0.173,-0.072,-0.141,-0.043
13,0.400,0.918,0.703,0.757,0.513,0.425,0.074,-0.069,0.012,0.028,-0.020,0.050,0.220,-0.044,-0.094,-0.033
14,0.433,0.923,0.700,0.752,0.248,0.271,0.068,-0.058,0.023,-0.030,-0.107,0.491,0.311,-0.060,-0.003,0.008
15,0.467,0.920,0.707,0.752,0.278,0.292,0.029,-0.033,0.006,0.008,-0.049,0.097,0.203,-0.043,-0.043,-0.044
16,0.500,0.919,0.716,0.743,0.379,0.335,0.043,-0.067,0.011,0.007,-0.062,0.150,0.141,-0.062,-0.019,-0.043
17,0.533,0.917,0.708,0.750,0.798,0.793,-0.057,-0.080,-0.031,-0.010,-0.013,0.124,0.172,-0.094,0.101,0.118
18,0.567,0.918,0.707,0.743,0.757,0.753,-0.086,-0.104,-0.031,-0.018,-0.045,0.059,0.138,-0.060,0.184,0.128
19,0.600,0.922,0.699,0.743,1.116,1.073,-0.011,-0.061,-0.041,0.007,-0.030,0.229,0.273,-0.105,0.069,0.208
20,0.633,0.921,0.703,0.744,1.554,1.445,-0.006,-0.111,-0.090,0.002,-0.081,0.170,0.297,-0.111,0.175,0.251
21,0.667,0.925,0.692,0.736,1.006,0.943,0.027,-0.031,-0.079,-0.038,-0.049,0.419,0.320,-0.102,0.170,0.314
22,0.700,0.920,0.686,0.737,0.523,0.484,0.074,-0.058,-0.061,0.033,-0.053,0.100,0.180,-0.072,0.056,0.037
23,0.733,0.915,0.696,0.745,1.044,1.055,-0.032,-0.099,-0.048,-0.001,-0.033,0.138,0.178,-0.063,-0.067,0.103
24,0.767,0.916,0.699,0.761,0.665,0.605,0.034,-0.105,0.002,0.022,-0.099,0.250,0.105,-0.063,-0.053,0.095
25,0.800,0.914,0.713,0.772,0.540,0.510,-0.040,-0.132,-0.022,-0.031,-0.133,0.443,0.130,-0.050,0.016,-0.031
26,0.833,0.909,0.716,0.774,0.552,0.579,-0.021,-0.090,-0.018,-0.051,-0.078,0.585,0.110,-0.046,0.168,0.023
27,0.867,0.909,0.717,0.763,0.486,0.503,0.009,-0.074,-0.045,-0.025,-0.081,0.188,0.092,-0.040,0.208,-0.052
28,0.900,0.912,0.722,0.771,0.421,0.375,0.023,-0.084,-0.062,-0.054,-0.129,0.604,0.085,-0.038,0.090,0.060
29,0.933,0.900,0.709,0.770,0.096,0.075,0.012,-0.052,-0.054,0.004,-0.165,0.400,0.135,-0.037,0.152,-0.068
30,0.967,0.900,0.705,0.766,0.072,0.072,0.069,-0.081,-0.025,-0.030,-0.212,0.532,0.161,-0.056,0.165,-0.002
31,1.000,0.898,0.708,0.757,0.136,0.110,0.044,-0.123,-0.014,-0.079,-0.230,0.714,0.166,-0.125,0.292,0.158
32,1.033,0.897,0.706,0.760,0.132,0.109,0.036,-0.077,-0.014,-0.032,-0.180,0.854,0.182,-0.107,0.162,0.139
33,1.067,0.899,0.704,0.757,0.159,0.181,0.032,-0.035,-0.057,-0.030,-0.209,0.596,0.174,-0.114,0.274,0.164
34,1.100,0.904,0.697,0.759,0.068,0.050,0.034,-0.039,-0.073,0.008,-0.135,0.318,0.155,-0.083,0.141,-0.021
35,1.133,0.909,0.697,0.758,0.141,0.157,0.060,-0.069,-0.052,0.025,-0.149,0.416,0.187,-0.105,0.090,-0.005
