session_index,image_index,AU1_activation_value,AU2_activation_value,AU4_activation_value,AU5_activation_value,AU6_activation_value,AU9_activation_value,AU12_activation_value,AU15_activation_value,AU17_activation_value,AU20_activation_value,AU25_activation_value,AU26_activation_value
1,1,0.20666666666666664,0.10333333333333335,0.17,0.03,0.16666666666666669,0.09666666666666665,0.12333333333333335,0.060000000000000005,1.2933333333333334,0.05666666666666666,0.17666666666666667,0.12333333333333332
1,2,0.2366666666666667,0.09333333333333332,0.043333333333333335,0.20333333333333334,0.21999999999999997,0.0,0.06666666666666668,0.23000000000000015,0.57,0.1733333333333333,0.13333333333333333,0.2700000000000001
1,3,0.20000000000000007,0.13666666666666666,0.009999999999999995,0.08000000000000002,0.09333333333333334,0.06,0.09333333333333334,0.07666666666666666,0.04666666666666669,0.013333333333333322,0.016666666666666677,0.08666666666666667
1,4,1.6966666666666668,1.7366666666666664,0.12000000000000001,0.5766666666666667,0.12666666666666665,0.023333333333333317,0.10333333333333335,0.7866666666666667,0.5933333333333334,0.10333333333333333,0.21000000000000002,0.32666666666666666
2,1,0.10666666666666667,0.029999999999999995,0.013333333333333308,0.023333333333333334,0.1933333333333334,0.016666666666666663,0.07333333333333332,0.15333333333333343,0.12666666666666665,0.07666666666666667,0.08,0.04333333333333335
2,4,0.04666666666666668,0.07666666666666666,0.05333333333333333,0.07333333333333333,0.23999999999999996,0.04333333333333332,0.07,0.30333333333333323,0.06666666666666676,0.04333333333333334,0.06999999999999998,0.03666666666666667
2,5,0.07666666666666667,0.09333333333333332,0.006666666666666682,0.05,0.28,0.023333333333333317,0.02666666666666665,0.32333333333333314,0.26999999999999996,0.0,0.09,0.02333333333333333
3,1,0.020000000000000018,0.06,0.24666666666666662,0.14333333333333334,0.4700000000000001,0.06333333333333334,0.07666666666666667,0.8700000000000001,0.4833333333333332,0.11666666666666668,0.24666666666666665,0.03666666666666666
3,2,0.15,0.3433333333333334,0.07,0.16666666666666669,0.46666666666666673,0.060000000000000026,0.08666666666666667,1.0366666666666666,0.44999999999999996,0.09666666666666668,2.2566666666666664,1.1
3,3,0.25333333333333335,0.2733333333333333,0.5566666666666666,0.14666666666666667,0.8033333333333335,0.1866666666666667,0.24333333333333335,1.49,1.1966666666666663,0.16333333333333333,0.7366666666666667,0.5900000000000001
4,1,0.10000000000000002,0.003333333333333341,0.14333333333333337,0.05,0.36666666666666675,0.016666666666666677,0.04333333333333335,0.38,0.24666666666666673,0.02333333333333333,0.04666666666666666,0.06999999999999999
4,3,0.15000000000000005,0.1,0.10666666666666666,0.14666666666666667,0.2466666666666666,0.0,0.16666666666666666,0.8933333333333335,0.7166666666666668,0.16666666666666669,0.10666666666666666,0.17666666666666667
4,5,0.06666666666666668,0.08,0.15,0.14,0.10666666666666663,0.09000000000000001,0.11666666666666667,0.019999999999999796,0.006666666666666654,0.05333333333333334,0.04,0.05
5,2,0.14000000000000004,0.10666666666666667,0.18666666666666668,0.08666666666666667,0.3266666666666667,0.09333333333333334,0.16333333333333333,0.8033333333333335,0.32333333333333336,0.2366666666666667,0.09000000000000008,0.31000000000000016
5,4,0.26999999999999996,0.2666666666666667,0.040000000000000036,0.05333333333333334,0.47,0.02333333333333333,0.09666666666666665,0.6133333333333335,0.6,0.12,0.2066666666666667,0.19
6,1,0.16999999999999998,0.3866666666666666,0.05333333333333333,0.0,0.06,0.03333333333333338,0.05333333333333334,0.20999999999999996,0.06666666666666665,0.039999999999999994,0.08,0.14
6,2,0.0,0.15666666666666665,0.35333333333333333,0.13333333333333333,0.5000000000000001,0.21666666666666667,0.8900000000000001,0.3666666666666665,0.6166666666666667,0.14666666666666667,1.3533333333333326,3.663333333333333
6,3,0.13666666666666666,0.13666666666666666,0.45000000000000007,0.13333333333333333,0.6733333333333335,0.22333333333333336,0.16,0.8333333333333334,1.2033333333333334,0.2066666666666666,1.136666666666667,1.1133333333333333
6,4,0.1,0.04333333333333333,0.5599999999999999,0.10333333333333333,0.11000000000000004,0.15666666666666668,0.039999999999999994,0.43000000000000005,0.04666666666666666,0.12666666666666665,0.30000000000000027,0.3833333333333332
6,5,0.05666666666666667,0.04666666666666666,0.08666666666666667,0.06333333333333334,0.17333333333333328,0.026666666666666672,0.05,0.22333333333333338,0.053333333333333316,0.06666666666666667,0.36,0.06999999999999999
8,1,0.003333333333333341,0.016666666666666663,0.07,0.06666666666666665,0.10333333333333336,0.05333333333333333,0.08666666666666667,0.5,0.34666666666666673,0.08333333333333336,0.18666666666666665,0.17999999999999997
8,2,0.13000000000000003,0.18333333333333335,0.16000000000000003,0.043333333333333335,0.29000000000000004,0.10666666666666666,0.11333333333333336,0.7766666666666668,0.3933333333333332,0.1966666666666667,2.5633333333333335,1.1033333333333333
8,3,0.14666666666666667,0.07999999999999999,0.20999999999999996,0.06333333333333335,0.42333333333333323,0.1333333333333333,0.16666666666666669,0.38,0.48333333333333334,0.06666666666666671,0.05999999999999997,0.08666666666666668
8,5,0.17999999999999997,0.13333333333333336,0.1,0.01999999999999999,0.17333333333333334,0.003333333333333341,0.08333333333333333,0.38,0.19666666666666666,0.049999999999999996,0.11000000000000001,0.10666666666666667
9,1,0.23333333333333334,0.39666666666666667,0.11333333333333334,0.13,0.09666666666666668,0.04000000000000002,0.03,0.5799999999999998,0.2333333333333333,0.07666666666666667,0.10333333333333333,0.07666666666666666
9,2,0.43,0.45333333333333337,0.09,0.05666666666666666,0.07999999999999999,0.049999999999999975,0.08666666666666667,0.39666666666666667,0.11,0.09333333333333334,0.54,0.77
9,4,0.33333333333333337,0.30666666666666664,0.14,0.11333333333333334,0.6366666666666665,0.19333333333333336,0.23000000000000004,0.31333333333333324,1.2566666666666668,0.20666666666666667,0.8033333333333335,0.39333333333333337
10,1,0.07666666666666669,0.08333333333333333,0.06666666666666665,0.06,0.11333333333333337,0.016666666666666677,0.02666666666666668,0.37,0.06999999999999998,0.04,0.11333333333333336,0.026666666666666665
10,2,0.11999999999999998,0.09666666666666666,0.06000000000000001,0.18,0.4333333333333333,0.04333333333333332,0.07666666666666666,0.7333333333333332,0.6433333333333333,0.10666666666666666,0.29333333333333333,0.046666666666666676
10,3,0.033333333333333326,0.053333333333333344,0.12333333333333332,0.06333333333333334,0.07999999999999999,0.0,0.04,0.33333333333333337,0.07666666666666665,0.04666666666666667,0.2666666666666666,0.009999999999999998
10,4,1.2499999999999998,1.3166666666666667,0.17333333333333328,0.11333333333333333,0.6466666666666666,0.026666666666666658,0.16666666666666666,0.8533333333333335,0.8966666666666667,0.15333333333333332,0.3666666666666667,0.3
10,5,0.5866666666666667,0.59,0.3,0.24000000000000002,0.9166666666666666,0.12333333333333334,0.11333333333333337,1.1300000000000001,1.2399999999999998,0.12666666666666668,0.26333333333333336,0.22000000000000003
11,1,0.07333333333333333,0.02333333333333333,0.05666666666666667,0.03333333333333334,0.033333333333333326,0.04333333333333332,0.05333333333333334,0.023333333333333345,0.06333333333333332,0.053333333333333344,0.01666666666666669,0.010000000000000009
11,3,1.0000000000000002,0.9833333333333335,0.026666666666666672,0.14,0.6333333333333331,0.006666666666666682,0.2833333333333334,0.3866666666666664,0.6166666666666664,0.31999999999999995,0.21333333333333326,0.26
11,4,0.08333333333333333,0.08,0.31333333333333335,0.08,0.0,0.08000000000000003,0.029999999999999992,0.2,0.1166666666666667,0.03333333333333334,0.06,0.08
11,5,0.15000000000000002,0.1433333333333333,0.0,0.10666666666666666,0.3666666666666667,0.059999999999999984,0.16333333333333336,0.7766666666666667,1.02,0.24666666666666667,0.43,0.15
12,1,0.026666666666666658,0.12333333333333332,0.0266666666666667,0.1,0.11666666666666664,0.06666666666666667,0.10333333333333333,0.3966666666666666,0.39,0.11333333333333331,0.3166666666666666,0.19666666666666666
12,2,0.2366666666666667,0.17666666666666667,0.4066666666666667,0.13,0.71,0.22000000000000003,0.31000000000000005,0.7366666666666668,0.9033333333333332,0.19666666666666666,0.13,0.18333333333333335
12,5,0.1766666666666667,0.17,0.21666666666666667,0.12333333333333335,0.31333333333333324,0.05,0.27,1.1866666666666665,0.3,0.15000000000000002,0.4366666666666661,1.646666666666667
13,1,0.23333333333333336,0.26,0.003333333333333327,0.05,0.053333333333333344,0.030000000000000006,0.07,0.07333333333333325,0.05,0.02666666666666667,0.13999999999999999,0.04666666666666666
13,2,0.14333333333333334,0.15333333333333332,0.0,0.09666666666666668,0.4366666666666667,0.07333333333333333,0.13333333333333333,0.0,0.0,0.04666666666666666,0.21666666666666665,0.26333333333333336
13,3,0.08666666666666666,0.09666666666666666,0.12333333333333334,0.07,1.0666666666666667,0.0,0.3033333333333333,0.6599999999999999,0.05333333333333336,0.3066666666666667,0.8233333333333334,0.47333333333333333
13,4,0.06,0.06666666666666668,0.013333333333333308,0.043333333333333335,0.7800000000000001,0.03666666666666665,0.4066666666666666,0.17000000000000004,0.21333333333333335,0.09666666666666668,0.4766666666666667,0.43
13,5,0.020000000000000004,0.03666666666666667,0.043333333333333335,0.010000000000000009,0.17000000000000007,0.0,0.1,0.08000000000000002,0.023333333333333338,0.03666666666666667,0.35,0.16666666666666666
