frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.952,0.660,0.571,-0.036,-0.041,0.072,-0.049,0.128,0.055,-0.020,0.419,0.310,0.045,-0.009,0.036
2,0.033,0.953,0.661,0.564,-0.045,-0.058,0.059,-0.042,0.170,0.064,-0.005,0.389,0.334,0.089,0.031,0.017
3,0.067,0.956,0.660,0.566,-0.042,-0.069,0.080,-0.056,0.158,0.044,0.004,0.434,0.332,0.071,0.028,0.026
4,0.100,0.957,0.657,0.566,-0.055,-0.075,0.076,-0.043,0.141,0.052,-0.002,0.408,0.293,0.060,-0.003,0.033
5,0.133,0.955,0.656,0.567,-0.057,-0.051,0.082,-0.033,0.151,0.051,-0.015,0.364,0.291,0.074,0.014,0.033
6,0.167,0.952,0.653,0.569,-0.046,-0.057,0.040,-0.021,0.156,0.048,0.009,0.313,0.273,0.077,0.010,0.036
7,0.200,0.950,0.641,0.567,-0.060,-0.045,0.028,-0.027,0.092,0.050,0.000,0.252,0.283,0.066,-0.018,0.038
8,0.233,0.950,0.638,0.568,-0.041,-0.033,0.057,-0.028,0.099,0.046,-0.007,0.167,0.309,0.057,-0.007,0.038
9,0.267,0.948,0.639,0.568,-0.060,-0.037,0.074,-0.030,0.160,0.033,0.004,0.423,0.482,0.082,-0.020,0.021
10,0.300,0.948,0.642,0.570,-0.096,-0.044,0.082,-0.041,0.144,0.021,0.012,0.555,0.608,0.133,-0.059,-0.009
11,0.333,0.947,0.636,0.569,-0.092,-0.037,0.061,-0.040,0.142,0.024,-0.008,0.464,0.447,0.123,-0.048,0.001
12,0.367,0.947,0.645,0.567,-0.057,-0.049,0.048,-0.040,0.121,0.038,0.025,0.330,0.287,0.114,-0.041,0.047
13,0.400,0.947,0.643,0.566,-0.067,-0.057,0.045,-0.041,0.149,0.008,0.028,0.309,0.282,0.112,-0.030,0.070
14,0.433,0.945,0.641,0.573,-0.060,-0.057,0.035,-0.028,0.126,0.009,0.038,0.342,0.185,0.092,-0.031,0.049
15,0.467,0.945,0.642,0.574,-0.041,-0.052,0.049,-0.023,0.120,0.021,0.031,0.347,0.191,0.063,-0.006,0.075
16,0.500,0.945,0.648,0.567,-0.061,-0.057,0.063,-0.033,0.112,0.018,-0.003,0.366,0.288,0.080,-0.032,0.058
17,0.533,0.945,0.646,0.568,-0.055,-0.051,0.065,-0.022,0.139,0.024,0.003,0.390,0.303,0.106,-0.031,0.073
18,0.567,0.946,0.644,0.567,-0.065,-0.049,0.061,-0.022,0.129,0.013,0.015,0.338,0.286,0.080,-0.038,0.037
19,0.600,0.944,0.641,0.569,-0.052,-0.044,0.062,-0.031,0.129,0.029,0.037,0.354,0.274,0.097,-0.024,0.046
20,0.633,0.943,0.642,0.571,-0.080,-0.047,0.070,-0.035,0.156,0.004,0.011,0.337,0.295,0.073,-0.012,0.033
21,0.667,0.942,0.644,0.569,-0.081,-0.043,0.060,-0.033,0.164,0.005,-0.003,0.398,0.260,0.066,-0.040,0.022
22,0.700,0.941,0.641,0.570,-0.068,-0.027,0.081,-0.036,0.179,0.012,0.006,0.336,0.238,0.075,-0.031,0.030
23,0.733,0.942,0.641,0.569,-0.060,-0.035,0.056,-0.033,0.163,0.010,0.015,0.247,0.218,0.066,-0.032,0.005
24,0.767,0.936,0.638,0.570,-0.042,-0.051,0.079,-0.051,0.121,0.035,-0.001,0.249,0.190,0.051,-0.027,0.035
25,0.800,0.942,0.636,0.565,-0.016,-0.045,0.043,-0.008,0.136,0.055,0.023,0.209,0.170,0.094,-0.038,0.045
26,0.833,0.946,0.638,0.565,-0.015,-0.042,0.039,-0.027,0.136,0.054,0.028,0.235,0.179,0.087,-0.029,0.040
27,0.867,0.944,0.634,0.569,-0.015,-0.024,0.036,-0.027,0.128,0.064,0.046,0.144,0.157,0.085,-0.037,0.041
28,0.900,0.944,0.640,0.569,-0.030,-0.039,0.024,-0.035,0.153,0.068,0.018,0.147,0.192,0.066,-0.044,0.045
29,0.933,0.944,0.635,0.566,-0.015,-0.027,0.025,-0.020,0.168,0.060,0.049,0.122,0.168,0.067,-0.017,0.040
30,0.967,0.942,0.634,0.569,-0.021,-0.031,0.037,-0.027,0.139,0.056,0.024,0.187,0.187,0.059,-0.023,0.045
31,1.000,0.946,0.635,0.567,-0.021,-0.028,0.024,-0.030,0.106,0.053,0.053,0.205,0.192,0.087,-0.047,0.050
32,1.033,0.944,0.638,0.567,-0.025,-0.044,0.021,-0.034,0.108,0.067,0.050,0.220,0.175,0.055,-0.046,0.050
33,1.067,0.948,0.639,0.567,-0.022,-0.047,0.022,-0.027,0.115,0.071,0.069,0.088,0.166,0.081,-0.011,0.049
