frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.925,0.626,0.451,0.118,0.006,0.343,-0.060,0.335,0.012,-0.093,1.495,1.049,0.200,0.022,-0.210
2,0.033,0.926,0.643,0.452,0.087,0.032,0.385,-0.060,0.223,-0.015,-0.120,1.638,0.997,0.164,0.029,-0.225
3,0.067,0.932,0.637,0.449,0.161,0.062,0.454,-0.071,0.164,0.000,-0.128,1.788,1.315,0.071,0.016,-0.182
4,0.100,0.933,0.643,0.445,0.041,0.027,0.318,-0.060,0.050,-0.014,-0.122,1.747,1.026,-0.069,0.011,-0.143
5,0.133,0.933,0.643,0.447,0.049,0.011,0.345,-0.033,0.042,-0.012,-0.117,1.661,1.034,-0.064,0.045,-0.144
6,0.167,0.933,0.643,0.448,0.046,0.002,0.352,-0.021,0.039,-0.007,-0.119,1.633,1.025,-0.051,0.055,-0.157
7,0.200,0.930,0.644,0.451,0.025,0.008,0.346,-0.032,0.005,-0.018,-0.126,1.645,1.056,-0.065,0.054,-0.161
8,0.233,0.927,0.643,0.447,0.024,0.012,0.392,-0.021,0.020,-0.000,-0.121,1.655,1.091,-0.057,0.048,-0.188
9,0.267,0.926,0.645,0.447,0.026,0.021,0.392,-0.037,0.018,-0.019,-0.099,1.622,1.089,-0.041,0.051,-0.172
10,0.300,0.924,0.638,0.452,0.033,-0.000,0.356,-0.029,0.005,-0.002,-0.105,1.617,1.040,-0.083,0.060,-0.129
11,0.333,0.929,0.616,0.456,0.080,0.019,0.431,-0.045,0.238,0.082,-0.106,1.697,1.183,-0.013,0.136,-0.114
12,0.367,0.931,0.618,0.456,0.075,0.013,0.404,-0.002,0.214,0.051,-0.061,1.657,1.074,0.015,0.126,-0.149
13,0.400,0.928,0.610,0.456,0.064,0.001,0.441,-0.014,0.356,0.066,-0.110,1.352,0.885,0.048,0.106,-0.117
14,0.433,0.931,0.616,0.448,0.074,0.020,0.449,-0.014,0.359,0.044,-0.116,1.371,0.925,0.049,0.114,-0.116
15,0.467,0.930,0.626,0.449,0.073,0.018,0.428,-0.011,0.302,0.055,-0.083,1.384,0.874,0.057,0.117,-0.105
16,0.500,0.926,0.631,0.451,0.076,0.021,0.447,-0.016,0.338,0.044,-0.133,1.304,0.955,0.097,0.090,-0.092
17,0.533,0.927,0.628,0.449,0.075,0.030,0.444,-0.028,0.373,0.083,-0.129,1.353,0.891,0.110,0.055,-0.078
18,0.567,0.925,0.627,0.446,0.088,0.062,0.349,-0.050,0.344,0.033,-0.065,1.380,0.972,0.154,0.051,-0.107
19,0.600,0.927,0.637,0.451,0.097,0.035,0.359,-0.014,0.318,0.021,-0.077,1.338,0.943,0.156,0.025,-0.120
20,0.633,0.927,0.632,0.452,0.103,0.047,0.389,-0.031,0.316,0.057,-0.126,1.423,0.964,0.150,0.070,-0.111
21,0.667,0.929,0.633,0.453,0.111,0.062,0.394,-0.030,0.320,0.061,-0.141,1.519,1.046,0.152,0.071,-0.113
22,0.700,0.936,0.634,0.451,0.128,0.091,0.360,-0.050,0.330,0.038,-0.157,1.602,1.051,0.132,0.079,-0.106
23,0.733,0.939,0.637,0.450,0.113,0.038,0.362,-0.025,0.284,0.016,-0.171,1.518,0.972,0.089,0.061,-0.086
24,0.767,0.940,0.641,0.449,0.104,0.046,0.384,-0.038,0.293,0.013,-0.171,1.531,0.941,0.103,0.082,-0.088
25,0.800,0.941,0.638,0.454,0.130,0.036,0.337,-0.084,0.140,-0.036,-0.207,1.714,1.135,0.133,0.012,-0.109
26,0.833,0.942,0.631,0.461,0.163,0.058,0.332,-0.082,0.170,-0.045,-0.211,1.627,1.110,0.101,0.004,-0.115
27,0.867,0.942,0.631,0.460,0.164,0.059,0.356,-0.081,0.195,-0.044,-0.207,1.604,1.159,0.116,-0.004,-0.107
28,0.900,0.945,0.628,0.446,0.122,-0.013,0.330,-0.078,0.202,-0.022,-0.083,1.484,0.958,0.035,-0.017,-0.130
29,0.933,0.945,0.629,0.452,0.103,0.019,0.425,-0.102,0.261,-0.002,-0.095,1.550,1.309,0.136,0.012,-0.164
30,0.967,0.946,0.628,0.453,0.118,0.022,0.426,-0.102,0.287,0.001,-0.100,1.591,1.337,0.153,0.001,-0.161
31,1.000,0.947,0.628,0.455,0.118,0.031,0.405,-0.095,0.225,0.033,-0.114,1.707,1.358,0.124,0.011,-0.138
