frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.97,0.63,0.48,0.34,0.33,0.01,-0.00,-0.01,0.00,-0.09,0.02,0.07,-0.04,0.15,-0.04
2,0.033,0.97,0.63,0.48,0.30,0.28,0.01,0.01,-0.00,-0.00,-0.11,0.06,0.07,-0.05,0.13,-0.05
3,0.067,0.97,0.63,0.49,0.26,0.24,0.01,0.01,-0.00,-0.00,-0.12,0.05,0.07,-0.05,0.13,-0.05
4,0.100,0.97,0.63,0.48,0.27,0.25,0.01,0.01,-0.00,-0.00,-0.12,0.05,0.07,-0.05,0.12,-0.05
5,0.133,0.97,0.62,0.48,0.25,0.22,0.01,0.00,-0.00,0.02,-0.10,0.07,0.08,-0.05,0.16,-0.06
6,0.167,0.97,0.62,0.48,0.23,0.21,0.01,0.00,0.00,0.02,-0.10,0.07,0.07,-0.05,0.16,-0.05
7,0.200,0.97,0.63,0.49,0.22,0.20,0.01,0.00,0.00,0.01,-0.11,0.06,0.08,-0.06,0.16,-0.05
8,0.233,0.97,0.62,0.49,0.20,0.18,0.02,0.03,0.02,0.02,-0.11,0.07,0.09,-0.09,0.13,-0.06
9,0.267,0.97,0.62,0.48,0.18,0.15,-0.00,0.03,-0.00,0.01,-0.10,0.06,0.09,-0.07,0.11,-0.06
10,0.300,0.97,0.62,0.48,0.19,0.17,-0.01,0.03,-0.00,0.01,-0.10,0.05,0.07,-0.06,0.16,-0.05
11,0.333,0.97,0.62,0.49,0.23,0.20,0.01,0.05,0.00,0.02,-0.10,0.06,0.08,-0.07,0.11,-0.05
12,0.367,0.97,0.62,0.48,0.23,0.20,0.00,0.04,0.00,0.01,-0.10,0.06,0.08,-0.08,0.11,-0.05
13,0.400,0.97,0.63,0.50,0.23,0.19,0.02,0.03,0.00,0.01,-0.12,0.06,0.07,-0.05,0.12,-0.02
14,0.433,0.97,0.63,0.49,0.23,0.20,0.02,0.02,0.00,0.01,-0.12,0.06,0.07,-0.04,0.15,-0.02
15,0.467,0.97,0.63,0.49,0.23,0.19,0.02,0.02,0.00,0.01,-0.12,0.05,0.07,-0.04,0.14,-0.02
16,0.500,0.97,0.63,0.50,0.27,0.25,0.00,0.06,-0.00,0.02,-0.10,0.06,0.07,-0.05,0.12,-0.03
17,0.533,0.97,0.63,0.50,0.27,0.25,0.00,0.05,0.00,0.02,-0.09,0.06,0.06,-0.05,0.13,-0.03
18,0.567,0.97,0.63,0.50,0.33,0.32,0.01,0.07,-0.01,0.02,-0.11,0.06,0.07,-0.05,0.15,-0.02
19,0.600,0.97,0.63,0.50,0.32,0.31,-0.02,0.06,-0.03,0.02,-0.11,0.08,0.07,-0.06,0.10,-0.02
20,0.633,0.97,0.63,0.50,0.33,0.31,-0.02,0.06,-0.03,0.02,-0.11,0.08,0.07,-0.05,0.10,-0.02
21,0.667,0.97,0.63,0.49,0.32,0.31,-0.02,0.08,-0.04,0.02,-0.11,0.08,0.08,-0.04,0.12,0.00
22,0.700,0.97,0.63,0.49,0.32,0.30,-0.01,0.08,-0.04,0.02,-0.11,0.09,0.09,-0.05,0.11,-0.00
23,0.733,0.97,0.63,0.49,0.31,0.29,-0.01,0.08,-0.04,0.02,-0.11,0.08,0.09,-0.04,0.12,-0.00
24,0.767,0.97,0.63,0.50,0.38,0.36,-0.03,0.15,-0.04,0.03,-0.10,0.11,0.07,-0.08,0.12,-0.02
25,0.800,0.97,0.63,0.49,0.26,0.23,-0.02,0.10,-0.03,0.01,-0.12,0.08,0.08,-0.10,0.11,-0.02
