frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.884,0.739,0.779,0.641,0.230,0.143,0.036,0.021,-0.093,-0.055,0.571,-0.015,-0.070,0.055,0.470
2,0.033,0.892,0.741,0.776,0.470,0.126,0.296,-0.029,-0.009,-0.092,-0.086,0.315,0.052,-0.054,0.276,1.126
3,0.067,0.891,0.743,0.775,0.311,-0.004,0.349,-0.004,0.070,-0.069,-0.076,0.334,0.049,-0.007,0.273,1.115
4,0.100,0.902,0.747,0.773,0.481,0.175,0.331,-0.025,0.014,-0.067,-0.165,0.124,0.056,-0.038,0.402,1.165
5,0.133,0.895,0.754,0.777,0.646,0.212,0.282,-0.053,0.006,-0.035,-0.165,0.245,0.103,-0.001,0.392,1.105
6,0.167,0.902,0.746,0.778,0.676,0.341,0.252,-0.045,0.013,-0.059,-0.144,0.167,0.081,-0.060,0.564,1.499
7,0.200,0.900,0.747,0.777,0.626,0.234,0.252,-0.032,0.036,-0.048,-0.126,0.388,0.035,-0.028,0.387,1.267
8,0.233,0.901,0.746,0.776,0.592,0.225,0.319,-0.028,0.029,-0.027,-0.109,0.333,0.069,-0.010,0.292,1.115
9,0.267,0.906,0.748,0.774,0.626,0.316,0.240,-0.009,0.039,-0.043,-0.175,0.374,0.099,-0.028,0.433,1.227
10,0.300,0.900,0.749,0.775,0.568,0.221,0.281,-0.004,0.025,-0.042,-0.127,0.372,0.031,-0.008,0.382,1.142
11,0.333,0.901,0.745,0.776,0.928,0.507,0.203,0.006,0.036,-0.048,-0.144,0.341,0.028,0.003,0.383,1.228
12,0.367,0.901,0.741,0.774,0.782,0.386,0.230,-0.007,0.037,-0.038,-0.107,0.390,0.102,-0.009,0.278,1.001
13,0.400,0.916,0.748,0.776,0.594,0.264,0.443,-0.060,0.007,-0.013,-0.080,0.157,0.105,-0.057,0.266,0.837
14,0.433,0.899,0.753,0.778,0.806,0.326,0.204,0.011,0.036,-0.003,-0.095,0.249,0.116,-0.029,0.133,0.679
15,0.467,0.892,0.748,0.780,0.933,0.436,0.172,-0.002,0.063,0.002,-0.088,0.266,0.082,-0.038,0.142,0.855
