frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.978,0.567,0.493,0.076,0.045,0.095,-0.016,0.032,0.015,-0.090,0.002,0.179,-0.006,0.024,-0.016
2,0.033,0.981,0.556,0.477,0.250,0.168,0.085,-0.050,0.012,0.024,-0.116,-0.012,0.203,0.006,0.049,-0.008
3,0.067,0.984,0.552,0.482,0.180,0.147,0.115,-0.020,0.018,0.013,-0.091,-0.010,0.195,0.009,0.054,-0.013
4,0.100,0.981,0.548,0.485,0.189,0.140,0.093,-0.029,0.028,0.010,-0.093,-0.007,0.233,0.002,0.030,-0.011
5,0.133,0.985,0.541,0.483,0.331,0.276,0.100,-0.061,0.024,0.014,-0.122,-0.002,0.196,-0.046,-0.018,0.001
6,0.167,0.979,0.566,0.499,0.137,0.110,0.127,-0.036,0.021,0.001,-0.108,0.017,0.239,-0.047,0.018,-0.023
7,0.200,0.982,0.578,0.504,0.078,0.028,0.138,-0.046,0.023,0.010,-0.134,0.071,0.287,-0.067,0.016,-0.044
8,0.233,0.983,0.590,0.501,0.088,0.035,0.125,-0.038,-0.000,0.025,-0.110,0.056,0.287,-0.056,0.032,-0.022
9,0.267,0.986,0.595,0.489,0.112,0.042,0.106,-0.032,-0.003,0.039,-0.098,-0.044,0.220,-0.035,0.013,-0.010
10,0.300,0.988,0.599,0.486,0.104,0.029,0.101,-0.024,-0.011,0.055,-0.088,-0.003,0.212,-0.029,0.011,0.003
11,0.333,0.988,0.598,0.484,0.099,0.016,0.102,-0.018,-0.017,0.056,-0.088,0.052,0.209,-0.019,0.014,-0.007
12,0.367,0.982,0.622,0.497,0.058,0.007,0.118,-0.040,-0.038,0.056,-0.112,0.024,0.236,-0.042,0.009,-0.025
13,0.400,0.985,0.621,0.496,0.056,0.007,0.121,-0.040,-0.035,0.058,-0.116,0.020,0.213,-0.034,0.007,-0.034
14,0.433,0.988,0.638,0.503,0.029,-0.023,0.120,-0.037,-0.027,0.056,-0.090,-0.013,0.209,-0.038,0.007,-0.043
15,0.467,0.988,0.645,0.503,0.037,-0.017,0.096,-0.036,-0.026,0.054,-0.097,0.004,0.222,-0.055,0.027,-0.013
16,0.500,0.985,0.651,0.497,0.033,-0.027,0.078,-0.048,-0.008,0.041,-0.067,0.007,0.228,-0.054,0.027,-0.030
17,0.533,0.984,0.654,0.500,0.042,-0.025,0.093,-0.036,-0.007,0.044,-0.067,0.013,0.230,-0.054,0.019,-0.040
18,0.567,0.988,0.644,0.510,0.054,-0.015,0.093,-0.042,-0.017,0.038,-0.093,-0.012,0.231,-0.069,0.015,-0.014
19,0.600,0.985,0.655,0.507,0.045,-0.018,0.077,-0.036,-0.016,0.024,-0.097,-0.001,0.227,-0.059,0.012,-0.033
20,0.633,0.984,0.650,0.508,0.055,-0.030,0.079,-0.047,-0.011,0.028,-0.110,-0.000,0.217,-0.056,0.010,-0.029
21,0.667,0.986,0.647,0.506,0.035,-0.047,0.078,-0.041,-0.000,0.033,-0.104,0.023,0.232,-0.052,-0.008,-0.053
22,0.700,0.983,0.653,0.509,0.035,-0.039,0.077,-0.036,-0.009,0.034,-0.100,0.018,0.245,-0.049,0.006,-0.033
23,0.733,0.981,0.656,0.504,0.027,-0.036,0.056,-0.039,-0.026,0.037,-0.088,0.025,0.275,-0.060,0.006,-0.038
24,0.767,0.983,0.659,0.509,0.024,-0.040,0.049,-0.024,-0.026,0.043,-0.095,0.012,0.232,-0.055,0.019,-0.031
25,0.800,0.981,0.658,0.512,0.040,-0.029,0.064,-0.030,-0.018,0.044,-0.074,-0.001,0.186,-0.041,0.034,-0.045
26,0.833,0.979,0.661,0.516,0.049,-0.021,0.053,-0.039,-0.027,0.050,-0.082,-0.012,0.198,-0.037,0.036,-0.033
27,0.867,0.978,0.665,0.513,0.059,-0.018,0.056,-0.031,-0.022,0.038,-0.080,-0.019,0.187,-0.030,0.027,-0.035
28,0.900,0.979,0.661,0.509,0.048,-0.015,0.050,-0.021,-0.015,0.047,-0.083,-0.009,0.202,-0.034,0.025,-0.027
29,0.933,0.979,0.663,0.513,0.042,-0.036,0.058,-0.021,-0.018,0.054,-0.090,-0.008,0.207,-0.042,0.012,-0.037
30,0.967,0.979,0.659,0.510,0.046,-0.029,0.062,-0.020,-0.011,0.059,-0.085,-0.002,0.201,-0.024,0.009,-0.026
31,1.000,0.982,0.656,0.510,0.037,-0.047,0.078,-0.018,-0.016,0.045,-0.086,-0.012,0.174,-0.027,0.008,-0.048
32,1.033,0.983,0.662,0.503,0.026,-0.041,0.062,-0.026,-0.010,0.037,-0.085,0.015,0.208,-0.042,0.019,-0.029
33,1.067,0.984,0.659,0.500,0.029,-0.044,0.067,-0.026,-0.007,0.031,-0.082,0.011,0.182,-0.028,0.032,-0.027
34,1.100,0.982,0.662,0.497,0.025,-0.030,0.082,-0.025,-0.001,0.041,-0.082,0.039,0.181,-0.035,0.049,-0.026
35,1.133,0.980,0.668,0.504,-0.007,-0.049,0.060,-0.025,-0.036,0.032,-0.041,0.028,0.157,-0.030,0.276,0.005
36,1.167,0.979,0.661,0.495,-0.042,-0.022,0.038,0.004,0.086,0.070,-0.036,0.314,0.137,-0.020,2.240,0.346
37,1.200,0.978,0.676,0.502,-0.017,0.021,-0.027,-0.038,0.149,0.021,-0.119,0.387,0.177,0.077,2.533,0.491
38,1.233,0.976,0.673,0.496,0.037,0.133,-0.059,-0.070,0.207,-0.002,-0.098,0.369,0.148,0.254,2.660,0.401
39,1.267,0.975,0.669,0.501,0.059,0.158,-0.043,-0.090,0.260,0.012,-0.083,0.327,0.213,0.385,2.769,0.399
40,1.300,0.971,0.665,0.503,0.010,0.111,-0.038,-0.078,0.237,-0.001,-0.082,0.254,0.117,0.479,2.828,0.269
41,1.333,0.979,0.667,0.508,-0.034,0.074,-0.045,-0.059,0.232,0.028,-0.073,0.417,0.120,0.538,2.830,0.356
42,1.367,0.980,0.668,0.504,-0.013,0.090,-0.066,-0.076,0.236,0.014,-0.063,0.382,0.101,0.534,2.858,0.355
43,1.400,0.977,0.671,0.494,-0.044,0.056,-0.031,-0.071,0.226,0.014,-0.021,0.524,0.100,0.527,2.788,0.383
44,1.433,0.975,0.665,0.494,0.009,0.121,-0.054,-0.077,0.264,0.022,-0.054,0.519,0.090,0.531,2.820,0.376
45,1.467,0.972,0.668,0.500,-0.039,0.057,-0.016,-0.067,0.221,0.008,-0.056,0.471,0.069,0.450,2.889,0.386
46,1.500,0.972,0.675,0.491,-0.023,0.066,-0.026,-0.061,0.228,-0.006,-0.085,0.499,0.064,0.451,2.873,0.370
47,1.533,0.965,0.670,0.492,-0.057,0.041,-0.027,-0.055,0.239,0.018,-0.044,0.482,0.100,0.582,2.882,0.351
48,1.567,0.964,0.671,0.493,-0.039,0.095,-0.033,-0.053,0.207,0.022,-0.047,0.519,0.068,0.523,2.863,0.391
49,1.600,0.973,0.689,0.485,-0.081,0.004,-0.002,-0.038,0.201,0.021,-0.004,0.478,0.079,0.506,2.849,0.247
50,1.633,0.968,0.701,0.492,-0.100,0.024,0.036,-0.041,0.227,0.057,-0.038,0.578,0.040,0.419,2.739,0.158
51,1.667,0.963,0.684,0.484,-0.053,0.075,0.008,-0.056,0.211,0.042,-0.056,0.504,0.088,0.506,2.828,0.157
52,1.700,0.966,0.676,0.492,-0.112,-0.011,0.024,-0.043,0.197,0.039,-0.056,0.569,0.095,0.550,2.815,0.141
53,1.733,0.969,0.675,0.502,-0.123,0.005,0.033,-0.043,0.220,0.040,-0.042,0.558,0.096,0.594,2.778,0.189
54,1.767,0.966,0.684,0.505,-0.135,-0.005,0.037,-0.024,0.236,0.059,-0.035,0.551,0.087,0.544,2.757,0.184
55,1.800,0.961,0.680,0.496,-0.099,0.005,0.032,-0.031,0.224,0.058,-0.070,0.450,0.082,0.508,2.809,0.164
56,1.833,0.964,0.701,0.486,-0.050,0.029,0.014,-0.029,0.213,0.051,-0.038,0.448,0.073,0.464,2.778,0.167
57,1.867,0.962,0.686,0.487,-0.083,0.054,0.009,-0.027,0.234,0.040,-0.064,0.502,0.079,0.541,2.743,0.150
58,1.900,0.965,0.681,0.482,-0.111,0.021,-0.003,-0.021,0.225,0.056,-0.071,0.477,0.094,0.600,2.797,0.169
59,1.933,0.971,0.684,0.469,-0.058,0.068,-0.034,-0.031,0.169,0.049,-0.051,0.428,0.101,0.498,2.795,0.200
60,1.967,0.968,0.671,0.477,-0.154,-0.027,0.030,-0.042,0.207,0.053,-0.027,0.565,0.031,0.622,2.748,0.178
61,2.000,0.971,0.673,0.467,-0.128,-0.015,-0.035,-0.047,0.240,0.069,0.014,0.524,0.090,0.623,2.756,0.290
62,2.033,0.973,0.670,0.472,-0.138,-0.023,-0.000,-0.054,0.257,0.063,0.023,0.592,0.079,0.501,2.760,0.245
63,2.067,0.976,0.677,0.471,-0.057,0.057,0.018,-0.042,0.238,0.047,-0.070,0.466,0.119,0.388,2.707,0.247
64,2.100,0.977,0.670,0.473,-0.048,-0.008,0.047,-0.050,0.232,0.046,-0.031,0.476,0.109,0.366,2.646,0.222
65,2.133,0.977,0.656,0.464,0.001,0.053,0.068,-0.057,0.247,0.051,0.006,0.517,0.146,0.379,2.727,0.170
66,2.167,0.976,0.643,0.461,-0.041,0.040,0.064,-0.047,0.237,0.040,0.002,0.493,0.118,0.390,2.675,0.131
67,2.200,0.974,0.648,0.463,0.003,0.057,0.035,-0.066,0.222,0.048,-0.032,0.525,0.151,0.385,2.680,0.153
68,2.233,0.974,0.636,0.471,-0.037,0.026,0.029,-0.068,0.237,0.059,-0.016,0.574,0.171,0.411,2.736,0.174
69,2.267,0.971,0.642,0.479,0.038,0.096,0.041,-0.065,0.198,0.040,-0.047,0.615,0.120,0.387,2.803,0.265
70,2.300,0.975,0.639,0.488,0.061,0.058,0.057,-0.047,0.217,0.053,-0.032,0.544,0.134,0.307,2.836,0.300
71,2.333,0.978,0.643,0.494,0.050,0.065,0.057,-0.051,0.197,0.049,-0.045,0.478,0.143,0.227,2.734,0.366
72,2.367,0.977,0.634,0.501,0.045,0.045,0.041,-0.054,0.175,0.039,-0.001,0.463,0.111,0.260,2.731,0.392
73,2.400,0.979,0.637,0.508,0.022,0.042,0.018,-0.049,0.133,0.059,-0.011,0.422,0.126,0.245,2.771,0.320
74,2.433,0.977,0.633,0.519,0.043,0.045,0.044,-0.060,0.120,0.054,-0.013,0.395,0.125,0.219,2.795,0.300
75,2.467,0.977,0.630,0.519,0.056,0.050,0.032,-0.061,0.105,0.016,-0.013,0.429,0.149,0.161,2.757,0.290
76,2.500,0.974,0.633,0.519,0.036,0.014,0.044,-0.042,0.124,0.008,-0.030,0.414,0.101,0.180,2.779,0.224
77,2.533,0.977,0.647,0.521,0.013,0.017,0.037,-0.049,0.109,0.017,-0.073,0.480,0.085,0.155,2.819,0.394
78,2.567,0.972,0.652,0.516,0.061,0.061,0.025,-0.046,0.101,0.028,-0.073,0.490,0.080,0.139,2.803,0.399
79,2.600,0.973,0.658,0.513,0.046,0.045,0.029,-0.031,0.126,0.051,-0.079,0.389,0.069,0.143,2.742,0.378
80,2.633,0.977,0.658,0.511,0.081,0.126,0.031,-0.064,0.164,0.001,-0.088,0.487,0.114,0.102,2.815,0.336
81,2.667,0.972,0.664,0.510,0.061,0.043,0.039,-0.050,0.145,0.040,-0.085,0.579,0.135,0.064,2.783,0.331
82,2.700,0.975,0.667,0.512,0.061,0.044,0.053,-0.039,0.118,0.072,-0.071,0.567,0.119,0.041,2.774,0.330
83,2.733,0.973,0.674,0.510,0.025,-0.008,0.071,-0.028,0.144,0.078,-0.055,0.527,0.081,0.022,2.737,0.333
84,2.767,0.967,0.668,0.513,0.003,-0.015,0.094,-0.036,0.146,0.086,-0.068,0.565,0.095,0.033,2.792,0.291
85,2.800,0.963,0.682,0.499,0.026,0.020,0.038,0.001,0.111,0.089,-0.037,0.569,0.169,0.062,2.912,0.259
86,2.833,0.950,0.694,0.504,0.032,0.027,0.049,-0.009,0.101,0.094,-0.042,0.485,0.132,0.044,3.044,0.245
