frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.957,0.769,0.498,1.254,1.348,-0.184,0.451,0.138,-0.004,0.642,0.087,-0.016,0.196,0.189,0.353
2,0.033,0.958,0.738,0.515,1.042,1.366,-0.150,0.368,0.113,0.060,0.566,0.104,0.023,0.112,0.273,0.582
3,0.067,0.969,0.748,0.514,1.101,1.304,-0.147,0.523,0.088,0.038,0.490,0.118,-0.005,0.043,0.099,0.466
4,0.100,0.972,0.777,0.517,0.874,1.274,-0.152,0.499,0.068,0.005,0.368,0.105,0.018,-0.037,0.014,0.362
5,0.133,0.964,0.771,0.512,1.382,1.349,-0.128,0.734,0.136,0.044,0.348,0.112,-0.027,0.010,0.071,0.359
6,0.167,0.951,0.748,0.535,1.533,1.463,-0.196,0.667,0.120,0.024,0.466,0.085,-0.028,0.071,0.079,0.321
7,0.200,0.952,0.767,0.511,1.279,1.507,-0.157,0.904,0.094,0.008,0.379,0.081,0.010,0.006,0.090,0.401
8,0.233,0.952,0.769,0.529,1.077,1.436,-0.167,0.956,0.095,0.015,0.303,0.079,0.022,-0.014,0.068,0.312
9,0.267,0.956,0.786,0.515,1.282,1.534,-0.098,0.975,0.160,0.052,0.505,0.064,-0.044,0.100,0.117,0.238
10,0.300,0.949,0.783,0.516,1.474,1.534,-0.194,1.100,0.091,0.040,0.593,0.120,-0.080,0.213,0.196,0.287
11,0.333,0.952,0.780,0.514,1.425,1.567,-0.136,0.780,0.056,0.099,0.382,0.139,-0.080,0.174,0.134,0.306
12,0.367,0.960,0.810,0.505,1.249,1.614,-0.154,0.470,0.075,0.074,0.381,0.140,-0.002,0.158,0.110,0.404
13,0.400,0.956,0.781,0.510,1.040,1.211,-0.223,0.580,0.138,-0.025,0.414,0.119,-0.051,0.091,0.014,0.361
14,0.433,0.953,0.776,0.514,0.434,0.629,-0.157,0.393,0.079,-0.032,0.437,0.133,0.024,0.047,0.008,0.326
15,0.467,0.950,0.775,0.511,0.784,1.021,-0.120,0.466,0.119,-0.036,0.387,0.142,0.004,0.054,-0.065,0.329
16,0.500,0.953,0.786,0.514,1.049,1.241,-0.164,0.717,0.142,-0.002,0.455,0.130,-0.044,0.061,0.035,0.265
