frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.869,0.649,0.544,-0.009,0.243,0.271,0.116,0.152,0.409,0.195,1.271,0.388,0.158,3.454,4.070
2,0.033,0.874,0.652,0.543,-0.025,0.227,0.321,0.130,0.223,0.432,0.195,1.162,0.396,0.128,3.436,3.996
3,0.067,0.869,0.654,0.539,-0.056,0.204,0.301,0.133,0.291,0.444,0.204,1.086,0.410,0.120,3.445,4.052
4,0.100,0.865,0.638,0.536,0.059,0.277,0.323,0.103,0.192,0.465,0.135,1.157,0.362,0.172,3.542,4.041
5,0.133,0.869,0.638,0.529,0.003,0.271,0.309,0.084,0.214,0.452,0.141,1.177,0.349,0.269,3.586,4.078
6,0.167,0.866,0.634,0.530,0.039,0.264,0.354,0.097,0.214,0.481,0.131,1.128,0.291,0.238,3.607,4.126
7,0.200,0.879,0.658,0.531,0.042,0.311,0.324,0.069,0.173,0.424,0.130,1.123,0.199,0.216,3.667,4.217
8,0.233,0.876,0.641,0.523,-0.016,0.262,0.330,0.079,0.149,0.417,0.145,1.067,0.267,0.226,3.635,4.150
9,0.267,0.867,0.643,0.523,0.012,0.250,0.271,0.084,0.159,0.391,0.161,1.078,0.264,0.228,3.638,4.142
10,0.300,0.860,0.660,0.527,0.042,0.227,0.272,0.082,0.180,0.388,0.130,1.025,0.240,0.203,3.618,4.165
11,0.333,0.863,0.640,0.523,0.002,0.253,0.280,0.070,0.197,0.369,0.173,1.144,0.151,0.232,3.630,4.103
12,0.367,0.874,0.643,0.521,0.036,0.268,0.301,0.078,0.163,0.405,0.176,1.058,0.169,0.215,3.588,4.146
13,0.400,0.889,0.650,0.515,0.061,0.222,0.295,0.055,0.156,0.300,0.158,1.033,0.087,0.202,3.644,4.132
14,0.433,0.889,0.643,0.509,0.058,0.166,0.322,0.023,0.203,0.254,0.133,1.006,0.134,0.200,3.631,4.226
15,0.467,0.878,0.645,0.506,0.042,0.186,0.311,0.023,0.161,0.269,0.160,1.021,0.135,0.224,3.710,4.243
