frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.93,0.55,0.53,0.30,0.31,-0.14,-0.05,0.65,-0.03,0.06,0.15,0.23,0.16,0.09,-0.02
2,0.033,0.93,0.58,0.54,0.34,0.33,-0.14,-0.03,0.72,-0.04,0.19,0.13,0.22,0.11,0.11,-0.04
3,0.067,0.94,0.59,0.54,0.33,0.29,-0.16,-0.06,0.59,-0.05,0.12,0.18,0.24,0.13,0.08,-0.03
4,0.100,0.94,0.59,0.55,0.25,0.20,-0.12,-0.03,0.49,-0.06,0.05,0.18,0.22,0.16,0.09,-0.03
5,0.133,0.93,0.59,0.54,0.40,0.29,-0.15,-0.03,0.41,-0.06,0.08,0.14,0.22,0.13,0.13,-0.04
6,0.167,0.93,0.58,0.54,0.37,0.27,-0.13,-0.04,0.41,-0.07,0.03,0.21,0.26,0.12,0.13,-0.04
7,0.200,0.93,0.58,0.54,0.31,0.23,-0.13,-0.05,0.44,-0.08,0.04,0.27,0.29,0.13,0.13,-0.00
8,0.233,0.94,0.59,0.53,0.16,0.11,-0.08,-0.04,0.35,-0.04,0.14,0.18,0.17,0.09,0.08,-0.04
9,0.267,0.95,0.60,0.54,0.09,0.04,-0.07,-0.06,0.35,-0.03,0.14,0.13,0.11,0.04,0.06,-0.00
10,0.300,0.95,0.60,0.54,0.04,0.00,-0.05,-0.05,0.35,-0.01,0.16,0.12,0.12,0.05,0.05,-0.03
11,0.333,0.94,0.62,0.54,0.04,-0.02,-0.01,-0.04,0.29,0.03,0.25,0.13,0.09,0.07,0.02,-0.03
12,0.367,0.95,0.63,0.54,0.04,-0.01,0.03,-0.06,0.28,0.05,0.23,0.10,0.15,0.07,0.01,-0.02
13,0.400,0.95,0.62,0.54,0.01,-0.01,-0.01,-0.08,0.29,0.03,0.26,0.05,0.16,0.08,0.00,0.00
14,0.433,0.96,0.62,0.53,-0.01,-0.01,-0.03,-0.09,0.28,0.01,0.30,0.11,0.14,0.09,-0.01,-0.00
15,0.467,0.95,0.59,0.53,0.13,0.25,-0.09,0.00,0.63,-0.02,0.30,0.17,0.10,0.18,0.02,-0.05
16,0.500,0.95,0.57,0.55,0.50,0.64,-0.20,-0.02,0.67,-0.09,0.25,0.23,0.10,0.22,0.03,0.03
17,0.533,0.95,0.57,0.54,0.45,0.60,-0.16,-0.03,0.69,-0.12,0.27,0.16,0.09,0.19,0.08,-0.00
18,0.567,0.96,0.58,0.54,0.66,0.83,-0.15,-0.02,0.57,-0.09,0.25,0.16,0.07,0.16,0.07,0.01
19,0.600,0.96,0.58,0.54,0.56,0.64,-0.19,-0.04,0.66,-0.07,0.22,0.16,0.11,0.17,0.09,0.01
20,0.633,0.96,0.59,0.54,0.39,0.45,-0.14,-0.02,0.42,-0.01,0.23,0.24,0.14,0.12,0.06,0.02
21,0.667,0.97,0.61,0.53,0.40,0.45,-0.11,-0.04,0.28,0.01,-0.05,0.41,0.13,0.03,0.02,-0.02
22,0.700,0.97,0.64,0.53,0.34,0.44,-0.03,-0.09,0.05,0.05,-0.09,0.58,0.30,-0.01,0.06,0.05
23,0.733,0.97,0.66,0.53,0.60,0.74,-0.04,-0.13,0.04,0.08,-0.04,0.56,0.18,-0.02,0.07,0.02
24,0.767,0.95,0.67,0.53,0.65,0.73,-0.03,-0.10,0.02,0.07,-0.03,0.40,0.19,-0.03,0.03,-0.05
25,0.800,0.95,0.66,0.52,0.69,0.84,-0.01,-0.10,0.06,0.05,-0.01,0.63,0.30,-0.04,-0.01,-0.10
26,0.833,0.95,0.66,0.52,0.82,1.05,-0.01,-0.13,0.02,0.03,-0.01,0.22,0.19,-0.09,0.01,-0.13
27,0.867,0.96,0.66,0.50,0.85,1.04,-0.05,-0.12,-0.04,0.05,-0.02,0.05,0.13,-0.03,0.01,-0.16
28,0.900,0.96,0.68,0.50,0.59,0.69,-0.08,-0.12,-0.03,0.07,-0.07,0.06,0.15,-0.04,0.03,-0.11
29,0.933,0.95,0.69,0.50,0.43,0.55,-0.01,-0.06,0.00,0.06,-0.05,0.12,0.19,-0.01,0.02,-0.10
30,0.967,0.95,0.70,0.50,0.51,0.80,0.00,0.01,-0.02,0.05,-0.04,0.15,0.12,-0.01,0.01,-0.13
31,1.000,0.95,0.71,0.51,0.36,0.57,0.06,0.04,-0.02,0.06,-0.08,0.17,0.13,-0.03,0.01,-0.14
32,1.033,0.96,0.71,0.50,0.59,1.00,0.04,0.03,0.00,0.06,-0.04,0.36,0.13,-0.03,0.02,-0.14
33,1.067,0.96,0.72,0.50,0.41,0.67,0.02,-0.04,-0.02,0.05,-0.03,0.19,0.18,-0.05,0.03,-0.10
34,1.100,0.96,0.74,0.52,0.30,0.43,0.03,-0.02,-0.02,0.08,-0.06,0.06,0.15,-0.03,0.07,-0.09
35,1.133,0.96,0.76,0.53,0.25,0.29,0.05,-0.02,0.04,0.09,-0.06,0.20,0.15,-0.04,0.06,-0.07
36,1.167,0.96,0.76,0.53,0.26,0.28,0.06,-0.04,0.09,0.12,-0.04,0.51,0.22,-0.07,0.09,-0.08
37,1.200,0.96,0.76,0.54,0.16,0.18,0.11,0.01,0.11,0.13,-0.03,0.63,0.25,-0.11,0.06,-0.08
38,1.233,0.96,0.75,0.55,0.20,0.25,0.12,0.00,0.09,0.11,-0.05,0.65,0.21,-0.10,0.07,-0.02
