frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.972,0.561,0.494,0.972,0.604,-0.007,-0.024,-0.014,-0.002,-0.013,-0.019,0.128,-0.025,0.146,0.015
2,0.033,0.973,0.602,0.502,0.208,0.201,0.036,-0.022,0.011,-0.007,-0.065,0.007,0.118,-0.027,0.160,-0.054
3,0.067,0.973,0.602,0.502,0.175,0.177,0.047,-0.028,-0.007,0.002,-0.064,0.002,0.116,-0.025,0.188,-0.059
4,0.100,0.972,0.627,0.497,0.777,0.573,-0.011,-0.024,0.001,0.039,-0.045,0.026,0.126,-0.029,0.187,0.000
5,0.133,0.972,0.629,0.499,0.777,0.574,-0.009,-0.027,-0.001,0.037,-0.051,0.018,0.116,-0.035,0.194,0.003
6,0.167,0.975,0.635,0.503,1.089,0.987,-0.043,0.174,-0.017,0.046,-0.053,0.057,0.119,-0.054,0.207,0.013
7,0.200,0.975,0.637,0.501,1.088,0.918,-0.024,0.118,-0.008,0.052,-0.047,0.054,0.138,-0.065,0.255,0.015
8,0.233,0.975,0.646,0.506,0.999,0.937,-0.029,0.350,0.009,0.065,-0.031,0.113,0.173,-0.056,0.126,-0.013
9,0.267,0.975,0.645,0.508,1.013,0.939,-0.012,0.396,0.008,0.067,-0.028,0.117,0.160,-0.053,0.104,-0.017
10,0.300,0.975,0.647,0.506,1.068,1.022,-0.013,0.418,0.010,0.072,-0.022,0.123,0.164,-0.069,0.083,-0.008
11,0.333,0.975,0.644,0.509,1.103,1.027,-0.014,0.451,0.001,0.075,-0.012,0.120,0.159,-0.042,0.095,-0.010
12,0.367,0.974,0.636,0.497,1.411,1.312,-0.037,0.584,0.026,0.066,-0.011,0.105,0.116,-0.065,0.185,0.030
13,0.400,0.972,0.631,0.496,1.123,0.980,0.001,0.446,0.023,0.053,-0.053,0.096,0.139,-0.078,0.122,0.010
14,0.433,0.972,0.632,0.495,1.088,0.920,-0.011,0.404,0.028,0.048,-0.060,0.088,0.126,-0.078,0.120,0.014
15,0.467,0.972,0.631,0.494,1.220,1.084,-0.029,0.507,0.011,0.057,-0.041,0.099,0.107,-0.082,0.095,0.013
16,0.500,0.972,0.630,0.495,1.433,1.402,-0.044,0.498,-0.012,0.064,-0.003,0.081,0.090,-0.061,0.156,0.051
17,0.533,0.972,0.631,0.495,1.367,1.271,-0.056,0.478,-0.010,0.063,-0.021,0.100,0.084,-0.075,0.172,0.040
18,0.567,0.972,0.631,0.495,1.331,1.237,-0.060,0.479,-0.007,0.065,-0.023,0.098,0.086,-0.079,0.167,0.034
19,0.600,0.971,0.630,0.496,1.396,1.340,-0.027,0.435,-0.002,0.075,0.005,0.085,0.100,-0.061,0.127,0.056
20,0.633,0.971,0.630,0.496,1.407,1.311,-0.033,0.437,0.002,0.078,-0.000,0.081,0.104,-0.056,0.121,0.054
21,0.667,0.969,0.627,0.491,1.180,1.120,-0.012,0.295,-0.000,0.039,-0.034,0.071,0.087,-0.061,0.153,0.043
22,0.700,0.970,0.632,0.492,1.186,1.172,-0.024,0.251,-0.009,0.063,-0.025,0.065,0.084,-0.064,0.154,0.032
