frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.940,0.723,0.505,-0.051,0.131,0.116,-0.016,0.430,0.048,-0.040,0.480,0.794,0.154,0.509,0.509
2,0.033,0.941,0.725,0.511,-0.070,0.111,0.088,-0.004,0.457,0.051,-0.041,0.381,0.828,0.148,0.357,0.444
3,0.067,0.945,0.732,0.511,-0.046,0.106,0.130,0.016,0.397,0.062,-0.038,0.730,1.035,0.095,0.286,0.547
4,0.100,0.935,0.726,0.521,-0.039,0.025,0.154,0.014,0.233,0.058,-0.062,0.469,0.768,0.098,0.224,0.433
5,0.133,0.932,0.729,0.521,-0.035,0.063,0.257,-0.009,0.272,0.065,-0.029,0.517,0.673,0.134,0.230,0.501
6,0.167,0.933,0.723,0.530,-0.009,0.050,0.208,0.006,0.341,0.104,-0.033,0.537,0.723,0.119,0.274,0.506
7,0.200,0.936,0.738,0.520,-0.047,0.052,0.199,0.000,0.320,0.067,-0.043,0.590,0.774,0.085,0.223,0.571
8,0.233,0.935,0.739,0.516,-0.060,0.058,0.204,-0.008,0.312,0.060,-0.042,0.623,0.762,0.095,0.248,0.534
9,0.267,0.933,0.734,0.513,-0.053,0.056,0.251,-0.004,0.305,0.070,-0.048,0.599,0.845,0.119,0.217,0.564
10,0.300,0.935,0.734,0.516,-0.056,0.060,0.178,-0.019,0.311,0.075,-0.072,0.463,0.581,0.123,0.295,0.739
11,0.333,0.934,0.727,0.522,-0.041,0.017,0.212,-0.038,0.290,0.094,-0.052,0.381,0.520,0.131,0.241,0.669
12,0.367,0.937,0.738,0.517,-0.049,0.009,0.329,-0.040,0.281,0.065,-0.071,0.230,0.386,0.072,0.260,0.626
13,0.400,0.946,0.721,0.521,-0.041,-0.009,0.193,-0.026,0.350,0.027,-0.044,0.457,0.685,0.094,0.175,0.579
14,0.433,0.945,0.722,0.529,-0.049,0.065,0.182,-0.009,0.372,0.057,0.015,0.666,0.881,0.093,0.124,0.596
15,0.467,0.944,0.717,0.529,-0.051,0.040,0.213,-0.005,0.291,0.074,-0.018,0.495,0.658,0.085,0.181,0.525
16,0.500,0.939,0.726,0.524,-0.052,0.001,0.175,0.014,0.361,0.064,-0.084,0.422,0.390,0.040,0.158,0.434
17,0.533,0.946,0.732,0.531,-0.033,-0.002,0.186,-0.024,0.405,0.069,-0.089,0.328,0.373,0.040,0.201,0.375
18,0.567,0.949,0.724,0.533,-0.074,0.008,0.288,-0.026,0.361,0.077,-0.081,0.398,0.416,0.031,0.213,0.460
19,0.600,0.953,0.732,0.530,-0.060,-0.015,0.249,-0.003,0.415,0.078,-0.113,0.366,0.360,0.046,0.290,0.533
20,0.633,0.958,0.738,0.531,-0.059,-0.005,0.279,-0.024,0.349,0.099,-0.077,0.298,0.239,0.037,0.261,0.447
