frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.922,0.780,0.491,0.067,0.014,0.009,-0.010,0.034,0.049,0.176,0.028,0.167,0.112,0.107,-0.055
2,0.033,0.921,0.784,0.493,0.120,0.058,0.007,-0.024,0.039,0.046,0.154,0.016,0.175,0.091,0.106,-0.050
3,0.067,0.921,0.783,0.493,0.073,0.003,0.023,-0.017,0.028,0.056,0.175,0.019,0.157,0.106,0.106,-0.040
4,0.100,0.926,0.786,0.492,0.098,0.037,0.028,-0.013,0.025,0.055,0.185,0.024,0.162,0.087,0.095,-0.051
5,0.133,0.923,0.787,0.491,0.085,0.026,0.045,-0.003,0.030,0.058,0.199,0.031,0.152,0.082,0.104,-0.029
6,0.167,0.922,0.786,0.491,0.091,0.022,0.031,-0.018,0.035,0.046,0.185,0.026,0.152,0.090,0.094,-0.044
7,0.200,0.924,0.786,0.492,0.103,0.028,0.039,-0.007,0.027,0.056,0.189,0.032,0.153,0.055,0.100,-0.044
8,0.233,0.920,0.787,0.489,0.076,0.017,0.048,0.008,0.040,0.049,0.160,0.025,0.149,0.086,0.099,-0.044
9,0.267,0.920,0.789,0.488,0.162,0.083,0.029,-0.026,0.031,0.033,0.188,0.014,0.186,0.066,0.102,-0.044
10,0.300,0.919,0.787,0.487,0.146,0.060,0.025,-0.003,0.019,0.030,0.181,0.027,0.173,0.077,0.097,-0.048
11,0.333,0.919,0.786,0.488,0.139,0.064,0.017,-0.001,0.034,0.025,0.178,0.025,0.187,0.075,0.097,-0.051
12,0.367,0.919,0.786,0.486,0.174,0.086,0.022,-0.009,0.028,0.037,0.171,0.018,0.190,0.067,0.108,-0.059
13,0.400,0.929,0.790,0.491,0.191,0.087,0.022,-0.003,0.024,0.047,0.178,0.026,0.197,0.143,0.094,-0.061
14,0.433,0.930,0.788,0.491,0.188,0.091,0.012,0.003,0.016,0.049,0.189,0.018,0.180,0.103,0.090,-0.051
15,0.467,0.930,0.788,0.491,0.219,0.100,0.017,-0.006,0.032,0.035,0.181,0.018,0.189,0.088,0.089,-0.054
16,0.500,0.931,0.787,0.490,0.181,0.076,0.017,-0.002,0.024,0.043,0.190,0.026,0.206,0.116,0.097,-0.069
17,0.533,0.932,0.787,0.490,0.193,0.089,0.017,-0.001,0.022,0.042,0.192,0.021,0.204,0.109,0.094,-0.070
18,0.567,0.930,0.786,0.491,0.258,0.114,0.023,-0.010,0.032,0.036,0.204,0.031,0.186,0.130,0.096,-0.074
19,0.600,0.930,0.787,0.491,0.284,0.123,0.029,-0.013,0.044,0.040,0.228,0.034,0.180,0.144,0.095,-0.072
20,0.633,0.927,0.788,0.490,0.205,0.080,0.020,0.012,0.064,0.037,0.204,0.058,0.207,0.198,0.111,-0.066
21,0.667,0.924,0.789,0.489,0.158,0.076,-0.005,-0.014,0.047,0.050,0.204,0.052,0.228,0.174,0.089,-0.067
22,0.700,0.923,0.787,0.489,0.215,0.101,0.016,0.012,0.091,0.024,0.236,0.053,0.205,0.190,0.109,-0.057
23,0.733,0.925,0.788,0.490,0.162,0.080,0.002,0.008,0.075,0.033,0.243,0.049,0.184,0.188,0.110,-0.055
24,0.767,0.924,0.787,0.491,0.162,0.063,0.012,-0.008,0.060,0.024,0.246,0.046,0.191,0.173,0.116,-0.054
25,0.800,0.923,0.787,0.491,0.090,0.016,0.002,0.005,0.044,0.034,0.253,0.047,0.173,0.158,0.103,-0.043
26,0.833,0.921,0.788,0.493,0.123,0.060,-0.007,-0.019,0.038,0.036,0.226,0.058,0.169,0.145,0.089,-0.051
27,0.867,0.925,0.787,0.490,0.085,0.016,0.010,0.010,0.045,0.040,0.250,0.040,0.166,0.164,0.100,-0.045
28,0.900,0.924,0.785,0.490,0.114,0.039,0.001,0.008,0.084,0.019,0.266,0.044,0.151,0.161,0.099,-0.043
29,0.933,0.922,0.782,0.487,0.102,0.044,-0.001,0.001,0.085,0.021,0.238,0.042,0.145,0.189,0.084,-0.042
30,0.967,0.922,0.783,0.489,0.103,0.042,-0.010,-0.001,0.080,0.015,0.224,0.050,0.136,0.149,0.087,-0.047
31,1.000,0.924,0.783,0.489,0.090,0.028,0.001,0.000,0.095,0.024,0.217,0.051,0.129,0.162,0.087,-0.048
32,1.033,0.921,0.785,0.489,0.167,0.084,0.002,-0.011,0.031,0.041,0.169,0.024,0.152,0.134,0.071,-0.074
33,1.067,0.925,0.785,0.489,0.133,0.055,-0.000,-0.011,0.020,0.052,0.180,0.027,0.137,0.087,0.067,-0.072
34,1.100,0.924,0.786,0.491,0.129,0.052,0.001,-0.000,0.028,0.049,0.207,0.035,0.111,0.103,0.070,-0.056
35,1.133,0.920,0.788,0.489,0.160,0.066,-0.009,-0.010,0.027,0.035,0.170,0.038,0.158,0.159,0.084,-0.079
36,1.167,0.921,0.785,0.488,0.125,0.056,-0.001,-0.005,0.025,0.040,0.191,0.040,0.173,0.183,0.091,-0.067
37,1.200,0.920,0.785,0.488,0.233,0.107,-0.004,-0.012,0.023,0.041,0.197,0.044,0.159,0.154,0.058,-0.089
38,1.233,0.919,0.786,0.487,0.173,0.085,-0.003,-0.005,0.036,0.034,0.195,0.039,0.145,0.177,0.050,-0.083
39,1.267,0.922,0.786,0.489,0.167,0.074,0.009,0.010,0.065,0.036,0.225,0.043,0.132,0.133,0.078,-0.046
40,1.300,0.921,0.784,0.491,0.149,0.075,0.001,0.004,0.074,0.037,0.224,0.044,0.146,0.159,0.075,-0.055
41,1.333,0.920,0.784,0.488,0.160,0.076,0.002,0.016,0.056,0.039,0.214,0.037,0.130,0.145,0.083,-0.049
42,1.367,0.920,0.785,0.488,0.155,0.067,0.002,0.014,0.050,0.035,0.208,0.041,0.130,0.140,0.078,-0.052
43,1.400,0.922,0.791,0.490,0.175,0.080,-0.006,-0.015,0.034,0.043,0.161,0.052,0.184,0.144,0.078,-0.072
44,1.433,0.917,0.787,0.497,0.371,0.173,0.019,-0.032,0.045,0.013,0.173,0.041,0.151,0.069,0.068,-0.036
45,1.467,0.919,0.790,0.495,0.321,0.148,0.012,-0.017,0.028,0.036,0.169,0.034,0.137,0.068,0.072,-0.039
46,1.500,0.920,0.787,0.494,0.151,0.071,0.017,0.006,0.064,0.022,0.193,0.020,0.119,0.092,0.083,-0.045
47,1.533,0.921,0.789,0.497,0.265,0.128,0.009,-0.012,0.082,0.015,0.232,0.051,0.152,0.132,0.087,-0.055
48,1.567,0.922,0.789,0.494,0.265,0.162,0.016,0.000,0.092,0.006,0.231,0.035,0.153,0.100,0.083,-0.052
49,1.600,0.925,0.793,0.501,0.375,0.286,0.020,-0.053,0.078,-0.012,0.158,0.051,0.194,0.079,0.061,-0.036
50,1.633,0.924,0.790,0.503,0.681,0.638,0.046,-0.048,0.113,-0.030,0.238,0.049,0.178,0.136,0.054,0.018
51,1.667,0.921,0.793,0.498,1.392,1.417,0.005,-0.042,0.092,-0.029,0.298,0.103,0.182,0.054,0.014,0.077
52,1.700,0.917,0.793,0.502,1.878,1.815,-0.030,-0.072,0.080,-0.063,0.277,0.132,0.159,0.055,-0.028,0.101
53,1.733,0.923,0.773,0.505,2.216,2.066,0.076,-0.039,0.030,0.008,0.235,0.096,0.087,-0.073,0.013,0.182
54,1.767,0.924,0.771,0.503,2.257,2.109,0.095,-0.039,0.019,0.005,0.241,0.094,0.070,-0.105,0.020,0.197
55,1.800,0.923,0.719,0.502,3.002,2.976,0.156,0.122,-0.003,-0.032,0.168,0.159,0.086,-0.029,0.055,0.295
56,1.833,0.925,0.733,0.512,4.036,3.921,0.079,0.144,-0.105,-0.031,0.135,0.113,-0.018,-0.202,0.010,0.368
