frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.936,0.545,0.389,0.641,0.612,0.062,0.017,0.793,0.007,0.163,0.671,0.575,0.052,0.185,0.110
2,0.033,0.937,0.550,0.389,0.440,0.403,0.053,-0.049,0.707,0.034,0.235,0.532,0.378,0.090,0.180,0.027
3,0.067,0.941,0.536,0.398,0.716,0.725,0.021,-0.032,0.806,-0.066,0.160,0.790,0.542,0.007,0.292,0.148
4,0.100,0.938,0.523,0.392,0.640,0.567,0.018,0.021,0.610,-0.017,0.047,0.788,0.506,-0.002,0.241,0.151
5,0.133,0.931,0.533,0.397,0.409,0.278,0.100,-0.041,0.510,-0.024,0.059,0.643,0.330,-0.021,0.203,0.011
6,0.167,0.928,0.536,0.403,0.315,0.245,0.101,-0.022,0.586,0.038,0.100,0.681,0.439,-0.024,0.235,0.033
7,0.200,0.928,0.539,0.406,0.510,0.441,0.107,-0.047,0.558,0.069,0.070,0.481,0.373,-0.025,0.263,-0.012
8,0.233,0.930,0.532,0.410,0.437,0.377,0.121,-0.008,0.617,0.078,0.159,0.537,0.440,0.008,0.201,0.011
9,0.267,0.933,0.534,0.418,0.361,0.253,0.129,-0.012,0.628,0.054,0.185,0.681,0.504,0.048,0.223,0.034
10,0.300,0.929,0.530,0.423,0.297,0.222,0.107,-0.030,0.586,0.061,0.159,0.692,0.442,0.031,0.139,0.073
11,0.333,0.928,0.525,0.429,0.342,0.247,0.127,-0.021,0.582,0.096,0.177,0.745,0.490,0.092,0.159,0.049
12,0.367,0.926,0.525,0.425,0.383,0.275,0.121,-0.004,0.592,0.053,0.165,0.837,0.543,0.070,0.154,0.108
13,0.400,0.927,0.525,0.423,0.140,0.086,0.038,-0.048,0.446,0.041,0.072,0.641,0.319,0.015,0.118,0.024
14,0.433,0.928,0.525,0.421,0.177,0.139,0.074,-0.047,0.492,0.054,0.074,0.742,0.398,0.034,0.135,0.067
