frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.968,0.610,0.581,0.064,0.009,0.006,-0.032,0.135,0.054,0.207,0.107,0.081,0.022,0.040,0.058
2,0.033,0.967,0.616,0.580,0.053,0.008,0.009,-0.068,0.144,0.060,0.169,0.104,0.072,0.008,0.041,0.048
3,0.067,0.969,0.616,0.574,0.031,-0.009,0.030,-0.042,0.170,0.061,0.192,0.114,0.060,0.011,0.029,0.046
4,0.100,0.974,0.615,0.564,0.037,-0.003,0.032,-0.042,0.182,0.071,0.239,0.105,0.055,0.029,0.037,0.070
5,0.133,0.975,0.603,0.566,0.051,-0.006,0.027,-0.051,0.199,0.074,0.220,0.047,0.106,0.040,0.043,0.039
6,0.167,0.976,0.606,0.567,0.079,0.053,0.024,-0.025,0.196,0.069,0.180,0.065,0.104,0.068,0.065,0.044
7,0.200,0.975,0.613,0.566,0.022,0.007,0.028,-0.039,0.203,0.066,0.236,0.044,0.091,0.081,0.055,0.073
8,0.233,0.974,0.616,0.562,0.018,0.019,0.013,-0.038,0.197,0.069,0.210,0.036,0.085,0.096,0.064,0.029
9,0.267,0.975,0.626,0.566,0.002,-0.017,0.018,-0.022,0.171,0.082,0.199,0.032,0.053,0.108,0.048,0.064
10,0.300,0.973,0.622,0.560,0.013,-0.019,0.011,-0.033,0.161,0.092,0.160,0.025,0.059,0.107,0.054,0.068
11,0.333,0.974,0.628,0.563,0.020,-0.029,0.001,-0.020,0.177,0.077,0.328,0.006,0.085,0.124,0.036,0.039
12,0.367,0.972,0.634,0.565,0.028,-0.035,0.013,-0.033,0.136,0.089,0.206,0.014,0.059,0.098,0.047,0.046
13,0.400,0.970,0.630,0.558,0.031,-0.002,-0.005,-0.031,0.145,0.071,0.196,0.026,0.089,0.079,0.043,-0.009
14,0.433,0.973,0.638,0.554,0.019,0.009,-0.008,-0.026,0.158,0.066,0.206,-0.003,0.088,0.061,0.038,-0.006
15,0.467,0.969,0.651,0.544,0.023,0.003,0.018,-0.021,0.188,0.035,0.245,0.014,0.047,0.037,0.049,-0.014
16,0.500,0.972,0.661,0.535,0.048,-0.004,0.047,-0.025,0.159,0.012,0.224,0.025,0.065,0.019,0.040,-0.029
17,0.533,0.969,0.660,0.543,0.049,0.023,0.018,-0.011,0.118,0.017,0.278,-0.018,0.093,0.027,0.033,-0.021
18,0.567,0.973,0.668,0.543,0.047,-0.011,0.013,-0.015,0.139,0.018,0.272,-0.018,0.095,0.015,0.033,-0.033
19,0.600,0.971,0.654,0.547,0.032,-0.027,0.002,-0.031,0.094,0.027,0.305,-0.002,0.127,0.037,0.027,-0.039
20,0.633,0.969,0.663,0.548,0.028,-0.007,0.025,-0.018,0.126,0.032,0.283,-0.013,0.125,0.011,0.027,-0.040
21,0.667,0.973,0.663,0.555,0.019,-0.018,0.031,-0.045,0.111,0.010,0.279,0.004,0.083,0.019,0.029,-0.044
22,0.700,0.972,0.673,0.555,0.023,-0.021,0.026,-0.046,0.160,0.010,0.352,-0.018,0.121,0.008,0.027,-0.050
23,0.733,0.963,0.676,0.553,0.021,-0.037,0.029,-0.059,0.131,0.003,0.324,-0.008,0.097,0.006,0.018,-0.089
24,0.767,0.965,0.680,0.562,0.018,-0.019,0.011,-0.043,0.124,0.020,0.410,-0.024,0.151,0.046,0.008,-0.053
25,0.800,0.960,0.679,0.569,0.007,-0.004,0.087,-0.041,0.129,0.041,0.184,-0.028,0.120,0.046,0.025,-0.057
26,0.833,0.960,0.674,0.572,-0.002,-0.012,0.097,-0.031,0.127,0.042,0.160,-0.018,0.100,0.015,0.015,-0.050
27,0.867,0.960,0.675,0.571,0.017,-0.002,0.115,-0.028,0.108,0.049,0.154,-0.018,0.104,0.010,0.014,-0.062
28,0.900,0.958,0.678,0.569,-0.006,-0.012,0.135,-0.032,0.100,0.045,0.145,-0.015,0.119,0.025,0.009,-0.065
29,0.933,0.958,0.679,0.567,0.007,-0.001,0.105,-0.027,0.129,0.032,0.193,-0.023,0.136,0.031,-0.009,-0.085
30,0.967,0.956,0.675,0.569,0.001,-0.010,0.102,-0.032,0.146,0.040,0.212,-0.023,0.144,0.042,-0.007,-0.086
31,1.000,0.954,0.680,0.566,-0.007,-0.017,0.102,-0.029,0.137,0.021,0.243,-0.007,0.111,0.031,0.006,-0.060
32,1.033,0.957,0.680,0.569,-0.016,-0.015,0.121,-0.043,0.160,0.035,0.228,-0.006,0.108,0.040,0.008,-0.063
33,1.067,0.957,0.680,0.566,-0.001,-0.006,0.127,-0.022,0.157,0.026,0.226,-0.014,0.099,0.019,0.007,-0.064
34,1.100,0.956,0.688,0.563,0.000,-0.008,0.191,-0.025,0.144,0.033,0.170,-0.017,0.080,0.026,-0.007,-0.072
35,1.133,0.954,0.691,0.564,0.015,0.005,0.198,-0.020,0.142,0.019,0.097,-0.000,0.076,0.021,-0.000,-0.071
36,1.167,0.954,0.692,0.563,0.013,0.014,0.333,-0.002,0.141,0.034,0.091,-0.051,0.078,0.026,-0.016,-0.099
37,1.200,0.954,0.694,0.565,0.007,0.021,0.440,-0.034,0.193,0.058,0.084,-0.048,0.092,0.060,-0.018,-0.092
38,1.233,0.955,0.697,0.570,0.039,0.024,0.334,-0.046,0.275,0.038,0.148,-0.040,0.107,0.115,0.033,-0.058
39,1.267,0.961,0.710,0.573,0.047,0.015,0.463,-0.054,0.297,0.005,0.180,-0.063,0.078,0.081,0.015,-0.075
