frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.974,0.646,0.532,0.065,-0.032,0.525,0.043,-0.037,0.105,-0.111,-0.041,0.058,0.038,0.224,0.239
2,0.033,0.972,0.662,0.541,0.060,-0.008,0.419,0.042,-0.013,0.048,-0.075,-0.051,0.084,0.049,0.195,0.221
3,0.067,0.971,0.684,0.538,0.073,0.007,0.350,0.009,-0.010,0.054,-0.093,-0.048,0.070,0.066,0.241,0.264
4,0.100,0.968,0.692,0.535,0.091,0.020,0.181,-0.013,-0.034,0.057,-0.108,-0.035,0.041,0.068,0.170,0.328
5,0.133,0.963,0.705,0.546,0.080,0.030,0.127,-0.008,-0.040,0.068,-0.090,-0.032,0.050,0.059,0.164,0.327
6,0.167,0.970,0.712,0.540,0.090,0.035,0.062,-0.004,-0.052,0.053,-0.106,-0.023,0.040,0.049,0.275,0.342
7,0.200,0.955,0.713,0.533,0.079,0.029,0.050,-0.012,-0.052,0.064,-0.104,-0.023,0.008,0.049,0.326,0.319
8,0.233,0.949,0.715,0.538,0.059,0.032,0.061,-0.023,-0.048,0.071,-0.110,-0.037,0.011,0.037,0.223,0.262
9,0.267,0.956,0.712,0.529,0.049,0.023,0.075,-0.025,-0.037,0.082,-0.094,-0.026,0.026,0.039,0.245,0.378
10,0.300,0.966,0.713,0.539,0.035,0.025,0.032,-0.055,-0.002,0.084,-0.100,-0.032,0.049,0.037,0.304,0.443
11,0.333,0.973,0.732,0.537,0.001,0.004,0.189,-0.018,-0.040,0.078,-0.110,-0.052,0.075,0.009,0.291,0.481
12,0.367,0.973,0.734,0.539,0.015,0.023,0.144,-0.005,-0.051,0.075,-0.124,-0.034,0.099,0.005,0.233,0.566
13,0.400,0.965,0.741,0.537,0.033,0.068,0.095,-0.026,-0.041,0.070,-0.142,-0.016,0.100,0.016,0.300,0.596
14,0.433,0.967,0.748,0.528,0.045,0.057,0.028,-0.048,-0.029,0.061,-0.141,-0.008,0.113,0.008,0.316,0.819
15,0.467,0.966,0.746,0.524,0.050,0.050,0.002,-0.030,-0.012,0.056,-0.142,-0.022,0.102,-0.001,0.232,0.637
16,0.500,0.964,0.736,0.537,0.040,0.053,-0.023,-0.023,-0.035,0.067,-0.153,-0.009,0.098,-0.007,0.359,0.718
17,0.533,0.967,0.738,0.532,0.046,0.057,0.077,-0.018,-0.047,0.050,-0.122,-0.031,0.086,0.003,0.266,0.569
18,0.567,0.971,0.746,0.532,0.047,0.054,0.064,-0.011,-0.046,0.045,-0.125,-0.044,0.070,-0.021,0.317,0.591
19,0.600,0.962,0.747,0.532,0.064,0.077,0.067,-0.017,-0.042,0.058,-0.132,-0.043,0.061,-0.016,0.323,0.571
20,0.633,0.956,0.745,0.537,0.066,0.072,0.100,-0.002,-0.044,0.056,-0.123,-0.041,0.064,-0.031,0.249,0.527
21,0.667,0.962,0.740,0.543,0.062,0.072,0.063,-0.003,-0.030,0.058,-0.110,-0.046,0.044,-0.019,0.244,0.517
22,0.700,0.960,0.756,0.540,0.065,0.072,0.027,-0.009,-0.043,0.063,-0.090,-0.032,0.067,-0.026,0.206,0.478
23,0.733,0.963,0.756,0.543,0.077,0.073,0.077,-0.001,-0.064,0.051,-0.086,-0.045,0.034,-0.023,0.208,0.428
24,0.767,0.964,0.742,0.551,0.064,0.084,0.018,-0.010,-0.048,0.067,-0.064,-0.038,0.036,-0.030,0.234,0.458
25,0.800,0.964,0.747,0.545,0.065,0.084,0.029,-0.021,-0.060,0.067,-0.095,-0.031,0.037,-0.014,0.333,0.494
26,0.833,0.968,0.742,0.552,0.065,0.091,0.049,-0.012,-0.065,0.089,-0.066,-0.027,0.039,-0.008,0.254,0.455
27,0.867,0.968,0.743,0.557,0.061,0.094,0.010,-0.025,-0.054,0.077,-0.085,-0.025,0.037,-0.005,0.281,0.431
28,0.900,0.970,0.739,0.557,0.045,0.072,-0.009,-0.025,-0.053,0.068,-0.093,-0.045,0.039,-0.005,0.304,0.467
29,0.933,0.968,0.746,0.553,0.055,0.082,-0.024,-0.018,-0.041,0.087,-0.085,-0.035,0.024,-0.000,0.254,0.444
30,0.967,0.972,0.745,0.554,0.071,0.079,-0.004,-0.006,-0.035,0.073,-0.092,-0.038,0.037,-0.028,0.288,0.383
31,1.000,0.975,0.757,0.557,0.064,0.097,-0.007,-0.010,-0.036,0.078,-0.073,-0.031,0.032,-0.020,0.195,0.380
32,1.033,0.974,0.750,0.557,0.075,0.068,-0.005,-0.001,-0.033,0.080,-0.071,-0.020,0.029,-0.018,0.209,0.467
33,1.067,0.975,0.747,0.557,0.077,0.088,-0.010,-0.004,-0.021,0.077,-0.075,-0.014,0.037,-0.022,0.180,0.429
34,1.100,0.977,0.740,0.561,0.078,0.093,0.001,0.000,-0.024,0.091,-0.084,-0.030,0.021,-0.020,0.260,0.456
35,1.133,0.979,0.755,0.561,0.085,0.098,0.017,-0.001,-0.032,0.088,-0.079,-0.029,0.038,-0.014,0.173,0.457
36,1.167,0.976,0.740,0.569,0.074,0.102,0.004,-0.006,-0.024,0.095,-0.081,-0.035,0.030,0.005,0.204,0.400
