frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.904,0.545,0.552,0.553,0.299,-0.149,0.178,0.221,0.089,-0.029,0.431,0.847,-0.011,0.185,0.146
2,0.033,0.908,0.537,0.528,1.001,0.708,-0.181,0.327,0.075,0.031,-0.064,0.425,0.930,-0.021,0.298,0.191
3,0.067,0.915,0.529,0.541,0.609,0.227,-0.168,0.206,0.310,0.112,-0.094,0.429,0.944,-0.034,0.332,0.154
4,0.100,0.908,0.527,0.549,1.513,1.287,-0.164,0.173,0.278,0.106,-0.081,0.815,1.236,0.043,0.517,0.429
5,0.133,0.915,0.540,0.531,1.048,0.725,-0.097,0.195,0.215,0.054,-0.119,0.900,1.057,0.016,0.294,0.370
6,0.167,0.912,0.539,0.542,1.389,1.062,-0.115,0.234,0.354,0.107,0.004,0.613,1.144,0.099,0.175,0.243
7,0.200,0.914,0.541,0.545,1.349,0.995,-0.048,0.220,0.240,0.108,0.025,0.684,1.281,0.111,0.252,0.335
8,0.233,0.920,0.528,0.551,1.565,1.289,-0.040,0.379,0.068,0.084,-0.015,0.605,1.308,0.035,0.223,0.214
9,0.267,0.920,0.538,0.544,1.394,1.053,-0.091,0.364,0.137,0.069,-0.012,0.575,1.163,0.087,0.258,0.203
10,0.300,0.923,0.539,0.544,1.200,0.879,-0.065,0.312,0.163,0.059,-0.006,0.590,1.163,0.095,0.282,0.191
11,0.333,0.919,0.519,0.547,1.435,1.064,-0.050,0.334,0.114,0.061,-0.036,0.482,1.256,0.087,0.369,0.176
12,0.367,0.918,0.510,0.540,1.482,1.187,-0.011,0.345,0.154,0.109,-0.084,0.648,1.278,0.080,0.427,0.213
13,0.400,0.912,0.535,0.536,0.871,0.712,0.019,0.156,0.298,0.064,-0.143,0.350,1.077,0.029,0.584,0.313
14,0.433,0.914,0.532,0.535,1.070,0.832,0.070,0.152,0.402,0.040,-0.077,0.501,1.158,0.006,0.311,0.141
15,0.467,0.915,0.539,0.536,1.077,0.783,-0.002,0.152,0.345,0.060,-0.042,0.297,1.050,0.002,0.328,0.253
16,0.500,0.921,0.528,0.548,1.400,1.033,-0.085,0.332,0.329,0.014,-0.103,0.411,0.970,0.024,0.360,0.198
17,0.533,0.919,0.519,0.546,0.970,0.645,-0.095,0.146,0.460,0.167,-0.020,0.285,0.787,-0.045,0.351,0.133
