frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.951,0.735,0.548,0.087,0.048,0.272,0.161,0.476,-0.069,0.306,0.966,1.164,0.326,-0.042,0.212
2,0.033,0.951,0.734,0.549,0.084,0.053,0.263,0.158,0.487,-0.071,0.333,0.976,1.207,0.303,-0.041,0.246
3,0.067,0.954,0.720,0.539,0.094,0.056,0.284,0.176,0.479,-0.052,0.290,1.105,1.262,0.243,-0.027,0.182
4,0.100,0.953,0.721,0.542,0.087,0.091,0.305,0.192,0.505,-0.055,0.252,1.272,1.404,0.256,-0.016,0.221
5,0.133,0.951,0.726,0.526,0.090,0.055,0.290,0.155,0.574,-0.027,0.225,1.339,1.370,0.249,0.015,0.111
6,0.167,0.953,0.722,0.527,0.099,0.048,0.294,0.165,0.553,-0.021,0.243,1.279,1.185,0.245,0.016,0.102
7,0.200,0.955,0.718,0.531,0.061,0.061,0.296,0.175,0.559,-0.078,0.230,1.019,1.373,0.308,0.027,0.104
8,0.233,0.955,0.703,0.526,0.052,0.053,0.282,0.172,0.469,-0.108,0.252,0.983,1.405,0.363,-0.019,0.120
9,0.267,0.951,0.714,0.533,0.044,0.033,0.345,0.100,0.488,-0.101,0.136,1.066,1.172,0.214,0.015,0.032
10,0.300,0.956,0.713,0.540,0.052,0.050,0.355,0.133,0.482,-0.099,0.218,0.944,1.162,0.233,-0.007,0.062
11,0.333,0.947,0.715,0.538,0.084,0.054,0.352,0.157,0.514,-0.101,0.129,1.097,1.164,0.172,0.007,0.048
12,0.367,0.944,0.727,0.513,0.071,0.094,0.202,0.100,0.470,-0.097,0.063,0.961,0.899,0.101,0.055,0.058
13,0.400,0.943,0.710,0.525,0.057,0.102,0.384,0.117,0.482,-0.045,0.019,1.238,1.234,0.202,0.030,0.166
14,0.433,0.943,0.723,0.523,0.062,0.089,0.367,0.127,0.480,-0.039,0.015,1.322,1.330,0.204,0.036,0.179
15,0.467,0.944,0.710,0.525,0.063,0.072,0.374,0.123,0.476,-0.014,0.004,1.271,1.189,0.216,0.036,0.167
16,0.500,0.946,0.713,0.525,0.083,0.087,0.495,0.126,0.436,0.007,0.006,1.086,1.032,0.156,0.001,0.076
17,0.533,0.946,0.712,0.525,0.090,0.075,0.525,0.135,0.478,-0.021,-0.031,1.038,1.058,0.170,-0.018,0.069
18,0.567,0.947,0.714,0.524,0.101,0.094,0.493,0.145,0.527,-0.048,-0.053,1.102,1.046,0.146,-0.023,0.071
19,0.600,0.952,0.710,0.532,0.109,0.076,0.353,0.136,0.479,-0.107,0.032,1.021,0.915,0.110,0.013,0.003
20,0.633,0.956,0.716,0.529,0.090,0.097,0.367,0.147,0.516,-0.109,0.055,1.121,1.036,0.161,-0.021,0.003
21,0.667,0.959,0.721,0.526,0.089,0.074,0.387,0.150,0.513,-0.103,0.111,1.034,0.957,0.239,-0.030,0.012
22,0.700,0.958,0.701,0.535,0.076,0.070,0.380,0.141,0.482,-0.103,0.073,1.072,0.922,0.268,0.010,0.006
23,0.733,0.957,0.712,0.532,0.096,0.060,0.350,0.130,0.554,-0.104,0.120,1.049,0.866,0.241,0.002,-0.009
24,0.767,0.952,0.707,0.527,0.109,0.054,0.319,0.124,0.583,-0.117,0.085,1.087,1.069,0.290,0.000,-0.009
25,0.800,0.950,0.708,0.531,0.038,0.011,0.242,0.146,0.622,-0.166,0.232,0.950,0.669,0.265,-0.004,-0.035
26,0.833,0.951,0.708,0.534,0.035,0.010,0.212,0.143,0.613,-0.153,0.239,0.965,0.698,0.233,-0.005,-0.035
27,0.867,0.944,0.715,0.528,0.045,0.040,0.275,0.177,0.598,-0.124,0.159,1.004,0.724,0.182,0.046,-0.028
28,0.900,0.938,0.715,0.530,0.021,0.011,0.197,0.144,0.584,-0.120,0.115,0.978,0.642,0.130,0.024,-0.012
29,0.933,0.939,0.714,0.526,0.018,0.035,0.197,0.124,0.586,-0.123,0.162,0.972,0.540,0.111,0.032,-0.026
30,0.967,0.940,0.717,0.532,0.021,0.051,0.267,0.142,0.512,-0.091,0.138,1.059,0.672,0.129,0.035,-0.034
31,1.000,0.934,0.712,0.538,0.028,0.026,0.232,0.133,0.501,-0.095,0.096,1.049,0.626,0.190,0.020,-0.012
32,1.033,0.937,0.710,0.538,0.018,0.026,0.235,0.121,0.406,-0.087,0.043,1.047,0.524,0.143,0.031,0.008
33,1.067,0.935,0.708,0.531,0.024,0.028,0.212,0.144,0.438,-0.107,0.049,1.028,0.516,0.168,0.001,0.009
34,1.100,0.939,0.705,0.529,0.027,0.016,0.171,0.137,0.408,-0.069,0.038,1.031,0.500,0.135,-0.011,0.006
35,1.133,0.942,0.713,0.530,0.003,0.019,0.241,0.142,0.467,-0.083,0.027,1.026,0.489,0.120,0.006,-0.020
36,1.167,0.946,0.705,0.532,0.012,0.011,0.224,0.132,0.409,-0.070,0.048,0.963,0.462,0.121,0.016,-0.043
37,1.200,0.946,0.709,0.534,0.010,0.013,0.307,0.124,0.479,-0.048,-0.002,1.029,0.464,0.073,0.042,-0.016
38,1.233,0.947,0.711,0.532,0.017,0.023,0.310,0.126,0.478,-0.070,-0.020,1.061,0.525,0.114,0.028,-0.005
39,1.267,0.949,0.702,0.536,0.009,0.011,0.323,0.130,0.432,-0.087,-0.042,0.935,0.457,0.112,0.099,-0.042
40,1.300,0.948,0.710,0.536,-0.001,0.016,0.263,0.103,0.390,-0.063,-0.042,1.010,0.452,0.092,0.081,-0.009
41,1.333,0.948,0.710,0.537,0.003,0.013,0.224,0.097,0.415,-0.065,-0.031,1.006,0.472,0.085,0.076,0.005
42,1.367,0.945,0.701,0.533,0.025,0.007,0.259,0.112,0.424,-0.075,-0.052,1.042,0.496,0.112,0.033,0.015
43,1.400,0.945,0.714,0.527,0.026,0.026,0.296,0.092,0.413,-0.032,-0.058,0.963,0.401,0.074,0.036,0.022
44,1.433,0.944,0.717,0.534,0.006,0.048,0.267,0.119,0.450,-0.061,-0.029,1.020,0.467,0.076,0.044,0.012
45,1.467,0.943,0.726,0.527,0.018,0.064,0.302,0.111,0.388,-0.068,-0.030,1.010,0.440,0.093,0.082,0.023
46,1.500,0.942,0.720,0.531,0.027,0.029,0.251,0.101,0.433,-0.094,-0.017,0.921,0.510,0.099,0.062,-0.047
47,1.533,0.947,0.718,0.532,0.019,0.023,0.226,0.094,0.429,-0.106,0.008,0.825,0.472,0.080,0.046,-0.034
48,1.567,0.948,0.716,0.525,0.014,0.037,0.225,0.107,0.451,-0.089,0.025,0.945,0.496,0.094,0.066,-0.037
49,1.600,0.948,0.712,0.527,0.043,0.010,0.251,0.109,0.469,-0.097,-0.044,0.839,0.612,0.025,0.059,-0.081
50,1.633,0.950,0.714,0.522,0.016,0.028,0.219,0.116,0.511,-0.108,-0.016,0.911,0.695,0.038,0.033,-0.086
51,1.667,0.949,0.721,0.528,0.010,0.039,0.248,0.123,0.487,-0.103,0.012,0.874,0.684,0.028,0.029,-0.077
52,1.700,0.948,0.718,0.530,0.001,0.032,0.183,0.112,0.478,-0.110,0.034,0.773,0.621,0.025,0.033,-0.066
53,1.733,0.946,0.719,0.532,0.017,0.032,0.203,0.116,0.487,-0.092,0.022,0.747,0.668,0.023,0.013,-0.087
54,1.767,0.947,0.714,0.530,0.042,0.026,0.209,0.091,0.493,-0.059,0.024,0.672,0.602,0.074,0.035,-0.113
55,1.800,0.947,0.714,0.530,0.043,0.046,0.221,0.097,0.495,-0.054,0.009,0.684,0.643,0.089,0.035,-0.114
56,1.833,0.947,0.712,0.530,0.039,0.044,0.219,0.093,0.498,-0.059,0.031,0.653,0.625,0.088,0.031,-0.108
57,1.867,0.947,0.711,0.531,0.021,0.031,0.218,0.081,0.465,-0.053,0.066,0.594,0.526,0.086,0.051,-0.080
58,1.900,0.949,0.711,0.531,0.010,0.030,0.203,0.070,0.457,-0.064,0.047,0.627,0.529,0.078,0.054,-0.075
59,1.933,0.949,0.711,0.528,0.018,0.021,0.220,0.064,0.452,-0.037,0.057,0.605,0.537,0.091,0.032,-0.108
60,1.967,0.947,0.714,0.529,0.028,0.028,0.186,0.052,0.473,-0.052,0.089,0.618,0.574,0.119,0.009,-0.107
61,2.000,0.945,0.723,0.525,0.035,0.041,0.317,0.072,0.408,-0.029,-0.096,0.780,0.602,0.096,-0.035,-0.071
62,2.033,0.946,0.713,0.527,0.035,0.051,0.346,0.074,0.411,-0.037,-0.081,0.840,0.646,0.093,-0.038,-0.052
63,2.067,0.941,0.716,0.521,0.032,0.037,0.287,0.072,0.425,-0.031,-0.080,0.763,0.498,0.124,-0.011,-0.048
64,2.100,0.941,0.716,0.521,0.031,0.027,0.279,0.071,0.413,-0.029,-0.081,0.728,0.466,0.135,-0.004,-0.038
65,2.133,0.938,0.718,0.519,0.010,0.036,0.181,0.068,0.396,-0.032,-0.033,0.663,0.397,0.123,0.044,-0.027
66,2.167,0.938,0.717,0.518,0.033,0.058,0.194,0.082,0.399,-0.034,-0.036,0.656,0.446,0.124,0.033,-0.011
67,2.200,0.939,0.717,0.520,0.007,0.037,0.245,0.063,0.407,-0.032,-0.054,0.657,0.403,0.133,0.022,-0.003
68,2.233,0.938,0.718,0.521,0.018,0.042,0.202,0.061,0.392,-0.048,-0.036,0.653,0.388,0.118,0.027,0.008
69,2.267,0.936,0.722,0.522,0.034,0.055,0.152,0.051,0.396,-0.064,-0.037,0.665,0.420,0.102,0.067,-0.035
70,2.300,0.939,0.724,0.523,0.034,0.045,0.158,0.051,0.367,-0.065,-0.071,0.679,0.436,0.106,0.068,-0.040
