frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.85,0.64,0.57,0.06,0.11,-0.06,-0.04,0.67,-0.08,-0.04,0.35,0.08,0.02,-0.03,-0.05
2,0.033,0.89,0.64,0.55,0.12,0.16,-0.06,-0.06,0.63,-0.07,0.02,0.30,0.18,0.07,0.00,-0.02
3,0.067,0.93,0.63,0.55,0.00,-0.03,-0.00,-0.10,0.49,0.03,-0.09,0.35,0.20,0.10,0.17,-0.08
4,0.100,0.90,0.63,0.55,0.05,0.05,0.03,-0.08,0.50,0.03,-0.09,0.60,0.27,0.05,0.23,-0.03
5,0.133,0.92,0.64,0.57,0.05,-0.08,-0.07,-0.08,0.33,0.08,0.09,0.16,0.08,-0.01,1.40,0.83
6,0.167,0.92,0.64,0.57,0.16,0.04,-0.08,-0.02,0.15,0.10,0.09,0.23,0.23,-0.07,1.67,1.01
7,0.200,0.93,0.65,0.52,-0.01,0.03,0.01,0.02,0.45,0.10,0.07,0.38,0.16,-0.01,0.10,0.14
8,0.233,0.95,0.65,0.48,0.06,0.05,-0.06,0.01,0.56,-0.01,0.08,0.51,0.24,-0.12,-0.08,0.03
9,0.267,0.92,0.67,0.44,0.15,0.11,-0.11,-0.04,0.65,-0.03,0.14,0.32,0.28,-0.16,-0.05,0.32
10,0.300,0.92,0.66,0.44,0.14,0.13,-0.13,-0.07,0.28,0.04,0.31,0.17,0.43,-0.07,1.18,1.25
11,0.333,0.92,0.66,0.44,0.22,0.09,-0.14,-0.08,0.12,0.06,0.06,0.12,0.24,0.04,1.68,1.67
12,0.367,0.96,0.66,0.44,0.18,0.05,-0.20,0.01,0.10,0.16,0.20,0.12,0.18,-0.00,2.07,2.00
13,0.400,0.96,0.65,0.44,0.14,-0.01,-0.15,-0.02,0.18,0.15,0.16,0.10,0.22,0.02,2.04,1.86
14,0.433,0.97,0.64,0.45,0.09,0.02,-0.16,-0.06,0.17,0.11,0.12,0.15,0.22,-0.00,1.73,1.24
15,0.467,0.96,0.63,0.47,0.04,0.06,-0.17,-0.03,0.14,0.12,0.06,0.15,0.15,-0.04,1.81,1.24
16,0.500,0.96,0.62,0.49,0.05,0.05,-0.12,-0.05,0.10,0.16,0.17,0.13,0.10,-0.01,1.95,1.07
17,0.533,0.97,0.61,0.51,0.02,-0.04,-0.14,-0.09,0.09,0.09,0.14,0.12,0.06,-0.03,1.34,0.69
18,0.567,0.95,0.61,0.54,0.04,0.02,-0.01,-0.08,0.47,0.04,0.26,0.24,0.22,-0.03,0.03,0.03
19,0.600,0.95,0.62,0.56,0.10,-0.01,-0.00,-0.08,0.60,0.09,0.30,0.26,0.41,0.01,-0.01,0.07
20,0.633,0.95,0.64,0.57,0.24,0.05,-0.04,-0.01,0.64,0.11,0.26,0.20,0.37,0.06,-0.02,0.01
21,0.667,0.93,0.65,0.60,0.11,0.02,-0.12,0.04,0.67,0.09,0.33,0.27,0.22,0.01,0.15,0.23
22,0.700,0.93,0.67,0.63,0.12,0.15,-0.10,0.04,0.10,0.13,0.47,0.15,0.11,0.09,0.89,0.63
23,0.733,0.94,0.67,0.65,0.22,0.18,-0.01,0.04,0.41,0.18,0.54,0.15,0.23,0.04,1.43,1.50
24,0.767,0.91,0.67,0.68,0.14,0.14,0.15,0.04,0.46,0.27,0.41,0.19,0.33,-0.03,1.69,1.63
25,0.800,0.89,0.67,0.71,0.18,0.16,0.24,0.13,0.19,0.46,0.11,0.10,0.28,-0.12,1.56,1.38
26,0.833,0.87,0.67,0.76,0.13,0.07,0.27,0.14,0.23,0.46,0.03,0.09,0.57,-0.06,1.25,1.28
27,0.867,0.84,0.68,0.82,0.20,0.05,0.22,0.28,0.31,0.34,0.03,0.17,0.62,0.10,1.04,1.01
28,0.900,0.82,0.76,0.83,0.15,0.17,0.32,0.31,0.29,0.33,0.13,0.17,0.40,-0.01,1.02,0.75
29,0.933,0.87,0.82,0.87,0.11,-0.05,0.53,0.29,0.51,0.36,0.21,0.02,0.27,-0.04,0.87,0.24
30,0.967,0.85,0.82,0.86,0.10,0.03,0.28,0.12,0.37,0.16,0.08,0.10,0.21,-0.05,0.68,0.13
31,1.000,0.88,0.85,0.88,0.25,0.14,0.16,0.25,0.46,0.21,0.06,0.35,0.36,-0.08,0.43,0.22
32,1.033,0.86,0.89,0.88,0.09,0.10,0.06,0.20,0.57,0.04,0.17,0.35,0.25,-0.06,0.38,0.31
33,1.067,0.87,0.89,0.90,0.29,0.08,0.08,0.23,0.77,0.10,0.30,0.49,0.35,0.03,0.33,0.37
34,1.100,0.85,0.90,0.90,0.18,0.15,0.19,0.29,0.73,0.22,0.30,0.64,0.47,-0.13,0.38,0.31
35,1.133,0.87,0.95,0.91,0.13,0.00,0.27,0.31,1.02,0.03,0.19,0.45,0.77,-0.03,0.66,0.39
