frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.933,0.801,0.452,0.153,-0.028,0.048,0.032,-0.004,0.094,-0.082,-0.003,0.054,-0.035,0.016,0.031
2,0.033,0.933,0.820,0.442,0.125,-0.017,0.079,0.042,-0.001,0.111,-0.072,0.012,0.097,-0.023,-0.008,-0.012
3,0.067,0.938,0.800,0.468,0.139,-0.010,0.084,0.069,-0.023,0.080,-0.057,0.011,0.141,-0.035,-0.016,-0.030
4,0.100,0.939,0.814,0.477,0.154,-0.015,0.074,0.077,-0.026,0.071,-0.059,0.020,0.086,-0.043,-0.008,-0.002
5,0.133,0.938,0.804,0.470,0.180,-0.007,0.088,0.097,-0.029,0.071,-0.085,0.013,0.073,-0.020,-0.054,-0.024
6,0.167,0.940,0.802,0.462,0.176,0.017,0.102,0.091,-0.002,0.088,-0.107,0.012,0.054,-0.020,-0.033,0.007
7,0.200,0.940,0.781,0.468,0.156,-0.013,0.100,0.077,-0.014,0.086,-0.087,0.016,0.059,-0.022,-0.031,0.008
8,0.233,0.941,0.776,0.472,0.161,-0.011,0.105,0.072,-0.021,0.073,-0.083,0.023,0.056,-0.007,-0.057,-0.025
9,0.267,0.941,0.775,0.468,0.151,-0.017,0.112,0.070,-0.031,0.071,-0.085,0.016,0.070,-0.015,-0.052,-0.013
10,0.300,0.939,0.775,0.479,0.245,0.022,0.095,0.086,-0.039,0.072,-0.107,0.028,0.106,-0.033,-0.050,-0.002
11,0.333,0.939,0.773,0.473,0.202,0.003,0.089,0.084,-0.049,0.078,-0.097,0.032,0.102,-0.013,-0.042,-0.008
12,0.367,0.936,0.772,0.468,0.268,0.066,0.082,0.085,-0.059,0.071,-0.106,0.043,0.098,-0.018,-0.034,-0.008
13,0.400,0.937,0.791,0.453,0.203,0.019,0.076,0.079,-0.034,0.093,-0.088,0.063,0.078,-0.025,-0.031,0.002
14,0.433,0.938,0.775,0.454,0.147,-0.018,0.107,0.137,-0.044,0.117,-0.066,0.050,0.068,-0.001,-0.002,-0.007
15,0.467,0.937,0.777,0.458,0.175,0.003,0.101,0.143,-0.039,0.112,-0.056,0.053,0.071,-0.006,-0.006,-0.010
16,0.500,0.937,0.771,0.442,0.274,0.043,0.101,0.137,-0.022,0.108,-0.075,0.054,0.079,-0.033,-0.024,-0.014
17,0.533,0.939,0.778,0.466,0.259,0.022,0.099,0.126,-0.032,0.091,-0.090,0.079,0.085,-0.020,-0.009,-0.016
18,0.567,0.940,0.772,0.471,0.258,0.031,0.099,0.139,-0.034,0.109,-0.065,0.095,0.092,-0.017,-0.007,-0.022
19,0.600,0.939,0.779,0.473,0.266,0.035,0.082,0.114,-0.029,0.090,-0.059,0.047,0.041,-0.017,0.004,0.033
20,0.633,0.940,0.784,0.475,0.298,0.062,0.071,0.102,-0.036,0.109,-0.070,0.066,0.086,-0.025,-0.013,-0.011
21,0.667,0.940,0.777,0.478,0.220,0.022,0.087,0.111,-0.029,0.095,-0.073,0.043,0.045,-0.014,-0.016,0.010
22,0.700,0.939,0.783,0.470,0.194,0.008,0.097,0.136,-0.059,0.103,-0.067,0.063,0.072,-0.005,0.023,0.015
23,0.733,0.940,0.775,0.465,0.198,0.006,0.107,0.141,-0.054,0.107,-0.072,0.065,0.083,0.008,0.012,0.009
24,0.767,0.938,0.783,0.465,0.183,0.003,0.109,0.144,-0.054,0.097,-0.078,0.062,0.080,0.000,-0.003,0.024
25,0.800,0.936,0.778,0.459,0.176,-0.024,0.099,0.134,-0.033,0.125,-0.073,0.054,0.071,-0.029,0.009,0.018
26,0.833,0.937,0.786,0.468,0.187,-0.003,0.095,0.137,-0.016,0.098,-0.072,0.021,0.076,-0.031,0.004,0.038
27,0.867,0.935,0.783,0.470,0.181,-0.016,0.086,0.147,-0.026,0.111,-0.053,0.034,0.083,-0.029,-0.011,0.020
28,0.900,0.937,0.779,0.473,0.167,-0.039,0.100,0.092,-0.030,0.105,-0.053,0.060,0.073,-0.025,0.003,0.036
29,0.933,0.938,0.777,0.463,0.219,-0.029,0.076,0.113,-0.033,0.076,-0.053,0.027,0.032,-0.015,0.037,0.027
30,0.967,0.941,0.778,0.458,0.237,-0.018,0.068,0.115,-0.018,0.086,-0.067,0.024,0.023,-0.011,0.033,0.026
31,1.000,0.941,0.778,0.464,0.252,-0.016,0.071,0.069,-0.016,0.090,-0.057,0.026,0.046,-0.018,0.020,0.006
32,1.033,0.941,0.780,0.465,0.252,-0.005,0.059,0.055,-0.011,0.084,-0.061,0.019,0.053,-0.016,0.002,0.008
33,1.067,0.941,0.772,0.457,0.297,0.027,0.057,0.068,-0.028,0.082,-0.071,0.020,0.056,-0.022,0.002,0.023
34,1.100,0.940,0.772,0.466,0.240,0.005,0.067,0.069,-0.040,0.083,-0.057,0.013,0.059,-0.038,-0.002,-0.004
35,1.133,0.940,0.776,0.462,0.209,-0.026,0.076,0.079,-0.040,0.084,-0.071,0.020,0.048,-0.027,0.012,0.008
36,1.167,0.939,0.783,0.477,0.206,-0.029,0.064,0.052,-0.041,0.073,-0.075,0.013,0.071,-0.030,0.008,-0.003
37,1.200,0.936,0.774,0.460,0.211,0.009,0.082,0.029,-0.018,0.052,-0.098,0.037,0.103,-0.015,-0.022,-0.012
38,1.233,0.937,0.776,0.455,0.154,-0.024,0.073,0.048,-0.029,0.056,-0.081,0.028,0.094,-0.024,-0.018,-0.008
39,1.267,0.939,0.777,0.464,0.157,-0.017,0.068,0.030,-0.018,0.054,-0.076,0.032,0.088,-0.022,-0.029,-0.020
40,1.300,0.938,0.778,0.458,0.176,-0.009,0.059,0.059,-0.019,0.057,-0.084,0.035,0.076,-0.018,-0.015,0.012
