frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.956,0.729,0.694,0.105,0.040,0.128,-0.186,0.105,0.098,0.014,0.038,0.068,-0.030,0.152,0.430
2,0.033,0.957,0.732,0.699,0.479,0.601,0.126,-0.248,0.107,0.142,0.066,0.052,0.188,-0.053,0.058,0.426
3,0.067,0.957,0.734,0.699,0.286,0.290,0.150,-0.219,0.128,0.123,0.048,0.086,0.411,-0.032,0.044,0.412
4,0.100,0.956,0.732,0.694,0.112,0.061,0.150,-0.225,0.182,0.152,0.032,0.140,0.393,-0.039,0.101,0.497
5,0.133,0.956,0.732,0.693,0.118,0.092,0.133,-0.223,0.157,0.162,0.049,0.132,0.350,-0.045,0.108,0.507
6,0.167,0.956,0.735,0.693,0.125,0.122,0.126,-0.218,0.154,0.160,0.038,0.167,0.352,-0.025,0.171,0.599
7,0.200,0.957,0.735,0.693,0.123,0.127,0.122,-0.218,0.146,0.160,0.041,0.168,0.352,-0.030,0.176,0.627
8,0.233,0.956,0.736,0.699,0.166,0.108,0.186,-0.225,0.198,0.162,0.039,0.133,0.458,0.016,0.124,0.546
9,0.267,0.956,0.739,0.697,0.168,0.132,0.162,-0.224,0.179,0.164,0.027,0.118,0.398,0.014,0.187,0.602
10,0.300,0.957,0.734,0.694,0.205,0.161,0.095,-0.211,0.158,0.169,0.015,0.134,0.319,-0.048,0.082,0.438
11,0.333,0.958,0.733,0.698,0.319,0.236,0.116,-0.228,0.182,0.126,0.038,0.114,0.416,-0.023,0.083,0.525
12,0.367,0.957,0.743,0.697,0.314,0.382,0.082,-0.202,0.114,0.148,0.061,0.106,0.070,-0.038,-0.005,0.453
13,0.400,0.960,0.739,0.693,0.352,0.325,0.064,-0.084,0.015,0.094,0.007,-0.044,0.038,-0.044,-0.002,0.041
14,0.433,0.960,0.736,0.693,0.312,0.306,0.060,-0.090,0.007,0.099,-0.015,-0.020,0.046,-0.001,0.005,0.063
15,0.467,0.960,0.736,0.693,0.312,0.306,0.060,-0.090,0.007,0.099,-0.015,-0.020,0.046,-0.001,0.005,0.063
16,0.500,0.960,0.737,0.692,0.267,0.215,0.053,-0.097,0.009,0.095,0.003,-0.015,0.063,-0.005,-0.001,0.071
17,0.533,0.960,0.737,0.693,0.287,0.241,0.058,-0.093,0.008,0.094,-0.001,-0.016,0.060,-0.007,0.003,0.063
18,0.567,0.960,0.743,0.692,0.330,0.290,0.039,-0.100,0.025,0.099,0.002,-0.013,0.061,-0.021,0.012,0.054
19,0.600,0.960,0.736,0.694,0.367,0.285,0.056,-0.078,0.019,0.086,0.002,-0.048,0.061,-0.049,-0.004,0.052
20,0.633,0.960,0.735,0.693,0.320,0.263,0.042,-0.093,0.019,0.099,-0.001,-0.005,0.067,-0.007,0.003,0.067
21,0.667,0.960,0.735,0.693,0.365,0.328,0.045,-0.101,0.019,0.104,-0.007,-0.006,0.063,-0.010,-0.004,0.074
22,0.700,0.959,0.731,0.692,0.252,0.188,0.036,-0.110,0.034,0.099,-0.008,0.007,0.075,0.010,0.014,0.070
23,0.733,0.959,0.731,0.693,0.299,0.249,0.019,-0.107,0.009,0.086,-0.005,0.005,0.070,-0.005,0.002,0.088
24,0.767,0.956,0.736,0.698,0.259,0.183,0.063,-0.108,0.061,0.079,-0.014,-0.004,0.080,-0.009,-0.011,0.108
25,0.800,0.955,0.727,0.697,0.357,0.295,0.024,-0.168,0.035,0.109,-0.029,0.021,0.088,-0.003,0.022,0.165
26,0.833,0.955,0.727,0.697,0.342,0.281,0.028,-0.165,0.038,0.109,-0.029,0.018,0.088,-0.004,0.022,0.160
27,0.867,0.954,0.725,0.698,0.426,0.368,-0.006,-0.179,0.029,0.104,-0.034,0.027,0.085,-0.011,0.027,0.221
28,0.900,0.954,0.725,0.698,0.425,0.365,-0.007,-0.181,0.030,0.104,-0.036,0.027,0.081,-0.011,0.029,0.221
29,0.933,0.954,0.725,0.698,0.423,0.358,-0.006,-0.177,0.032,0.100,-0.035,0.028,0.091,-0.011,0.027,0.212
30,0.967,0.954,0.725,0.698,0.423,0.358,-0.006,-0.177,0.032,0.100,-0.035,0.028,0.091,-0.011,0.027,0.212
31,1.000,0.954,0.725,0.698,0.425,0.363,-0.007,-0.175,0.030,0.103,-0.035,0.026,0.086,-0.009,0.031,0.214
32,1.033,0.954,0.725,0.698,0.425,0.363,-0.007,-0.175,0.030,0.103,-0.035,0.026,0.086,-0.009,0.031,0.214
33,1.067,0.953,0.726,0.698,0.471,0.410,-0.010,-0.188,0.031,0.105,-0.015,0.037,0.082,-0.002,0.022,0.240
34,1.100,0.953,0.726,0.698,0.451,0.382,-0.003,-0.184,0.027,0.106,-0.022,0.035,0.082,-0.004,0.020,0.220
35,1.133,0.956,0.715,0.692,1.017,0.699,-0.056,-0.163,0.046,0.093,-0.069,-0.018,0.017,-0.038,0.014,0.295
36,1.167,0.957,0.719,0.690,0.830,0.628,-0.076,-0.104,0.029,0.099,-0.004,-0.013,-0.033,-0.027,0.083,0.277
37,1.200,0.955,0.699,0.697,0.474,0.370,-0.021,-0.180,0.082,0.131,-0.050,0.012,-0.022,-0.017,0.251,0.335
38,1.233,0.955,0.699,0.697,0.501,0.396,-0.035,-0.181,0.073,0.125,-0.054,0.007,-0.021,-0.026,0.260,0.330
39,1.267,0.956,0.700,0.701,0.385,0.205,-0.006,-0.142,0.043,0.093,-0.034,-0.017,0.028,-0.029,0.238,0.352
40,1.300,0.956,0.699,0.701,0.490,0.290,-0.031,-0.144,0.037,0.090,-0.033,-0.024,0.018,-0.036,0.266,0.391
41,1.333,0.954,0.736,0.702,0.319,0.195,-0.034,-0.135,0.040,0.092,0.002,-0.013,0.021,-0.015,0.221,0.512
42,1.367,0.953,0.722,0.708,0.330,0.190,-0.023,-0.129,0.056,0.087,0.030,-0.016,0.042,-0.011,0.177,0.356
43,1.400,0.955,0.736,0.706,0.199,0.032,0.010,-0.116,0.044,0.105,0.029,-0.046,0.051,-0.009,0.229,0.414
44,1.433,0.955,0.737,0.706,0.213,0.049,0.017,-0.114,0.043,0.104,0.032,-0.046,0.055,-0.006,0.221,0.391
45,1.467,0.953,0.732,0.706,0.243,0.073,0.024,-0.123,0.068,0.112,0.037,-0.027,0.057,-0.012,0.192,0.381
46,1.500,0.953,0.733,0.706,0.215,0.050,0.016,-0.117,0.065,0.104,0.034,-0.026,0.058,-0.010,0.185,0.344
47,1.533,0.954,0.740,0.706,0.122,0.004,-0.003,-0.125,0.067,0.107,0.008,-0.007,0.034,-0.003,0.229,0.457
48,1.567,0.954,0.739,0.706,0.096,0.016,0.104,-0.122,0.044,0.099,-0.013,-0.040,0.040,0.031,0.097,0.334
49,1.600,0.954,0.738,0.704,0.116,0.004,0.103,-0.096,0.012,0.082,-0.003,-0.042,0.052,-0.014,0.057,0.088
50,1.633,0.954,0.738,0.704,0.116,0.007,0.112,-0.102,0.016,0.085,-0.005,-0.045,0.048,-0.013,0.056,0.081
51,1.667,0.951,0.738,0.710,0.157,0.050,0.059,-0.104,0.040,0.088,0.014,-0.032,0.064,-0.032,0.076,0.068
52,1.700,0.950,0.738,0.710,0.145,0.031,0.070,-0.102,0.040,0.089,0.018,-0.035,0.063,-0.032,0.077,0.062
53,1.733,0.954,0.740,0.705,0.148,0.030,0.063,-0.119,0.050,0.099,0.020,-0.042,0.032,-0.016,0.049,0.079
