frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.942,0.812,0.537,1.329,1.242,0.145,-0.016,-0.014,0.033,0.079,0.074,0.016,-0.122,0.115,0.072
2,0.033,0.942,0.810,0.538,1.266,1.182,0.107,0.009,-0.017,0.020,0.087,0.084,0.019,-0.111,0.127,0.082
3,0.067,0.940,0.805,0.544,1.246,1.190,0.119,0.012,-0.031,0.018,0.095,0.067,0.025,-0.098,0.122,0.080
4,0.100,0.938,0.806,0.544,1.255,1.236,0.113,0.001,-0.018,0.023,0.102,0.067,0.024,-0.131,0.129,0.094
5,0.133,0.938,0.808,0.546,1.213,1.150,0.153,-0.001,-0.006,0.026,0.109,0.068,0.004,-0.122,0.132,0.082
6,0.167,0.939,0.799,0.542,1.519,1.527,0.103,0.010,-0.002,0.051,0.127,0.092,0.020,-0.157,0.137,0.100
7,0.200,0.937,0.803,0.540,1.678,1.641,0.157,-0.041,0.012,0.080,0.139,0.125,0.046,-0.149,0.112,0.135
8,0.233,0.936,0.803,0.539,1.798,1.711,0.208,-0.025,0.015,0.115,0.126,0.116,0.037,-0.158,0.104,0.124
9,0.267,0.935,0.801,0.538,1.758,1.699,0.202,-0.033,0.011,0.111,0.116,0.136,0.025,-0.159,0.131,0.131
10,0.300,0.930,0.802,0.536,1.598,1.618,0.184,-0.008,0.029,0.080,0.156,0.133,0.026,-0.151,0.133,0.102
11,0.333,0.931,0.800,0.536,1.590,1.606,0.164,-0.019,0.030,0.079,0.155,0.134,0.025,-0.156,0.138,0.102
12,0.367,0.925,0.804,0.540,1.585,1.498,0.202,0.002,0.027,0.072,0.116,0.096,0.011,-0.161,0.113,0.106
13,0.400,0.927,0.804,0.536,1.357,1.326,0.116,-0.019,0.004,0.037,0.131,0.094,0.007,-0.138,0.127,0.080
14,0.433,0.931,0.802,0.536,1.425,1.427,0.143,-0.011,0.034,0.042,0.154,0.089,0.001,-0.130,0.113,0.083
15,0.467,0.933,0.805,0.542,1.477,1.530,0.099,-0.041,0.039,0.040,0.164,0.092,-0.006,-0.150,0.110,0.089
16,0.500,0.930,0.804,0.541,1.448,1.503,0.100,-0.037,0.020,0.028,0.159,0.064,-0.004,-0.152,0.129,0.089
17,0.533,0.930,0.799,0.543,1.417,1.471,0.086,-0.040,0.020,0.053,0.169,0.084,0.003,-0.151,0.135,0.083
18,0.567,0.929,0.804,0.536,1.376,1.393,0.085,-0.030,0.039,0.038,0.196,0.065,-0.007,-0.137,0.138,0.084
19,0.600,0.929,0.803,0.539,1.514,1.532,0.123,-0.013,0.025,0.029,0.181,0.071,-0.015,-0.152,0.115,0.108
20,0.633,0.928,0.803,0.537,1.523,1.497,0.103,-0.015,0.036,0.047,0.172,0.074,-0.004,-0.156,0.146,0.105
21,0.667,0.930,0.802,0.537,1.577,1.550,0.144,-0.010,0.029,0.050,0.159,0.081,-0.014,-0.150,0.149,0.126
22,0.700,0.933,0.801,0.538,1.641,1.558,0.168,0.012,0.023,0.064,0.143,0.087,-0.012,-0.138,0.118,0.108
23,0.733,0.932,0.799,0.538,1.496,1.506,0.117,-0.005,0.040,0.031,0.191,0.073,-0.002,-0.137,0.142,0.099
24,0.767,0.927,0.805,0.538,1.577,1.545,0.102,0.004,0.015,0.052,0.138,0.103,0.015,-0.160,0.151,0.126
25,0.800,0.926,0.804,0.535,1.580,1.626,0.063,-0.011,-0.014,0.075,0.126,0.106,-0.008,-0.176,0.140,0.127
26,0.833,0.925,0.803,0.543,1.635,1.667,0.094,-0.031,0.016,0.062,0.149,0.111,0.005,-0.174,0.107,0.144
27,0.867,0.935,0.784,0.537,1.775,1.578,0.558,0.003,0.015,0.130,0.045,0.141,-0.011,-0.032,0.159,0.064
28,0.900,0.935,0.741,0.557,1.528,1.408,0.445,0.036,-0.007,0.119,0.036,0.120,-0.005,-0.033,0.171,0.094
29,0.933,0.937,0.750,0.553,1.807,1.552,0.691,0.005,0.037,0.167,0.027,0.122,-0.022,-0.047,0.168,0.094
30,0.967,0.931,0.782,0.541,1.787,1.627,0.528,-0.014,0.071,0.180,0.098,0.138,-0.029,-0.055,0.161,0.137
31,1.000,0.937,0.801,0.538,1.745,1.654,0.310,-0.041,0.082,0.143,0.204,0.160,-0.021,-0.080,0.126,0.125
32,1.033,0.934,0.795,0.531,2.005,1.810,0.460,-0.034,0.072,0.176,0.192,0.151,-0.025,-0.103,0.149,0.145
33,1.067,0.937,0.796,0.534,2.002,1.759,0.381,-0.026,0.056,0.158,0.148,0.157,0.022,-0.123,0.166,0.158
34,1.100,0.938,0.799,0.532,1.946,1.761,0.340,-0.049,0.069,0.154,0.198,0.187,0.023,-0.113,0.186,0.136
