frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.972,0.724,0.482,0.133,0.019,0.070,0.030,0.017,0.033,0.013,0.132,0.044,-0.067,-0.002,0.007
2,0.033,0.975,0.725,0.481,0.136,0.017,0.056,0.018,0.029,0.035,0.015,0.142,0.049,-0.063,-0.007,0.009
3,0.067,0.974,0.684,0.470,0.129,0.030,0.090,0.018,0.020,0.044,0.028,0.167,0.056,-0.057,-0.004,-0.025
4,0.100,0.973,0.654,0.473,0.210,0.091,0.090,0.038,-0.002,0.047,0.009,0.103,0.067,-0.031,0.012,-0.039
5,0.133,0.972,0.658,0.476,0.152,0.051,0.090,0.023,0.001,0.040,0.007,0.089,0.067,-0.048,0.013,-0.035
6,0.167,0.973,0.697,0.484,0.148,0.042,0.096,0.019,0.016,0.044,0.015,0.080,0.063,-0.042,0.026,-0.012
7,0.200,0.974,0.714,0.483,0.120,0.019,0.060,0.008,0.028,0.029,0.011,0.178,0.066,-0.045,0.024,-0.008
8,0.233,0.974,0.720,0.484,0.118,0.021,0.039,0.009,0.036,0.031,0.005,0.208,0.060,-0.036,0.020,-0.013
9,0.267,0.973,0.718,0.482,0.130,0.020,0.041,0.012,0.036,0.026,0.005,0.208,0.062,-0.041,0.012,-0.016
10,0.300,0.974,0.718,0.486,0.131,0.017,0.037,0.015,0.037,0.028,0.010,0.195,0.060,-0.044,0.017,-0.008
11,0.333,0.974,0.719,0.482,0.126,0.013,0.044,0.027,0.034,0.030,0.006,0.210,0.066,-0.050,0.013,-0.013
12,0.367,0.973,0.721,0.489,0.124,0.017,0.045,0.030,0.025,0.026,0.005,0.163,0.066,-0.052,0.014,-0.000
13,0.400,0.973,0.717,0.487,0.138,0.033,0.058,0.020,0.024,0.037,0.010,0.133,0.072,-0.051,0.018,0.015
14,0.433,0.974,0.719,0.485,0.149,0.042,0.039,0.027,0.024,0.031,0.005,0.153,0.076,-0.056,0.011,0.013
15,0.467,0.974,0.714,0.486,0.134,0.037,0.045,0.022,0.025,0.024,0.002,0.152,0.065,-0.049,0.014,-0.001
16,0.500,0.974,0.709,0.481,0.124,0.035,0.041,0.010,0.026,0.026,0.003,0.197,0.079,-0.047,0.017,0.011
17,0.533,0.974,0.707,0.476,0.124,0.045,0.045,0.015,0.017,0.025,0.000,0.184,0.078,-0.052,0.013,0.012
18,0.567,0.973,0.711,0.483,0.121,0.027,0.038,0.018,0.019,0.030,-0.008,0.212,0.075,-0.058,0.016,0.004
19,0.600,0.973,0.710,0.480,0.126,0.027,0.044,0.018,0.021,0.026,-0.008,0.186,0.074,-0.056,0.012,0.007
20,0.633,0.973,0.711,0.483,0.131,0.025,0.045,0.022,0.020,0.021,-0.004,0.145,0.072,-0.055,0.006,0.009
21,0.667,0.971,0.712,0.485,0.135,0.033,0.044,0.016,0.018,0.026,-0.004,0.135,0.075,-0.053,0.017,0.002
22,0.700,0.972,0.713,0.482,0.132,0.032,0.054,0.014,0.019,0.032,-0.000,0.105,0.071,-0.053,0.014,0.013
23,0.733,0.972,0.716,0.487,0.134,0.032,0.051,0.013,0.019,0.028,0.015,0.133,0.070,-0.056,0.009,0.010
24,0.767,0.972,0.714,0.490,0.128,0.024,0.044,0.019,0.021,0.040,0.011,0.172,0.075,-0.053,-0.000,0.008
25,0.800,0.973,0.714,0.488,0.139,0.026,0.046,0.021,0.027,0.032,0.012,0.133,0.071,-0.054,-0.002,-0.001
26,0.833,0.973,0.712,0.484,0.129,0.021,0.055,0.009,0.025,0.041,0.004,0.116,0.074,-0.058,0.000,0.002
27,0.867,0.974,0.712,0.475,0.125,0.027,0.049,0.013,0.029,0.045,-0.003,0.113,0.066,-0.055,0.015,0.003
28,0.900,0.974,0.710,0.476,0.126,0.033,0.041,0.015,0.030,0.045,-0.002,0.120,0.071,-0.054,0.013,0.006
29,0.933,0.973,0.711,0.482,0.136,0.039,0.043,0.019,0.030,0.038,0.012,0.113,0.058,-0.056,0.017,-0.000
30,0.967,0.974,0.718,0.481,0.140,0.034,0.043,0.012,0.033,0.042,0.006,0.104,0.058,-0.048,0.010,-0.005
31,1.000,0.974,0.713,0.480,0.138,0.037,0.043,0.017,0.032,0.043,-0.001,0.147,0.066,-0.046,0.007,-0.009
32,1.033,0.975,0.715,0.478,0.134,0.025,0.054,0.015,0.035,0.040,0.003,0.113,0.072,-0.048,0.009,-0.011
33,1.067,0.975,0.715,0.479,0.129,0.028,0.045,0.010,0.030,0.039,0.003,0.119,0.071,-0.052,0.013,-0.014
34,1.100,0.975,0.715,0.476,0.120,0.035,0.049,0.015,0.030,0.040,0.005,0.111,0.066,-0.056,0.015,-0.005
35,1.133,0.976,0.713,0.477,0.115,0.030,0.045,0.018,0.033,0.036,0.003,0.139,0.069,-0.058,0.014,-0.004
