frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.966,0.743,0.547,-0.000,-0.059,0.083,0.043,0.120,0.019,0.170,-0.010,0.091,0.123,0.056,-0.028
2,0.033,0.966,0.740,0.556,-0.002,-0.063,0.077,0.030,0.128,0.014,0.216,-0.010,0.102,0.144,0.070,-0.029
3,0.067,0.966,0.739,0.556,-0.005,-0.057,0.091,0.034,0.138,0.012,0.213,-0.009,0.118,0.123,0.072,-0.034
4,0.100,0.967,0.742,0.561,0.002,-0.069,0.115,0.039,0.136,0.016,0.193,-0.023,0.111,0.126,0.074,-0.049
5,0.133,0.967,0.749,0.560,0.004,-0.076,0.152,0.033,0.131,0.015,0.163,-0.024,0.118,0.138,0.080,-0.042
6,0.167,0.965,0.748,0.561,0.012,-0.089,0.147,0.032,0.142,0.014,0.126,-0.053,0.094,0.167,0.078,-0.061
7,0.200,0.964,0.753,0.559,0.003,-0.070,0.125,0.030,0.150,0.023,0.158,-0.049,0.098,0.149,0.079,-0.077
8,0.233,0.964,0.760,0.560,0.029,-0.060,0.126,0.044,0.152,0.030,0.151,-0.040,0.115,0.126,0.086,-0.084
9,0.267,0.965,0.764,0.559,0.040,-0.056,0.130,0.057,0.161,0.050,0.121,-0.029,0.112,0.101,0.087,-0.075
10,0.300,0.966,0.767,0.563,0.046,-0.061,0.152,0.054,0.159,0.044,0.076,-0.035,0.122,0.123,0.083,-0.090
11,0.333,0.965,0.775,0.559,0.057,-0.055,0.117,0.052,0.198,0.046,0.093,-0.043,0.111,0.139,0.094,-0.088
12,0.367,0.966,0.776,0.557,0.062,-0.057,0.117,0.052,0.207,0.045,0.097,-0.035,0.129,0.145,0.093,-0.088
13,0.400,0.964,0.770,0.563,0.068,-0.048,0.068,0.065,0.165,0.059,0.082,-0.010,0.143,0.153,0.113,-0.053
14,0.433,0.963,0.772,0.564,0.073,-0.050,0.082,0.074,0.187,0.065,0.075,-0.023,0.132,0.154,0.122,-0.058
15,0.467,0.963,0.773,0.561,0.064,-0.061,0.100,0.071,0.178,0.073,0.072,-0.023,0.136,0.180,0.121,-0.070
16,0.500,0.963,0.771,0.564,0.059,-0.055,0.103,0.070,0.175,0.071,0.091,-0.028,0.129,0.143,0.113,-0.061
17,0.533,0.964,0.773,0.562,0.071,-0.057,0.093,0.074,0.176,0.065,0.092,-0.022,0.146,0.130,0.113,-0.062
18,0.567,0.965,0.773,0.559,0.065,-0.063,0.116,0.065,0.157,0.069,0.091,-0.019,0.141,0.171,0.109,-0.063
19,0.600,0.965,0.774,0.560,0.056,-0.069,0.121,0.063,0.149,0.073,0.091,-0.014,0.134,0.184,0.113,-0.061
20,0.633,0.965,0.774,0.560,0.057,-0.070,0.111,0.068,0.139,0.073,0.069,-0.014,0.137,0.190,0.111,-0.057
21,0.667,0.965,0.774,0.562,0.061,-0.071,0.083,0.067,0.158,0.079,0.060,-0.006,0.136,0.190,0.115,-0.040
22,0.700,0.966,0.776,0.564,0.070,-0.061,0.093,0.070,0.157,0.073,0.045,-0.003,0.134,0.174,0.109,-0.048
23,0.733,0.965,0.774,0.559,0.071,-0.059,0.095,0.069,0.138,0.074,0.027,-0.016,0.119,0.148,0.118,-0.042
24,0.767,0.965,0.777,0.557,0.070,-0.055,0.080,0.060,0.146,0.067,0.068,-0.015,0.115,0.122,0.115,-0.045
25,0.800,0.964,0.777,0.558,0.064,-0.054,0.086,0.059,0.112,0.060,0.074,0.002,0.131,0.137,0.083,-0.051
26,0.833,0.964,0.777,0.557,0.061,-0.049,0.104,0.072,0.115,0.048,0.064,-0.012,0.130,0.135,0.084,-0.040
27,0.867,0.964,0.780,0.557,0.044,-0.053,0.087,0.058,0.104,0.052,0.093,-0.003,0.126,0.127,0.078,-0.049
