frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.96,0.64,0.65,0.02,-0.03,0.01,-0.01,0.25,0.04,0.10,0.03,0.13,0.08,-0.04,-0.10
2,0.033,0.96,0.63,0.66,0.02,-0.05,-0.00,-0.01,0.30,0.06,0.12,0.05,0.15,0.04,-0.04,-0.09
3,0.067,0.96,0.63,0.66,0.01,-0.05,-0.02,-0.03,0.24,0.07,0.11,0.04,0.13,0.06,-0.04,-0.08
4,0.100,0.96,0.65,0.65,0.00,-0.07,-0.00,-0.03,0.21,0.07,0.08,0.09,0.14,0.07,-0.03,-0.10
5,0.133,0.96,0.68,0.66,0.00,-0.08,0.01,-0.03,0.20,0.08,0.06,0.09,0.15,0.10,0.01,-0.09
6,0.167,0.96,0.68,0.66,0.01,-0.10,0.02,-0.04,0.19,0.06,0.10,0.10,0.15,0.08,0.02,-0.08
7,0.200,0.96,0.70,0.66,0.02,-0.07,0.03,-0.02,0.16,0.05,0.13,0.08,0.15,0.07,0.03,-0.07
8,0.233,0.96,0.70,0.65,0.03,-0.06,0.03,-0.02,0.18,0.06,0.13,0.07,0.14,0.06,0.03,-0.07
9,0.267,0.96,0.70,0.65,0.01,-0.05,0.01,-0.02,0.18,0.05,0.15,0.07,0.12,0.06,0.02,-0.07
10,0.300,0.96,0.70,0.65,0.01,-0.04,0.01,-0.02,0.17,0.05,0.14,0.08,0.13,0.07,0.01,-0.07
11,0.333,0.96,0.70,0.65,0.01,-0.05,0.01,-0.03,0.19,0.05,0.15,0.08,0.12,0.08,0.02,-0.06
12,0.367,0.96,0.69,0.66,0.03,-0.06,0.04,-0.03,0.19,0.03,0.12,0.07,0.13,0.06,0.03,-0.05
13,0.400,0.96,0.68,0.65,0.04,-0.05,0.03,-0.03,0.13,0.03,0.13,0.09,0.14,0.07,0.01,-0.03
14,0.433,0.96,0.69,0.66,0.04,-0.04,0.02,-0.02,0.12,0.03,0.13,0.07,0.14,0.05,0.01,-0.03
15,0.467,0.96,0.69,0.66,0.04,-0.05,0.03,-0.03,0.11,0.03,0.13,0.07,0.14,0.05,0.01,-0.03
16,0.500,0.96,0.69,0.65,0.04,-0.05,0.01,-0.02,0.16,0.02,0.10,0.10,0.14,0.05,0.00,-0.02
17,0.533,0.96,0.63,0.65,0.02,-0.08,-0.08,0.05,0.31,0.00,0.14,0.06,0.20,0.05,-0.06,-0.02
18,0.567,0.96,0.62,0.66,0.01,-0.09,-0.06,0.05,0.34,0.01,0.16,0.05,0.18,0.07,-0.05,-0.05
19,0.600,0.96,0.61,0.66,0.02,-0.10,-0.07,0.07,0.27,-0.00,0.14,0.07,0.18,0.05,-0.07,-0.07
20,0.633,0.96,0.61,0.66,0.02,-0.09,-0.06,0.03,0.31,0.03,0.11,0.05,0.19,0.07,-0.05,-0.05
21,0.667,0.96,0.63,0.67,-0.01,-0.08,-0.02,-0.02,0.27,0.03,0.12,0.06,0.17,0.05,-0.06,-0.05
22,0.700,0.96,0.63,0.66,-0.02,-0.04,-0.03,-0.03,0.25,0.04,0.15,0.07,0.14,0.06,-0.03,-0.05
23,0.733,0.96,0.65,0.66,-0.02,-0.04,-0.02,-0.04,0.24,0.04,0.13,0.07,0.12,0.04,-0.02,-0.06
24,0.767,0.96,0.67,0.65,-0.01,-0.07,0.03,-0.05,0.18,0.02,0.15,0.11,0.13,0.02,0.01,-0.05
25,0.800,0.96,0.67,0.65,0.01,-0.07,0.05,-0.02,0.25,-0.00,0.16,0.18,0.19,0.02,-0.02,-0.07
26,0.833,0.96,0.67,0.65,0.02,-0.07,0.06,-0.02,0.24,-0.00,0.16,0.15,0.17,0.04,0.00,-0.07
27,0.867,0.96,0.67,0.65,0.03,-0.06,0.09,-0.05,0.22,0.03,0.09,0.15,0.16,0.05,-0.00,-0.10
28,0.900,0.96,0.67,0.65,0.03,-0.04,0.03,-0.04,0.26,0.04,0.12,0.10,0.14,0.05,-0.02,-0.07
29,0.933,0.96,0.67,0.65,0.03,-0.07,0.04,-0.05,0.18,0.02,0.07,0.13,0.16,0.02,0.00,-0.08
30,0.967,0.96,0.67,0.65,0.02,-0.07,0.03,-0.03,0.17,0.02,0.06,0.14,0.15,0.04,0.00,-0.05
31,1.000,0.96,0.67,0.65,0.03,-0.07,0.02,-0.02,0.18,0.03,0.08,0.10,0.13,0.03,0.01,-0.06
32,1.033,0.96,0.67,0.65,0.02,-0.06,0.03,-0.03,0.22,0.04,0.11,0.10,0.12,0.03,0.01,-0.06
33,1.067,0.96,0.67,0.65,0.03,-0.07,0.04,-0.03,0.18,0.02,0.11,0.10,0.14,0.03,-0.00,-0.07
34,1.100,0.96,0.67,0.65,0.05,-0.05,0.03,-0.03,0.23,0.04,0.11,0.07,0.12,0.04,0.02,-0.03
35,1.133,0.96,0.67,0.65,0.04,-0.07,0.03,-0.02,0.24,0.01,0.10,0.08,0.15,0.08,-0.03,-0.05
36,1.167,0.96,0.62,0.65,0.05,-0.06,-0.03,-0.02,0.27,0.04,0.09,0.06,0.14,0.06,-0.05,-0.06
37,1.200,0.96,0.61,0.66,0.06,-0.11,-0.05,0.05,0.34,-0.02,0.13,0.12,0.19,0.07,-0.08,-0.09
38,1.233,0.96,0.61,0.66,0.05,-0.10,-0.05,0.05,0.32,-0.01,0.12,0.12,0.20,0.08,-0.06,-0.11
39,1.267,0.96,0.61,0.66,0.02,-0.12,-0.08,0.01,0.31,0.01,0.11,0.11,0.20,0.10,-0.07,-0.08
40,1.300,0.96,0.63,0.66,0.03,-0.08,-0.02,-0.02,0.28,0.04,0.16,0.09,0.14,0.09,-0.05,-0.07
41,1.333,0.96,0.64,0.66,0.01,-0.08,-0.02,-0.04,0.36,0.04,0.19,0.11,0.16,0.09,-0.07,-0.07
42,1.367,0.96,0.65,0.65,0.00,-0.06,-0.00,-0.03,0.29,0.04,0.15,0.11,0.14,0.05,-0.04,-0.04
43,1.400,0.96,0.66,0.65,0.01,-0.06,0.04,-0.04,0.27,0.04,0.17,0.11,0.12,0.07,-0.04,-0.06
44,1.433,0.96,0.66,0.65,0.03,-0.04,0.04,-0.04,0.30,0.06,0.20,0.08,0.10,0.08,-0.04,-0.04
45,1.467,0.96,0.66,0.66,0.03,-0.05,0.04,-0.05,0.29,0.06,0.20,0.08,0.12,0.08,-0.03,-0.06
46,1.500,0.96,0.67,0.65,0.03,-0.04,0.04,-0.05,0.28,0.04,0.17,0.05,0.11,0.05,-0.03,-0.04
47,1.533,0.96,0.67,0.65,0.02,-0.05,0.04,-0.05,0.27,0.03,0.15,0.07,0.12,0.05,-0.04,-0.05
48,1.567,0.96,0.67,0.65,0.02,-0.06,0.04,-0.04,0.29,0.03,0.17,0.07,0.11,0.06,-0.03,-0.06
49,1.600,0.96,0.65,0.65,0.01,-0.08,0.02,-0.02,0.25,0.07,0.17,0.10,0.11,0.06,-0.04,-0.05
50,1.633,0.96,0.62,0.66,-0.00,-0.07,0.03,-0.02,0.27,0.08,0.12,0.07,0.13,0.04,-0.06,-0.08
51,1.667,0.96,0.62,0.66,0.01,-0.09,0.02,0.02,0.34,0.06,0.13,0.07,0.16,0.04,-0.07,-0.10
52,1.700,0.96,0.61,0.66,0.02,-0.08,0.00,0.03,0.30,0.09,0.10,0.05,0.14,0.03,-0.06,-0.09
53,1.733,0.96,0.61,0.66,0.01,-0.08,0.03,0.03,0.28,0.12,0.13,0.06,0.17,0.03,-0.07,-0.09
54,1.767,0.96,0.63,0.66,0.01,-0.08,0.03,-0.02,0.25,0.09,0.13,0.06,0.15,0.06,-0.03,-0.08
55,1.800,0.96,0.65,0.66,0.01,-0.07,0.01,-0.03,0.22,0.07,0.12,0.05,0.12,0.05,-0.03,-0.07
56,1.833,0.96,0.67,0.65,0.01,-0.08,0.02,-0.02,0.24,0.05,0.13,0.08,0.13,0.05,-0.02,-0.07
57,1.867,0.96,0.66,0.66,0.02,-0.07,0.03,-0.03,0.23,0.07,0.12,0.06,0.14,0.05,-0.02,-0.06
58,1.900,0.96,0.67,0.65,0.05,-0.02,0.03,-0.03,0.16,0.06,0.08,0.06,0.12,0.04,-0.01,-0.07
59,1.933,0.96,0.67,0.65,0.03,-0.02,0.02,-0.03,0.15,0.05,0.10,0.04,0.12,0.05,0.03,-0.06
60,1.967,0.96,0.67,0.65,0.02,-0.06,0.04,-0.04,0.20,0.07,0.14,0.04,0.13,0.04,0.01,-0.08
61,2.000,0.96,0.67,0.64,0.04,-0.08,0.09,-0.05,0.22,0.06,0.11,0.06,0.12,0.04,-0.01,-0.06
62,2.033,0.96,0.67,0.64,0.04,-0.08,0.07,-0.05,0.19,0.04,0.13,0.05,0.11,0.03,-0.01,-0.06
63,2.067,0.96,0.67,0.65,0.03,-0.09,0.06,-0.04,0.19,0.05,0.13,0.05,0.11,0.03,-0.02,-0.07
64,2.100,0.96,0.66,0.65,0.04,-0.07,0.04,-0.04,0.21,0.04,0.15,0.05,0.11,0.03,-0.02,-0.07
65,2.133,0.96,0.67,0.65,0.03,-0.08,0.04,-0.04,0.22,0.04,0.14,0.06,0.13,0.03,-0.01,-0.07
66,2.167,0.96,0.67,0.65,0.05,-0.05,0.05,-0.04,0.22,0.04,0.13,0.04,0.12,0.01,-0.01,-0.05
67,2.200,0.96,0.66,0.65,0.05,-0.07,0.03,-0.03,0.24,0.04,0.14,0.04,0.13,0.03,-0.01,-0.07
68,2.233,0.96,0.67,0.65,0.04,-0.05,0.05,-0.04,0.20,0.05,0.14,0.03,0.12,0.01,-0.01,-0.06
69,2.267,0.96,0.66,0.65,0.03,-0.07,0.05,-0.04,0.25,0.06,0.14,0.03,0.12,0.02,-0.03,-0.07
70,2.300,0.96,0.66,0.65,0.03,-0.08,0.04,-0.03,0.24,0.05,0.16,0.04,0.12,0.04,-0.03,-0.07
71,2.333,0.96,0.66,0.65,0.02,-0.09,0.02,-0.04,0.26,0.05,0.15,0.04,0.11,0.06,-0.04,-0.08
72,2.367,0.96,0.63,0.65,0.00,-0.09,-0.01,0.01,0.25,0.04,0.04,0.04,0.17,0.05,-0.03,-0.08
73,2.400,0.96,0.60,0.66,0.05,-0.09,0.05,0.06,0.20,0.08,0.03,0.02,0.20,0.04,-0.01,-0.11
74,2.433,0.96,0.60,0.66,0.05,-0.08,0.03,0.04,0.22,0.08,0.03,0.03,0.19,0.04,-0.02,-0.13
75,2.467,0.96,0.60,0.66,0.03,-0.08,0.03,0.03,0.21,0.06,0.05,0.04,0.20,0.04,-0.02,-0.11
76,2.500,0.96,0.60,0.66,0.03,-0.08,-0.01,0.00,0.24,0.06,0.10,0.03,0.18,0.03,-0.05,-0.11
77,2.533,0.96,0.62,0.66,0.01,-0.09,-0.00,-0.02,0.20,0.04,0.07,0.04,0.20,0.01,-0.02,-0.09
78,2.567,0.96,0.63,0.65,0.00,-0.07,0.02,-0.03,0.19,0.05,0.09,0.03,0.18,0.02,-0.02,-0.07
79,2.600,0.96,0.64,0.65,0.02,-0.05,0.03,-0.04,0.20,0.07,0.09,0.05,0.17,0.02,0.00,-0.06
80,2.633,0.97,0.65,0.65,0.03,-0.06,0.04,-0.05,0.21,0.06,0.10,0.05,0.15,0.03,0.00,-0.06
81,2.667,0.97,0.65,0.65,0.03,-0.06,0.05,-0.05,0.18,0.06,0.06,0.05,0.15,0.03,-0.00,-0.06
82,2.700,0.96,0.66,0.65,0.04,-0.06,0.05,-0.06,0.19,0.05,0.08,0.04,0.13,0.02,0.00,-0.07
83,2.733,0.96,0.67,0.65,0.05,-0.05,0.07,-0.05,0.17,0.05,0.08,0.04,0.14,0.00,0.03,-0.08
84,2.767,0.96,0.67,0.64,0.04,-0.06,0.10,-0.05,0.17,0.05,0.06,0.04,0.13,0.01,0.01,-0.10
85,2.800,0.96,0.68,0.64,0.05,-0.04,0.03,-0.05,0.13,0.02,0.06,0.04,0.13,0.03,0.00,-0.02
86,2.833,0.96,0.68,0.64,0.05,-0.04,0.03,-0.04,0.14,0.03,0.05,0.05,0.14,0.03,0.00,-0.02
87,2.867,0.96,0.68,0.65,0.05,-0.04,0.02,-0.05,0.11,0.02,0.04,0.03,0.15,0.01,0.01,-0.03
88,2.900,0.96,0.67,0.65,0.05,-0.05,0.02,-0.07,0.13,0.02,0.06,0.03,0.13,0.01,0.02,-0.03
89,2.933,0.96,0.67,0.65,0.04,-0.05,0.03,-0.07,0.13,0.03,0.05,0.03,0.14,0.01,0.02,-0.04
90,2.967,0.96,0.67,0.64,0.05,-0.04,0.04,-0.07,0.16,0.02,0.07,0.03,0.13,0.01,0.02,-0.03
91,3.000,0.96,0.66,0.64,0.04,-0.06,0.04,-0.07,0.17,0.05,0.06,0.02,0.14,0.02,0.02,-0.05
92,3.033,0.96,0.67,0.64,0.05,-0.05,0.03,-0.05,0.13,0.02,0.06,0.02,0.14,0.00,0.01,-0.05
93,3.067,0.96,0.64,0.65,0.04,-0.03,-0.02,0.08,0.15,0.02,0.02,0.03,0.17,0.02,-0.02,-0.08
94,3.100,0.96,0.61,0.65,0.02,-0.05,-0.04,0.04,0.21,0.02,0.06,0.01,0.17,0.04,-0.01,-0.06
95,3.133,0.96,0.61,0.65,0.02,-0.06,-0.06,0.01,0.19,0.02,0.05,0.01,0.16,0.04,-0.03,-0.07
96,3.167,0.96,0.62,0.66,0.02,-0.05,-0.03,-0.02,0.17,0.02,0.08,0.01,0.14,0.02,-0.03,-0.06
97,3.200,0.96,0.64,0.65,-0.00,-0.09,0.03,-0.02,0.15,0.02,0.07,0.03,0.14,0.02,-0.01,-0.08
98,3.233,0.96,0.66,0.65,0.01,-0.07,0.02,-0.03,0.15,0.04,0.09,0.03,0.13,0.01,-0.02,-0.05
99,3.267,0.96,0.66,0.65,0.00,-0.08,0.04,-0.04,0.15,0.03,0.11,0.02,0.13,0.01,-0.00,-0.04
100,3.300,0.96,0.67,0.65,0.02,-0.07,0.04,-0.04,0.12,0.03,0.10,0.03,0.12,0.01,-0.01,-0.05
101,3.333,0.96,0.67,0.65,0.03,-0.07,0.05,-0.04,0.13,0.04,0.10,0.03,0.11,0.01,-0.00,-0.04
102,3.367,0.96,0.68,0.66,0.02,-0.06,0.06,-0.02,0.16,0.06,0.07,0.03,0.12,0.02,0.02,-0.04
103,3.400,0.96,0.68,0.66,0.03,-0.06,0.06,-0.02,0.15,0.05,0.07,0.02,0.12,0.02,0.03,-0.03
104,3.433,0.96,0.68,0.66,0.03,-0.06,0.07,-0.02,0.15,0.05,0.08,0.03,0.13,0.02,0.03,-0.04
105,3.467,0.96,0.67,0.65,0.03,-0.06,0.06,-0.02,0.13,0.05,0.07,0.03,0.14,0.01,0.03,-0.04
106,3.500,0.96,0.68,0.65,0.03,-0.07,0.07,-0.03,0.15,0.06,0.07,0.03,0.12,0.02,0.04,-0.04
107,3.533,0.96,0.68,0.65,0.02,-0.07,0.06,-0.03,0.15,0.05,0.08,0.03,0.13,0.02,0.03,-0.04
108,3.567,0.96,0.68,0.65,0.03,-0.05,0.04,-0.02,0.11,0.05,0.07,0.04,0.15,0.00,0.03,-0.03
109,3.600,0.96,0.67,0.65,0.04,-0.04,0.01,-0.03,0.15,0.04,0.08,0.01,0.13,-0.00,0.03,-0.04
110,3.633,0.96,0.67,0.65,0.04,-0.06,0.00,-0.03,0.15,0.04,0.07,0.01,0.12,0.00,0.03,-0.03
111,3.667,0.96,0.67,0.65,0.02,-0.07,0.00,-0.03,0.15,0.04,0.09,0.01,0.12,-0.00,0.02,-0.03
112,3.700,0.96,0.67,0.65,0.04,-0.06,0.00,-0.04,0.12,0.04,0.08,0.01,0.12,-0.00,0.02,-0.02
113,3.733,0.96,0.67,0.65,0.04,-0.06,-0.00,-0.04,0.12,0.04,0.06,0.00,0.13,0.01,0.02,-0.04
114,3.767,0.96,0.67,0.65,0.04,-0.06,-0.00,-0.04,0.12,0.04,0.06,0.00,0.13,0.01,0.02,-0.04
115,3.800,0.96,0.67,0.65,0.04,-0.05,0.00,-0.03,0.11,0.04,0.06,0.01,0.13,0.00,0.01,-0.04
116,3.833,0.96,0.67,0.66,0.05,-0.07,-0.01,-0.04,0.14,0.03,0.09,0.01,0.12,0.00,0.02,-0.05
117,3.867,0.96,0.68,0.65,0.03,-0.07,0.03,-0.04,0.11,0.06,0.08,0.02,0.13,-0.00,0.02,-0.04
118,3.900,0.96,0.68,0.65,0.03,-0.07,0.02,-0.04,0.11,0.05,0.08,0.02,0.13,-0.00,0.03,-0.04
119,3.933,0.96,0.67,0.65,0.03,-0.07,0.02,-0.04,0.11,0.05,0.08,0.01,0.13,-0.00,0.03,-0.05
120,3.967,0.96,0.67,0.65,0.04,-0.06,0.03,-0.04,0.11,0.06,0.08,0.02,0.13,-0.00,0.03,-0.06
