frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.961,0.613,0.450,0.181,-0.015,0.215,0.156,0.078,0.005,0.143,0.205,-0.079,0.260,0.461,-0.114
2,0.033,0.965,0.625,0.473,0.126,0.002,0.185,0.069,0.034,-0.020,0.081,0.159,-0.020,0.231,0.288,-0.105
3,0.067,0.964,0.624,0.465,0.113,-0.024,0.199,0.076,0.012,-0.033,0.051,0.215,-0.037,0.221,0.285,-0.147
4,0.100,0.963,0.631,0.442,0.078,-0.040,0.207,0.048,0.041,-0.040,0.041,0.249,-0.040,0.244,0.193,-0.163
5,0.133,0.960,0.623,0.466,0.116,-0.057,0.230,0.107,0.046,-0.089,0.107,0.502,-0.007,0.232,0.181,-0.133
6,0.167,0.957,0.621,0.464,0.110,-0.053,0.210,0.103,0.075,-0.067,0.073,0.381,0.013,0.202,0.139,-0.135
7,0.200,0.959,0.627,0.460,0.103,-0.028,0.205,0.095,0.064,-0.069,0.073,0.378,0.032,0.194,0.084,-0.125
8,0.233,0.958,0.621,0.465,0.085,-0.043,0.169,0.073,0.077,-0.071,0.122,0.342,0.026,0.194,0.072,-0.135
9,0.267,0.957,0.615,0.475,0.099,-0.024,0.151,0.065,-0.000,-0.060,0.098,0.415,0.028,0.140,0.077,-0.112
10,0.300,0.957,0.618,0.483,0.082,-0.031,0.150,0.085,-0.008,-0.037,0.121,0.407,0.033,0.122,0.084,-0.091
11,0.333,0.959,0.628,0.469,0.126,-0.022,0.217,0.085,0.072,-0.051,0.143,0.282,0.045,0.168,0.261,-0.157
12,0.367,0.961,0.619,0.487,0.097,-0.028,0.089,0.064,-0.037,-0.041,0.116,0.235,0.010,0.137,0.207,-0.064
13,0.400,0.961,0.622,0.469,0.126,-0.027,0.173,0.065,0.032,-0.041,0.166,0.267,0.018,0.137,0.384,-0.144
14,0.433,0.965,0.621,0.469,0.081,-0.055,0.115,0.070,0.017,-0.016,0.209,0.197,0.017,0.131,0.330,-0.089
15,0.467,0.961,0.625,0.476,0.100,-0.034,0.166,0.079,-0.001,-0.033,0.193,0.217,0.053,0.156,0.356,-0.088
16,0.500,0.961,0.630,0.473,0.098,-0.036,0.132,0.079,-0.042,-0.017,0.158,0.182,0.011,0.144,0.454,-0.098
17,0.533,0.963,0.620,0.466,0.123,-0.015,0.178,0.074,-0.041,-0.021,0.096,0.162,-0.039,0.163,0.578,-0.104
