frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.98,0.65,0.58,0.09,0.06,0.11,0.02,0.01,0.01,-0.05,0.01,0.08,0.06,0.11,-0.04
2,0.033,0.98,0.65,0.58,0.06,0.04,0.11,0.01,0.01,0.02,-0.06,0.01,0.08,0.04,0.12,-0.05
3,0.067,0.98,0.65,0.57,0.08,0.05,0.10,0.00,0.02,0.02,-0.06,-0.00,0.07,0.06,0.15,-0.05
4,0.100,0.98,0.65,0.57,0.08,0.09,0.09,0.01,-0.00,0.02,-0.04,0.03,0.10,0.05,0.18,-0.07
5,0.133,0.98,0.60,0.59,0.14,0.11,0.07,-0.05,0.01,-0.01,-0.05,0.10,0.09,0.01,0.15,-0.07
6,0.167,0.98,0.59,0.59,0.30,0.26,0.07,-0.08,0.02,-0.00,-0.05,0.08,0.10,-0.01,0.14,-0.07
7,0.200,0.98,0.59,0.59,0.12,0.08,0.09,-0.04,0.03,0.01,-0.05,0.01,0.09,0.03,0.14,-0.08
8,0.233,0.98,0.60,0.59,0.08,0.02,0.09,-0.03,0.03,0.00,-0.03,0.05,0.07,0.03,0.18,-0.05
9,0.267,0.98,0.62,0.59,0.09,0.04,0.07,-0.04,0.01,-0.00,-0.04,0.03,0.10,0.05,0.15,-0.07
10,0.300,0.98,0.64,0.58,0.11,0.10,0.07,-0.02,-0.01,-0.00,-0.07,0.01,0.09,0.03,0.18,-0.05
11,0.333,0.98,0.64,0.57,0.10,0.09,0.08,-0.01,-0.01,-0.01,-0.08,0.03,0.10,0.03,0.14,-0.05
12,0.367,0.98,0.66,0.57,0.12,0.09,0.08,-0.01,-0.01,-0.00,-0.06,0.03,0.09,0.03,0.13,-0.03
13,0.400,0.98,0.66,0.57,0.07,0.05,0.09,-0.02,-0.01,-0.02,-0.11,0.02,0.07,0.02,0.12,-0.02
14,0.433,0.98,0.66,0.57,0.08,0.05,0.08,-0.03,-0.01,-0.02,-0.10,0.01,0.07,0.02,0.13,-0.02
