frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.954,0.627,0.507,-0.011,0.027,0.021,0.046,0.837,-0.069,0.141,0.276,0.330,0.141,0.106,-0.122
2,0.033,0.957,0.684,0.522,0.002,0.031,-0.008,0.005,0.788,-0.066,0.036,0.454,0.384,0.108,0.084,-0.068
3,0.067,0.954,0.697,0.527,0.013,0.001,-0.041,0.049,0.325,-0.031,-0.033,0.367,0.320,0.081,-0.013,-0.093
4,0.100,0.957,0.708,0.525,0.016,0.027,-0.020,0.142,0.230,-0.020,0.022,0.352,0.297,0.090,-0.037,-0.075
5,0.133,0.954,0.709,0.521,0.028,0.037,-0.004,0.156,0.262,-0.044,0.014,0.373,0.381,0.099,-0.042,-0.100
6,0.167,0.953,0.706,0.520,0.032,0.044,0.018,0.173,0.232,-0.020,-0.014,0.289,0.377,0.076,-0.040,-0.092
7,0.200,0.954,0.708,0.519,0.040,0.029,-0.017,0.229,0.281,-0.060,-0.018,0.418,0.409,0.143,-0.035,-0.103
8,0.233,0.955,0.701,0.516,0.066,0.062,-0.059,0.652,0.214,-0.023,-0.003,0.518,0.414,0.125,-0.032,-0.079
9,0.267,0.955,0.694,0.516,0.094,0.112,-0.086,0.932,0.123,-0.010,0.011,0.459,0.359,0.099,-0.012,-0.052
10,0.300,0.956,0.695,0.514,0.096,0.121,-0.069,1.062,0.117,-0.018,-0.001,0.497,0.352,0.080,-0.025,-0.059
11,0.333,0.954,0.698,0.517,0.103,0.104,-0.035,1.073,0.078,0.001,-0.013,0.347,0.272,0.083,-0.030,-0.081
12,0.367,0.953,0.695,0.514,0.101,0.101,-0.052,0.677,0.102,-0.007,-0.043,0.425,0.301,0.092,-0.031,-0.075
13,0.400,0.957,0.690,0.515,-0.009,0.008,-0.036,-0.021,0.294,-0.025,-0.035,0.558,0.322,0.112,0.039,-0.056
14,0.433,0.954,0.626,0.526,-0.081,0.006,0.020,-0.019,0.484,-0.018,0.161,0.410,0.326,0.121,0.077,-0.081
15,0.467,0.950,0.589,0.522,-0.022,0.034,-0.007,0.007,0.510,-0.020,0.146,0.330,0.369,0.106,0.039,-0.058
16,0.500,0.951,0.580,0.522,-0.006,0.033,0.021,0.007,0.506,-0.012,0.139,0.260,0.330,0.088,0.067,-0.072
17,0.533,0.956,0.598,0.512,-0.021,0.035,0.023,0.000,0.526,-0.018,0.173,0.348,0.291,0.036,0.053,-0.107
18,0.567,0.960,0.610,0.505,-0.020,0.019,0.043,-0.011,0.406,0.012,0.152,0.272,0.317,0.048,0.041,-0.064
19,0.600,0.960,0.617,0.514,-0.006,-0.007,0.073,0.012,0.402,-0.008,0.064,0.453,0.420,0.098,0.047,-0.033
20,0.633,0.965,0.616,0.505,0.002,0.008,0.098,-0.022,0.317,-0.012,0.114,0.416,0.351,0.055,0.027,-0.036
21,0.667,0.958,0.618,0.502,0.022,0.019,0.073,-0.011,0.364,0.010,0.106,0.368,0.406,0.098,0.041,-0.043
22,0.700,0.957,0.625,0.499,0.001,0.013,0.081,0.003,0.306,0.008,0.038,0.461,0.438,0.099,0.023,-0.057
23,0.733,0.959,0.621,0.498,0.002,0.016,0.076,0.002,0.329,0.018,0.043,0.445,0.518,0.123,0.023,-0.045
