session_index,image_index,AU1_activation_value,AU2_activation_value,AU4_activation_value,AU5_activation_value,AU6_activation_value,AU9_activation_value,AU12_activation_value,AU15_activation_value,AU17_activation_value,AU20_activation_value,AU25_activation_value,AU26_activation_value
1,1,2.713,2.890666666666667,0.03366666666666665,0.5606666666666666,0.4356666666666667,0.11099999999999999,0.42966666666666664,1.9419999999999993,2.3136666666666663,0.015999999999999986,0.172,0.5693333333333334
1,2,0.403,0.8243333333333331,0.9209999999999998,0.20133333333333334,0.40266666666666673,0.09333333333333332,0.6066666666666669,1.1956666666666667,0.5643333333333331,0.6166666666666669,0.44733333333333336,0.4470000000000005
1,3,0.4216666666666667,0.6273333333333333,0.07033333333333333,0.7376666666666668,0.16566666666666668,0.01866666666666667,0.12199999999999997,0.3630000000000001,0.45066666666666677,0.04766666666666668,0.059666666666666646,0.09333333333333332
1,4,1.3146666666666664,1.6213333333333333,2.3899999999999997,0.24966666666666665,0.19600000000000017,0.18166666666666667,0.18466666666666665,0.5603333333333331,0.8066666666666665,0.13500000000000004,0.19166666666666665,0.0
1,5,0.305,0.4600000000000002,0.42566666666666664,0.09333333333333331,0.5476666666666667,0.060999999999999985,0.4686666666666667,0.5350000000000001,1.3366666666666664,0.71,0.5366666666666666,0.6876666666666664
2,1,0.0976666666666667,0.17666666666666667,0.23133333333333334,0.010333333333333333,0.13033333333333325,0.10400000000000001,0.0,0.28100000000000014,0.1343333333333332,0.014666666666666606,0.154,0.0030000000000000027
2,2,3.9810000000000003,3.844333333333334,0.1833333333333333,0.9230000000000003,0.11066666666666669,0.14300000000000002,0.19033333333333335,0.0,0.24166666666666659,0.06933333333333333,0.09,0.3563333333333333
2,3,0.8586666666666666,0.9336666666666669,0.216,0.062000000000000006,0.21766666666666667,0.063,0.30066666666666664,0.21399999999999997,0.5256666666666666,0.13066666666666668,0.06866666666666665,0.09699999999999998
2,4,0.13500000000000012,0.10566666666666658,0.066,0.08366666666666668,0.09200000000000005,0.013666666666666674,0.03866666666666667,0.17266666666666675,0.0,0.03333333333333335,0.04966666666666668,0.09066666666666666
2,5,3.6570000000000005,3.431333333333334,0.09599999999999997,0.6433333333333334,0.07600000000000001,0.08399999999999999,0.292,0.002666666666666595,0.024333333333333262,0.02933333333333335,0.04033333333333333,0.2546666666666667
3,1,2.0126666666666666,1.4963333333333333,2.5326666666666666,0.07466666666666666,1.2073333333333331,0.31166666666666665,1.2226666666666668,1.1236666666666666,2.4636666666666667,0.954,0.235,0.5316666666666667
3,2,0.017666666666666664,0.013999999999999999,3.6766666666666663,0.0016666666666666496,0.42300000000000004,0.7786666666666667,0.47300000000000053,0.08733333333333335,0.37566666666666704,0.614,0.06866666666666668,0.18466666666666665
3,3,0.16233333333333333,0.20133333333333334,0.1200000000000001,0.08033333333333337,0.349,0.01100000000000001,0.48533333333333334,1.4376666666666666,2.3513333333333337,0.432,0.17200000000000004,0.4983333333333333
3,4,0.022999999999999993,0.013333333333333336,2.8313333333333333,0.05700000000000001,0.3576666666666667,0.132,0.22300000000000003,0.8000000000000003,2.543666666666667,0.030333333333333323,0.20400000000000001,0.192
