frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.963,0.741,0.539,0.917,0.740,-0.021,-0.043,0.571,-0.002,1.123,-0.009,0.177,0.307,0.304,0.158
2,0.033,0.964,0.737,0.538,1.309,1.220,0.040,-0.033,0.621,-0.016,1.277,-0.037,0.317,0.464,0.320,0.112
3,0.067,0.965,0.732,0.541,1.213,1.105,0.024,0.021,0.522,-0.018,1.218,-0.031,0.337,0.434,0.325,0.093
4,0.100,0.963,0.738,0.536,1.276,1.162,0.030,0.019,0.488,0.003,1.175,-0.012,0.416,0.515,0.339,0.126
5,0.133,0.963,0.737,0.536,1.322,1.187,0.021,0.018,0.489,0.005,1.272,-0.022,0.401,0.532,0.337,0.118
6,0.167,0.966,0.734,0.539,0.962,0.749,0.022,0.011,0.523,-0.017,1.077,-0.019,0.526,0.553,0.246,0.048
7,0.200,0.965,0.732,0.531,1.093,0.884,0.014,0.026,0.504,-0.029,1.123,-0.034,0.458,0.539,0.238,0.057
8,0.233,0.963,0.732,0.531,1.093,0.878,0.010,0.025,0.530,-0.062,1.073,-0.058,0.383,0.467,0.300,0.045
9,0.267,0.960,0.733,0.532,1.244,1.021,0.017,0.050,0.562,-0.059,1.190,-0.045,0.431,0.497,0.366,0.058
10,0.300,0.960,0.730,0.535,1.433,1.224,0.031,0.074,0.534,-0.062,1.217,-0.041,0.545,0.611,0.176,0.100
11,0.333,0.960,0.733,0.535,1.328,1.100,0.027,0.089,0.594,-0.037,1.110,-0.027,0.456,0.598,0.200,0.112
12,0.367,0.959,0.734,0.536,1.343,1.031,-0.040,0.058,0.572,-0.044,1.230,-0.039,0.391,0.496,0.267,0.099
13,0.400,0.959,0.728,0.533,1.493,1.291,-0.069,0.119,0.615,-0.062,1.105,0.010,0.291,0.502,0.168,0.153
