frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.90,0.64,0.67,0.24,0.32,-0.02,-0.11,0.24,0.07,-0.11,0.16,0.29,0.02,-0.02,-0.08
2,0.033,0.88,0.66,0.74,0.26,0.20,-0.09,0.12,0.03,0.03,-0.04,0.10,0.35,0.01,0.13,-0.15
3,0.067,0.87,0.72,0.80,0.41,0.24,0.00,0.16,0.17,0.05,0.07,0.06,0.44,0.10,0.32,0.26
4,0.100,0.87,0.80,0.84,0.35,0.09,0.02,0.08,0.53,0.16,0.30,0.09,0.37,0.13,0.28,0.30
5,0.133,0.91,0.83,0.87,0.55,0.37,0.09,0.26,0.54,0.08,0.51,-0.01,0.32,0.27,0.20,0.43
6,0.167,0.92,0.86,0.91,0.25,0.21,0.10,0.23,0.62,0.08,0.59,0.11,0.46,0.22,0.36,0.31
7,0.200,0.94,0.85,0.89,0.44,0.23,0.32,0.33,0.62,0.11,0.38,-0.06,0.37,0.21,0.30,0.28
8,0.233,0.93,0.84,0.91,0.66,0.34,0.15,0.38,0.47,0.16,0.43,0.16,0.22,0.35,0.50,0.47
9,0.267,0.93,0.86,0.91,0.47,0.19,0.14,0.28,0.53,0.03,0.26,0.00,0.19,0.30,0.43,0.24
10,0.300,0.92,0.90,0.92,0.26,0.08,0.18,0.24,0.64,0.03,0.41,-0.10,0.09,0.20,0.39,0.26
11,0.333,0.93,0.89,0.93,0.45,0.09,0.26,0.20,0.54,0.10,0.38,-0.16,0.16,0.21,0.54,0.11
12,0.367,0.93,0.89,0.92,0.56,0.20,0.21,0.28,0.69,0.01,0.26,-0.18,0.15,0.26,0.33,0.08
13,0.400,0.94,0.90,0.91,0.26,0.14,0.21,0.26,0.81,0.10,0.46,-0.13,0.17,0.30,0.28,-0.00
14,0.433,0.93,0.91,0.91,0.48,0.23,0.20,0.33,0.90,0.17,0.57,0.01,0.18,0.26,0.12,0.04
15,0.467,0.93,0.90,0.91,0.51,0.22,0.27,0.35,0.91,0.24,0.46,0.05,0.16,0.36,0.41,0.02
16,0.500,0.93,0.87,0.91,0.42,0.19,0.21,0.32,0.70,0.17,0.42,-0.05,0.19,0.25,0.49,0.22
17,0.533,0.93,0.86,0.91,0.38,0.21,0.19,0.28,0.68,0.16,0.42,-0.01,0.17,0.24,0.44,0.22
18,0.567,0.92,0.92,0.93,0.62,0.19,0.37,0.27,0.66,0.10,0.63,-0.09,0.21,0.26,0.43,0.24
19,0.600,0.90,0.93,0.92,0.43,0.12,0.35,0.29,0.83,-0.01,0.58,0.01,0.28,0.15,0.59,0.35
20,0.633,0.90,0.86,0.88,0.54,0.30,0.29,0.23,0.56,0.07,0.47,0.07,-0.07,0.16,0.26,0.23
21,0.667,0.89,0.83,0.85,0.37,0.33,0.26,0.17,0.30,0.20,0.33,0.08,0.12,0.08,0.31,0.23
22,0.700,0.91,0.76,0.81,0.46,0.46,-0.08,0.23,0.08,0.06,0.07,0.11,0.17,0.03,0.25,0.21
23,0.733,0.89,0.68,0.76,0.88,0.81,-0.05,0.35,0.04,0.05,-0.01,0.09,0.37,0.13,0.28,0.14
24,0.767,0.89,0.67,0.73,1.09,1.07,0.17,0.44,0.12,0.13,-0.04,0.16,0.33,0.24,0.06,-0.01
25,0.800,0.90,0.63,0.71,1.57,1.58,-0.07,0.38,0.01,0.04,0.10,0.21,0.32,0.17,0.00,0.03
26,0.833,0.92,0.63,0.70,1.24,1.75,-0.11,0.18,0.01,0.08,0.05,0.17,0.15,0.27,0.25,0.01
27,0.867,0.91,0.60,0.68,1.11,1.62,-0.10,0.19,0.02,0.12,0.11,0.16,0.10,0.27,0.12,0.02
28,0.900,0.92,0.60,0.66,0.94,1.39,-0.05,0.08,0.03,0.16,0.16,0.22,0.24,0.23,0.10,-0.01
29,0.933,0.92,0.62,0.65,1.04,1.59,-0.17,0.13,0.03,0.13,0.18,0.18,0.23,0.21,0.20,0.03
30,0.967,0.93,0.61,0.65,0.35,0.60,-0.12,0.06,0.09,0.07,0.01,0.17,0.23,0.06,0.21,0.02
31,1.000,0.90,0.60,0.63,0.73,1.11,-0.15,0.06,0.07,0.08,0.04,0.19,0.20,0.13,0.25,-0.00
32,1.033,0.90,0.59,0.63,0.55,0.85,-0.16,0.02,0.04,0.05,0.03,0.20,0.21,0.14,0.29,0.01
33,1.067,0.92,0.58,0.63,0.76,1.05,-0.20,0.16,0.03,0.12,0.05,0.20,0.20,0.23,0.34,-0.01
34,1.100,0.92,0.59,0.64,0.61,0.86,-0.22,0.11,-0.01,0.05,0.05,0.18,0.18,0.16,0.38,0.03
35,1.133,0.91,0.58,0.63,0.83,1.12,-0.22,0.17,0.03,0.07,0.12,0.20,0.18,0.18,0.34,-0.02
36,1.167,0.92,0.59,0.63,0.90,1.29,-0.21,0.17,0.02,0.06,0.11,0.18,0.18,0.18,0.36,-0.01
