frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.98,0.78,0.48,-0.00,0.12,0.10,0.06,0.01,0.02,-0.07,0.07,0.06,-0.02,0.07,-0.06
2,0.033,0.98,0.78,0.48,0.02,0.28,0.07,0.05,0.03,0.00,-0.06,0.11,0.09,-0.04,0.10,-0.07
3,0.067,0.98,0.77,0.48,0.03,0.23,0.08,0.06,0.02,0.01,-0.07,0.10,0.10,-0.03,0.10,-0.08
4,0.100,0.98,0.77,0.48,0.02,0.25,0.10,0.09,0.03,0.02,-0.07,0.13,0.09,-0.04,0.11,-0.07
5,0.133,0.98,0.77,0.48,0.02,0.13,0.12,0.12,0.02,0.03,-0.07,0.09,0.08,-0.04,0.10,-0.07
6,0.167,0.98,0.77,0.48,0.03,0.19,0.11,0.10,0.02,0.01,-0.06,0.09,0.08,-0.04,0.11,-0.07
7,0.200,0.98,0.77,0.48,0.04,0.21,0.07,0.12,0.03,0.00,-0.06,0.10,0.10,-0.03,0.10,-0.08
8,0.233,0.98,0.77,0.48,0.02,0.17,0.08,0.09,0.03,0.01,-0.08,0.09,0.08,-0.02,0.10,-0.08
9,0.267,0.98,0.78,0.48,0.07,0.33,0.06,0.14,0.02,0.01,-0.06,0.09,0.08,-0.03,0.12,-0.07
10,0.300,0.98,0.77,0.48,0.07,0.33,0.06,0.06,0.03,0.02,-0.07,0.10,0.08,-0.03,0.11,-0.08
11,0.333,0.98,0.77,0.48,0.03,0.14,0.07,0.15,0.02,0.04,-0.07,0.09,0.06,-0.03,0.10,-0.06
12,0.367,0.98,0.77,0.47,0.02,0.16,0.07,0.13,0.03,0.03,-0.07,0.10,0.06,-0.03,0.10,-0.05
13,0.400,0.98,0.78,0.48,0.01,0.24,0.09,0.15,0.00,0.03,-0.07,0.11,0.06,-0.02,0.11,-0.06
14,0.433,0.98,0.78,0.48,0.01,0.29,0.08,0.16,0.01,0.04,-0.04,0.13,0.07,-0.04,0.10,-0.05
