frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.96,0.69,0.47,-0.00,-0.01,0.01,0.03,0.07,0.05,-0.01,0.11,0.02,-0.02,0.11,0.44
2,0.033,0.97,0.69,0.47,-0.01,-0.03,0.03,0.05,0.05,0.05,0.00,0.06,0.03,-0.03,0.08,0.30
3,0.067,0.96,0.69,0.47,-0.01,-0.02,0.02,0.04,0.06,0.07,-0.02,0.09,0.04,-0.05,0.10,0.32
4,0.100,0.96,0.69,0.47,-0.02,-0.01,-0.01,0.04,0.07,0.06,0.00,0.10,0.03,-0.03,0.09,0.39
5,0.133,0.96,0.69,0.46,-0.02,-0.01,-0.00,0.03,0.06,0.06,0.01,0.09,0.02,-0.02,0.10,0.38
6,0.167,0.96,0.69,0.47,-0.04,-0.02,-0.01,0.04,0.05,0.08,0.01,0.14,0.03,-0.01,0.10,0.40
7,0.200,0.96,0.70,0.47,-0.02,-0.00,-0.03,0.03,0.07,0.07,0.00,0.12,-0.00,-0.01,0.10,0.44
8,0.233,0.96,0.69,0.47,0.00,0.00,0.00,0.02,0.07,0.07,0.02,0.10,-0.00,-0.03,0.09,0.30
9,0.267,0.96,0.70,0.46,-0.03,-0.01,-0.01,0.02,0.06,0.08,0.02,0.14,-0.01,-0.01,0.10,0.34
10,0.300,0.96,0.69,0.46,-0.04,-0.02,-0.02,0.04,0.04,0.07,0.01,0.09,0.04,-0.01,0.10,0.41
11,0.333,0.96,0.70,0.46,-0.03,-0.01,-0.01,0.03,0.05,0.08,0.01,0.12,0.02,-0.01,0.11,0.34
12,0.367,0.96,0.69,0.46,-0.02,-0.00,-0.00,0.03,0.06,0.07,-0.00,0.09,0.01,-0.01,0.11,0.35
13,0.400,0.97,0.69,0.46,-0.03,0.02,-0.03,0.02,0.03,0.04,-0.01,0.12,0.02,0.01,0.08,0.45
14,0.433,0.96,0.69,0.46,-0.05,-0.00,-0.06,0.00,0.04,0.04,-0.03,0.15,0.02,0.01,0.11,0.55
15,0.467,0.96,0.69,0.46,-0.03,-0.00,-0.06,0.03,0.04,0.03,-0.03,0.12,0.02,0.04,0.07,0.67
16,0.500,0.96,0.70,0.47,-0.02,-0.02,-0.07,0.05,0.05,0.04,-0.01,0.13,0.03,0.06,0.09,0.65
17,0.533,0.97,0.70,0.47,0.00,-0.01,-0.04,0.02,0.04,0.04,-0.02,0.11,0.02,0.03,0.05,0.57
18,0.567,0.96,0.70,0.47,0.01,0.00,-0.04,0.03,0.04,0.04,-0.00,0.12,0.02,-0.02,0.07,0.36
19,0.600,0.96,0.70,0.48,0.03,0.01,-0.04,0.04,0.07,0.07,0.00,0.07,0.01,0.01,0.05,0.46
20,0.633,0.96,0.70,0.48,-0.00,-0.01,-0.05,0.03,0.06,0.04,-0.03,0.14,0.02,0.00,0.07,0.38
21,0.667,0.97,0.71,0.49,0.01,0.00,-0.04,0.01,0.06,0.05,-0.01,0.08,0.03,-0.00,0.09,0.36
22,0.700,0.97,0.70,0.49,0.02,0.00,-0.07,0.04,0.07,0.06,-0.02,0.08,0.04,-0.00,0.07,0.45
23,0.733,0.96,0.70,0.48,0.05,-0.00,-0.07,0.03,0.07,0.05,-0.03,0.11,0.02,-0.01,0.08,0.36
24,0.767,0.95,0.71,0.48,0.01,-0.02,-0.04,0.02,0.03,0.05,-0.01,0.15,0.00,0.01,0.08,0.45
25,0.800,0.95,0.71,0.48,0.02,-0.01,-0.04,-0.00,0.07,0.07,-0.06,0.14,-0.02,0.01,0.13,0.48
